PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
011cm,k7/pn1R1pp1/8/2P1q2p/Q2p3P/5P2/P4PK1/4r3 b - - 0 40,e5f5 a4c6 f5g6 c6g6 f7g6 c5c6,2317,179,92,17,endgame equality long,https://lichess.org/dGJtv35L/black#80,
01TMP,r3k2r/pp2qpp1/2n1b2p/8/3PR3/2P2NP1/PPQ2PP1/2K4R b kq - 0 16,e8g8 d4d5 c6b4 e4b4,2231,139,100,27,equality middlegame short,https://lichess.org/hD8JXDdV/black#32,
04qg5,7r/2k1r2p/pnpq1p2/6p1/3P4/5N2/PPQ2PPP/2RR2K1 w - - 2 22,f3e5 f6e5 d4e5 d6g6 c2g6 h7g6,2395,183,87,24,equality long middlegame,https://lichess.org/cOsnLUr2#43,
066qU,2r3k1/5p1p/1p2pB2/p2b2q1/8/PP2b1N1/RQ3PPP/2r2BK1 b - - 4 22,g5f4 f2e3 f4e3 b2f2,2278,128,100,35,equality middlegame short,https://lichess.org/eMlCT7ou/black#44,
08Juz,2r2r1k/6p1/2Np3p/3Qp1q1/1P6/5nPP/P1R2P2/2R4K b - - 4 33,c8c6 d5c6 g5f5 h1g2,2377,233,67,18,equality hangingPiece middlegame short,https://lichess.org/z1jJ9dfF/black#66,
0ElHf,4r1k1/p7/1p4p1/2pP1pNp/2P1NqnQ/P7/1P4P1/4R1K1 w - - 0 32,g2g3 f4b8 g5e6 f5e4,2463,166,90,22,equality middlegame short,https://lichess.org/uipAFV1V#63,
0Gj1A,8/8/8/1P3pp1/R7/2PB2kP/1r4p1/6K1 w - - 1 47,a4b4 b2d2 b4b1 d2d3 b5b6 d3d8 b6b7 d8b8,2241,120,100,41,endgame equality quietMove veryLong,https://lichess.org/ErTxB0Yq#93,
0Ha9M,2q3k1/1pn3b1/1Q2p1p1/5p1p/3P1P1P/P3P3/BPrNKBP1/7R w - - 1 29,d4d5 c2b2 b6c5 b7b6 c5c6 b2a2,2400,125,100,30,equality fork long middlegame,https://lichess.org/hk487Rxj#57,
0J9q9,3rq2k/Q3b2p/3pP3/1Pp1pP2/P1B3p1/1P6/6Pr/3R1RK1 w - - 0 28,g1h2 e8h5 h2g1 g4g3 f1f3 h5h2 g1f1 h2h1 f1e2 h1g2 e2e3 e7g5 e3e4 g2c2 d1d3 d6d5,2448,108,100,43,deflection equality fork middlegame veryLong,https://lichess.org/VXAnMDqf#55,
0Mx5T,r1bq2k1/1pp3pp/3p4/3P2N1/P3P1n1/8/2n3PP/RNB2Q1K b - - 3 19,c2a1 f1f7 g8h8 c1b2 g4f6 b2f6,2407,124,100,37,equality long middlegame,https://lichess.org/RC070Irn/black#38,
