PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
015nZ,8/8/1k4p1/1P2Bp1p/2K5/7P/5bP1/8 b - - 1 42,f2e3 e5d4 e3d4 c4d4 g6g5 d4e5,1312,96,70,35,bishopEndgame crushing endgame long,https://lichess.org/ZxuVCrK6/black#84,
01rSr,8/6k1/3p2p1/p2P3p/4P3/3B4/5K2/8 w - - 0 46,f2g3 a5a4 d3c2 a4a3,1309,82,91,737,bishopEndgame crushing endgame master quietMove short,https://lichess.org/xnizLU9K#91,
02YZr,1bK5/pP3p2/B7/1P4p1/6k1/7p/8/8 b - - 1 43,h3h2 c8b8 h2h1q b8a7 h1d1 b7b8q,1308,75,98,1255,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/lsZCS5f9/black#86,
02cIQ,3k4/p2b4/2p5/1p1p2p1/3P2P1/P1PB2K1/2P5/8 w - - 1 34,d3f5 d7f5 g4f5 d8e7,1449,179,0,20,bishopEndgame crushing defensiveMove endgame short,https://lichess.org/auONX0JT#67,
02fb8,7k/1p6/4p2p/pPPp2b1/3PP3/6P1/2B5/7K b - - 0 34,g5e3 c5c6 b7c6 b5c6,1367,76,79,187,bishopEndgame crushing endgame master short,https://lichess.org/nnW0OO7B/black#68,
02kCY,8/8/8/7p/p1b5/P5kP/2p3P1/2B3K1 b - - 7 46,g3h4 g1h2 c4f1 g2g3,1431,79,95,34845,bishopEndgame endgame mate mateIn2 short,https://lichess.org/wqBVso2E/black#92,
03HtZ,8/8/3k1p2/p1pBpKp1/1pP3P1/1P3P2/Pb6/8 w - - 17 52,f5f6 e5e4 f6f7 e4e3,1415,77,93,4674,bishopEndgame crushing discoveredAttack discoveredCheck endgame short,https://lichess.org/wIHK2AaO#103,
03I4D,4b1B1/5pp1/pk2p2p/1p2P3/1P1K1P1P/P7/5P2/8 b - - 0 36,a6a5 b4a5 b6a5 d4c5,1322,76,81,276,bishopEndgame crushing endgame short,https://lichess.org/TTRwNELU/black#72,
03O0Q,8/8/P4k2/2b3p1/4p1Pp/7P/4pBK1/8 b - - 1 57,e4e3 f2e1 f6e5 g2f3,1523,77,93,2418,bishopEndgame crushing endgame short,https://lichess.org/1ucx3yZT/black#114,
03R5U,8/8/8/6p1/2pBp1k1/1p6/1P2K3/8 b - - 2 61,g4g3 e2e3 g3h3 e3e4 c4c3 d4c3,1595,74,97,1589,bishopEndgame crushing endgame long master,https://lichess.org/5Zf0hFln/black#122,
03eQI,3B4/8/1p2p3/bk1p1p2/p2P1Pp1/4P1P1/PP2K3/8 w - - 4 43,d8h4 b5c4 h4d8 a4a3,1500,500,100,12,bishopEndgame crushing endgame master short,https://lichess.org/EeTI6XvS#85,
03gRv,8/4kp2/1b4p1/p1pBP2p/1pK1PP1P/1P4Pb/PB6/8 w - - 6 38,b2c1 h3f1,1457,79,92,170,bishopEndgame endgame master mate mateIn1 oneMove,https://lichess.org/PonnXnHl#75,
03qIH,8/4Kb2/p5k1/6Pp/4P2P/P1P5/8/8 b - - 6 57,g6g7 e4e5 f7c4 e5e6,1397,79,94,20697,bishopEndgame crushing endgame quietMove short,https://lichess.org/lDnKCrbf/black#114,
03vv8,8/2k2b2/2P5/2K1p1p1/4BpP1/5P2/8/8 b - - 2 52,f7e8 c5d5 e8c6 d5e5,1356,75,86,368,bishopEndgame crushing endgame short,https://lichess.org/GTdEkfll/black#104,
03yVQ,3B4/3k1p2/bP4p1/3pPp1p/3P1K1P/6P1/8/8 w - - 2 58,f4g5 d7d8 g5f6 d8e8 e5e6 f7e6,1562,76,99,1244,bishopEndgame crushing endgame hangingPiece long,https://lichess.org/7dOWhbdB#115,
045VE,3b4/p7/1PP1k3/P7/6Kp/7P/8/8 b - - 0 45,a7b6 a5a6 e6d6 a6a7,1449,86,81,44,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/4ZPXvbi1/black#90,
04Dut,8/B7/p1p5/2p1k2p/3p1p2/1P2b2P/P1P1K1P1/8 w - - 0 37,a7c5 d4d3 e2d3 e3c5,1593,78,93,1224,bishopEndgame crushing discoveredAttack endgame master short,https://lichess.org/HlKnMqQU#73,
04Ojj,8/1p3k1p/p3P1p1/2PP4/2K1b2P/8/1P3P2/8 b - - 0 35,f7e7 c4d4 e4b1 d4e5,1559,75,97,4266,advantage bishopEndgame defensiveMove endgame short,https://lichess.org/9iQkwadt/black#70,
05PrB,8/4k3/2pb1p2/5P2/p1P1K3/2P5/P2B4/8 w - - 4 49,d2f4 d6f4 e4f4 e7d6 f4e4 d6c5 e4d3 a4a3,1471,76,96,15756,bishopEndgame crushing endgame master veryLong zugzwang,https://lichess.org/IkFTl3Ej#97,
05Sxp,8/8/p4p2/5k2/1P5P/5P1K/2P1b1P1/8 w - - 3 44,g2g4 f5f4 h4h5 e2f3 h3h4 f3g4 h5h6 g4f5,1318,77,95,12581,advantage bishopEndgame defensiveMove endgame veryLong,https://lichess.org/gad1hZd3#87,
05Uq5,8/8/2KPk3/8/5B2/7p/8/5b2 b - - 6 56,e6f7 d6d7 h3h2 f4h2,1306,103,56,28,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/tjHSe8qo/black#112,
05nOx,8/8/6B1/4kp2/4b1P1/4K3/7P/8 w - - 3 43,h2h4 f5f4 e3e2 e4g6,1500,76,93,4327,bishopEndgame crushing discoveredAttack endgame short,https://lichess.org/fjoLz8z9#85,
05wPY,3b4/8/6K1/4k1PP/8/8/8/8 b - - 0 65,e5f4 h5h6 d8c7 h6h7 c7e5 g6h6 f4f5 g5g6 f5e4 g6g7,1541,75,100,233,advancedPawn bishopEndgame crushing endgame veryLong,https://lichess.org/eYQqS7kI/black#130,
063HL,8/7p/2p5/1p1k2KP/p1p5/8/P7/B7 w - - 0 42,g5h6 b5b4 h6h7 c4c3,1544,92,58,28,bishopEndgame crushing endgame quietMove short,https://lichess.org/RzjucJrA#83,
06KDj,4k3/8/6p1/1bBPp3/1P2Pb1p/2p2K1P/2B3P1/8 w - - 2 59,f3g4 b5e2 g4h4 g6g5,1446,77,81,280,bishopEndgame endgame mate mateIn2 short,https://lichess.org/IaoZ6JmL#117,
06qxl,8/7b/7P/2p2PB1/6P1/1pk1p3/4K3/8 b - - 0 46,b3b2 g5f6 c3c4 f6b2,1463,76,84,648,bishopEndgame crushing deflection endgame short skewer,https://lichess.org/zwmiaD29/black#92,
06yJA,8/8/2p1pk2/p1K2p1P/P4P2/2P2b2/2B5/8 b - - 4 41,e6e5 f4e5 f6e5 h5h6,1449,77,94,1875,bishopEndgame crushing endgame short,https://lichess.org/qoIZmYzH/black#82,
07TfA,8/4b2p/pp4p1/4kp2/PPP5/3K1P1P/3B4/8 w - - 0 36,d3e3 e7g5 e3e2 g5d2,1551,75,89,208,bishopEndgame crushing endgame short,https://lichess.org/hsUcl4gc#71,
08Bkh,8/5pk1/pp1Bp1p1/7p/PPP5/7P/1b4P1/7K b - - 0 40,b2d4 c4c5 b6c5 b4c5 d4c5 d6c5,1316,78,89,158,advantage bishopEndgame endgame long,https://lichess.org/BLzs6HBr/black#80,
08Fo5,8/5bp1/6kp/5P2/6PK/4B3/8/8 b - - 0 40,g6f6 e3d4 f6e7 d4g7,1401,75,92,4360,bishopEndgame crushing deflection endgame short skewer,https://lichess.org/ujHprFlB/black#80,
08Lcw,4b3/1pb3p1/p1p1p2p/2PpP1k1/PP1Pp3/4P3/4B1PP/4B1K1 b - - 5 25,e8h5 h2h4 g5g6 g2g4 h5g4 e2g4,1551,75,96,23734,bishopEndgame crushing endgame long trappedPiece,https://lichess.org/bMzPykVd/black#50,
08f3U,8/8/pp3bK1/8/2P2Pk1/1P4P1/P7/8 b - - 4 44,f6a1 f4f5 a1e5 f5f6 e5g3 f6f7 g3d6 g6g7,1432,75,92,3031,advancedPawn bishopEndgame crushing defensiveMove endgame quietMove veryLong,https://lichess.org/F54cnwI8/black#88,
08mdC,8/1p6/4pp2/P1p5/2b2P2/P3K1k1/2B5/8 b - - 2 41,g3g2 c2e4 g2g3 e4b7,1313,134,82,13,bishopEndgame crushing endgame master short,https://lichess.org/mwVqfw2d/black#82,
09H5N,8/8/p2b3B/5K2/kp3P2/7P/8/8 w - - 0 45,f5e6 b4b3 e6d6 b3b2 f4f5 b2b1q,1334,83,93,766,advancedPawn bishopEndgame crushing endgame long master promotion sacrifice,https://lichess.org/GfNkfCuO#89,
09W7M,8/8/3kp3/p4p2/b1BP1P2/P1K5/8/8 w - - 3 64,c4b3 a4b3 c3b3 d6d5 b3c3 d5e4,1385,76,87,523,bishopEndgame crushing endgame long,https://lichess.org/8aSrct6G#127,
09Wol,8/8/6kp/3K2b1/2P2p2/5P2/6PP/8 b - - 1 53,g5e7 c4c5 g6f7 c5c6,1589,76,94,381,bishopEndgame crushing endgame master quietMove short,https://lichess.org/ClOgcdcJ/black#106,
09qRV,4k3/1p3p1p/2pP2pP/p1P3P1/b2KB3/8/8/8 b - - 1 35,e8d7 d4e5 a4b3 e5f6,1389,75,88,671,bishopEndgame crushing endgame short,https://lichess.org/eUV7lb4c/black#70,
0AQdO,8/1B1b4/2p5/2PpBk2/3P2p1/6Pp/1b1K3P/8 w - - 18 56,b7a6 f5e4 d2e2 b2d4,1333,76,71,173,bishopEndgame crushing endgame master masterVsMaster short,https://lichess.org/KU5zgTMA#111,
