PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00LMb,8/8/1n4kP/1P3p2/3P1K2/2p1N3/8/8 w - - 4 49,f4e5 b6c4 e3c4 c3c2,1777,80,79,57,advancedPawn crushing endgame knightEndgame sacrifice short,https://lichess.org/8fplizkC#97,
00ON5,8/k1p5/P7/3N4/3P2pp/3K2n1/6P1/8 w - - 1 47,d3e3 h4h3 e3f2 h3h2 f2g3 h2h1q,1849,75,87,141,advancedPawn crushing endgame knightEndgame long promotion,https://lichess.org/d71Ts3ff#93,
00PvX,8/n7/P7/3k4/PK6/7P/5PP1/8 w - - 0 53,b4a5 d5c5 f2f3 a7c6,1670,76,86,244,endgame knightEndgame mate mateIn2 short,https://lichess.org/tH6dRFcZ#105,
00hA5,6n1/2p3k1/1p1p2P1/p2P1K1P/P1P5/1P6/8/8 b - - 2 53,g8h6 f5e6 h6g8 e6d7,1742,75,97,1515,crushing defensiveMove endgame knightEndgame master short,https://lichess.org/JOwIOHIj/black#106,
01pJ3,8/8/7p/N5p1/1p4P1/2kp3P/8/3K4 w - - 0 42,d1c1 b4b3 a5b3 c3b3,1606,76,94,180,crushing endgame knightEndgame short,https://lichess.org/2CnSk0Pv#83,
02BY0,8/8/N7/4kp2/2P4p/1P6/P1n1KP2/8 w - - 0 46,e2f3 c2e1 f3e2 h4h3,1847,110,83,20,crushing endgame knightEndgame short,https://lichess.org/Cl9pBuRW#91,
02ICM,4k3/8/8/4N3/1pPP4/pK5P/3n2P1/8 w - - 2 51,b3c2 b4b3 c2d2 a3a2 d2c3 a2a1q,1639,75,95,4048,advancedPawn crushing endgame knightEndgame long promotion sacrifice,https://lichess.org/lUhC65Pm#101,
02udP,8/1p6/1p1pN2k/1P1Pn3/P1PK1p2/8/8/8 b - - 1 61,h6h5 e6f4 h5g5 f4e6 g5f6 e6d8 f6e7 d8b7,1716,75,82,73,crushing endgame knightEndgame master veryLong,https://lichess.org/VVCUQLPW/black#122,
04HvL,8/p7/1p3N2/4n1KP/1k1p4/1P6/1P6/8 w - - 0 49,h5h6 e5f7 g5f4 f7h6,1776,96,86,33,advantage deflection endgame knightEndgame short,https://lichess.org/nFCkNV0W#97,
04KMO,7k/5p1p/2p1p1p1/p1K1P3/P1N4P/8/6n1/8 b - - 2 46,g2h4 c4a5 h4f3 a5c6,1775,76,97,823,advantage endgame knightEndgame short,https://lichess.org/E1whrEtJ/black#92,
04Mrj,8/p5p1/5pp1/3n1k2/PpNP1P1P/5K2/5P2/8 b - - 3 42,d5f4 c4e3 f5e6 f3f4 g6g5 h4g5,1756,80,92,323,crushing deflection endgame knightEndgame long,https://lichess.org/DMPaSIkV/black#84,
