PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00Kip,8/6pp/8/3k4/2p2PPP/2K5/8/8 w - - 1 50,f4f5 d5e5 h4h5 h7h6 g4g5 h6g5,2608,106,91,142,crushing endgame long pawnEndgame quietMove,https://lichess.org/hcNxh7C3#99,
00Oyf,8/1p6/7p/3k1pp1/1P5P/3K1P2/6P1/8 w - - 0 39,h4g5 h6g5 d3c3 d5e5 c3c4 e5f4 c4c5 f4g3,2683,88,83,187,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/eysZBqWU#77,
00RPk,8/2p5/5ppp/1PkP4/p4PPP/P1K5/8/8 b - - 0 39,c5b5 c3d4 c7c5 d5c6 b5c6 d4c4,2742,98,92,1495,advantage defensiveMove enPassant endgame long pawnEndgame,https://lichess.org/vOFXdfEu/black#78,
019Ma,8/p1k5/P1P1ppp1/2K4p/5P1P/6P1/8/8 b - - 1 48,e6e5 c5d5 e5e4 d5e4 c7c6 f4f5,2540,97,91,832,crushing endgame long pawnEndgame,https://lichess.org/m3vIWZSu/black#96,
019vo,8/5ppp/8/5KPP/5P2/4k3/8/8 b - - 0 41,e3f3 h5h6 g7h6 g5h6 f3g3 f5g5,2589,81,94,355,crushing defensiveMove endgame long pawnEndgame zugzwang,https://lichess.org/R4mNzclw/black#82,
01AO3,6k1/8/2p3p1/3pp2p/1P5P/2P2P2/6P1/6K1 w - - 0 34,g2g4 g6g5 h4g5 h5h4,2644,85,86,272,crushing defensiveMove endgame master pawnEndgame short,https://lichess.org/lrIgN0wg#67,
01AyE,8/4k3/ppp2pKp/4p2P/PPP5/3P4/8/8 b - - 2 38,e7e6 g6h6 e6f7 b4b5 a6b5 c4b5 c6c5 a4a5,2736,92,99,145,crushing endgame pawnEndgame veryLong,https://lichess.org/oT5KavrO/black#76,
01UwU,8/5ppp/4p3/4PPP1/2k1K2P/8/8/8 b - - 0 41,e6f5 e4f5 c4d5 h4h5 h7h6 g5h6 g7h6 f5f6 d5e4 f6g7 e4e5 g7h6,2595,104,90,1554,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/nPGl3BeO/black#82,
01bWU,8/4kp2/7p/p2Pp1pP/2p3P1/5K2/PP3P2/8 b - - 2 45,e7d6 f3e4 a5a4 a2a3 f7f6 e4f5 d6d5 f5g6 d5d4 g6h6,2713,95,79,157,advantage endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/aUFPa2OM/black#90,
01e9g,8/7p/1p4p1/p1kp1pP1/P4P1P/1PPK4/8/8 b - - 0 32,c5c6 d3d4 c6d6 c3c4 d5c4 b3c4 d6c6 d4e5 c6c5 e5f6 c5c4 f6g7,2732,84,85,385,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/q6CYyMnO/black#64,
01mBE,8/8/p3p3/3p2p1/1P1Ppk2/2P4P/5P2/5K2 w - - 3 42,f1g2 e6e5 d4e5 f4e5 g2f1 e5f5 f1e1 g5g4 h3h4 f5g6,2685,114,90,1141,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/HwU6hxlJ#83,
01mWH,8/8/8/ppp1k1K1/3p4/3P4/PPP5/8 w - - 0 45,a2a3 a5a4 g5g4 c5c4,2690,91,87,191,crushing endgame master pawnEndgame quietMove short,https://lichess.org/PfmR5OJ8#89,
01qsT,4K3/5p1p/5kp1/8/7P/6P1/5P2/8 b - - 2 55,h7h6 f2f3 f6g7 e8e7,2769,112,88,557,crushing endgame master masterVsMaster pawnEndgame quietMove short zugzwang,https://lichess.org/gNuakJrz/black#110,
01rio,8/p7/8/2pp4/4kPp1/1K4P1/P1P5/8 b - - 3 35,a7a5 a2a3 e4f5 b3a4,2612,88,55,47,crushing endgame pawnEndgame quietMove short zugzwang,https://lichess.org/DtghQiRc/black#70,
01yFV,8/2p3p1/2k1pp1p/1p2P3/1PP2PP1/3K4/7P/8 w - - 0 29,d3d4 f6e5 f4e5 b5c4 d4c4 c6b6,2620,93,90,308,crushing defensiveMove endgame long pawnEndgame,https://lichess.org/D3hgSRwK#57,
020IV,8/4kp1p/p7/1p1K2p1/2pP2P1/2P4P/P7/8 b - - 1 32,e7f6 a2a3 a6a5 d5c5,2728,87,92,2575,advantage endgame pawnEndgame quietMove short,https://lichess.org/SvyPh2kA/black#64,
026Tf,8/8/1p2k1pp/p2p4/3K1PPP/1PP5/8/8 b - - 0 37,e6d6 c3c4 d5c4 d4c4,2685,83,92,501,advantage endgame pawnEndgame short,https://lichess.org/Yem2gd8Q/black#74,
02BWG,8/8/1p4p1/p2p4/3k4/5PP1/PP1K4/8 w - - 0 36,b2b3 b6b5 a2a3 b5b4 a3a4 g6g5 d2e2 d4c3,2661,84,96,408,crushing endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/elu1UymC#71,
02MZc,8/2p5/p2k1p2/2p1p1p1/1PP1P1P1/P3KP2/8/8 w - - 0 40,e3d3 c5b4 a3b4 d6c6 d3c3 c6b6 b4b5 a6b5,2651,88,94,1134,crushing endgame pawnEndgame veryLong,https://lichess.org/GhOQBq6V#79,
02Qq3,8/1p6/8/p5pp/Pk6/1P4PP/2K5/8 w - - 0 41,g3g4 h5h4 c2b2 b4c5 b2c3 c5d5 b3b4 a5b4,2838,106,81,159,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/12ZVsGrl#81,
02Ve6,8/2p3p1/3k1p2/p1p2P2/P3KPP1/1P6/8/8 b - - 0 31,c7c6 e4d3 d6d5 g4g5 c5c4 b3c4 d5c5 d3c3,2721,100,88,895,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/MmyLq5fM/black#62,
02vhe,8/8/p7/1ppp2k1/4p1P1/P2P2Kp/1PP4P/8 w - - 0 41,g3h3 e4d3 c2d3 b5b4 a3b4 c5b4 h3g3 a6a5,2781,91,93,314,crushing defensiveMove endgame pawnEndgame veryLong,https://lichess.org/4pTT1B3u#81,
02zlM,8/6p1/4pp2/1p2P2k/p3KP2/P1P3P1/8/8 w - - 2 44,e4f3 f6e5 f4e5 g7g5 f3e2 h5g4 e2f2 g4f5,2605,109,90,177,crushing endgame master pawnEndgame quietMove veryLong zugzwang,https://lichess.org/8SJtKxly#87,
037kN,8/8/8/5k1p/5Pp1/3K2P1/8/8 w - - 0 65,d3d4 h5h4 g3h4 g4g3 d4e3 f5g4 f4f5 g4h3,2684,87,87,465,crushing endgame pawnEndgame veryLong,https://lichess.org/1sPMEwkn#129,
03ASa,8/6p1/pp5p/2p5/P1P1p1Pk/1P2K2P/8/8 w - - 3 49,e3e4 a6a5 e4d5 h4h3 d5c6 h3g4 c6b6 h6h5,2728,99,86,171,crushing defensiveMove endgame pawnEndgame quietMove veryLong,https://lichess.org/4ZJwobxp#97,
