PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00T85,8/8/8/8/8/4K3/1k3Q2/1q6 b - - 5 53,b2c1 f2d2,1041,90,93,1524,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/j3dOR5SJ/black#106,
00VFK,8/6pk/7p/Q7/6P1/3q3K/1P5P/8 w - - 1 45,h3h4 g7g5 a5g5 h6g5,1036,99,93,990,crushing endgame master queenEndgame short,https://lichess.org/cuisbvqQ#89,
00XqB,2Q5/pp3p1k/3q1P1p/6p1/P2p2K1/1P1P3P/2P3P1/8 w - - 5 37,c8b7 d6f4 g4h5 f4h4,1009,81,84,135,endgame mate mateIn2 queenEndgame short,https://lichess.org/ZgeDRTNM#73,
00eLW,8/8/3q3k/5Q2/4p3/4P2P/5pK1/8 w - - 0 42,f5f4 d6f4 e3f4 e4e3,1073,80,88,1251,crushing endgame queenEndgame short,https://lichess.org/jhaADLF2#83,
00yPS,5k2/p3pp2/7p/2Qp1P2/6B1/6q1/2K5/8 b - - 2 43,g3g4 c5c8 f8g7 f5f6 g7f6 c8g4,1078,84,94,774,crushing discoveredAttack endgame long queenEndgame,https://lichess.org/pyTEOQI7/black#86,
012K5,8/3Q1kpp/8/3K4/6P1/8/7P/q7 b - - 9 46,f7g6 d7f5 g6h6 f5h5,1201,79,89,483,endgame mate mateIn2 queenEndgame short,https://lichess.org/ideT1zK1/black#92,
0164A,8/8/3p1k1p/3Pqpp1/2Q5/6PP/5P1K/8 w - - 3 34,h2g2 e5e4 c4e4 f5e4,1104,75,89,291,crushing endgame queenEndgame short,https://lichess.org/0Tp4aMQy#67,
01NPD,8/5p2/6pk/3PQp2/8/p3PP2/6PK/4q3 b - - 6 39,a3a2 e5h8 h6g5 f3f4 g5g4 h8h3,1253,75,97,7948,endgame long mate mateIn3 queenEndgame,https://lichess.org/Bjg4tsry/black#78,
01RPQ,1Q6/2Pk4/p3pp1p/3q2p1/1p6/1P2P1P1/5P1P/6K1 b - - 2 42,d5c6 b8d8,1021,85,83,102,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/GAWpyeOU/black#84,
01eFU,8/6pk/8/8/Q2Pp3/P1P5/1PK1q3/8 w - - 1 40,c2b3 e2d1 b3b4 d1a4 b4a4 e4e3,1149,76,82,136,crushing endgame long queenEndgame,https://lichess.org/dq0pNz5P#79,
01luH,2k5/p7/8/4P2p/5Q2/1PPqP1PK/7P/8 w - - 3 44,f4c4 d3c4 b3c4 a7a5 h3h4 a5a4 h4h5 a4a3,1166,77,99,1221,advantage endgame queenEndgame quietMove veryLong,https://lichess.org/or0dJAaA#87,
01tyT,8/5p2/3Q4/6pk/PP4qp/6P1/5PKP/8 w - - 2 48,d6c5 h4h3 g2f1 g4d1,1274,78,94,646,endgame mate mateIn2 queenEndgame short,https://lichess.org/nHIZqqzx#95,
01u7S,2Q5/1p5k/1p3K2/8/8/P1P3q1/8/8 b - - 2 49,g3f4 c8f5 f4f5 f6f5,1280,167,16,18,crushing endgame master queenEndgame short,https://lichess.org/htXhPpId/black#98,
01ySE,2k5/6K1/2q2pQ1/p7/8/6P1/7P/8 w - - 0 66,g6f6 c6f6 g7f6 a5a4,1148,104,71,56,crushing defensiveMove endgame queenEndgame short,https://lichess.org/xLCcgJbV#131,
02LuE,8/p2Q4/5kp1/2P4p/7P/1q4PK/8/8 w - - 2 60,c5c6 b3e6 d7e6 f6e6 c6c7 e6d7 c7c8q d7c8,1026,75,100,321,crushing endgame queenEndgame veryLong,https://lichess.org/PXla7Amc#119,
02SWp,Q7/6pk/7p/6PP/8/pq6/5PK1/8 b - - 0 39,a3a2 g5g6,1276,86,92,2242,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/xVDdlOJW/black#78,
02iFK,6k1/6p1/5p1p/4q3/8/6QP/P5PK/8 b - - 8 43,e5b2 g3b3 b2b3 a2b3,1275,78,73,91,advantage endgame queenEndgame short,https://lichess.org/DhgPnYCY/black#86,
02k1p,1Q3k2/1p2qpp1/p1p4p/4P3/PP3PP1/7P/8/6K1 b - - 3 30,e7d8 b8d8,1043,177,76,23,endgame hangingPiece mate mateIn1 oneMove queenEndgame,https://lichess.org/Ff8wLQ2l/black#60,
02tfs,8/3Q4/6p1/3p1kP1/3qpp1p/1P5P/P4PK1/8 b - - 5 43,f5e5 d7g7 e5f5 g7d4,1296,83,91,2154,crushing deflection endgame master queenEndgame short skewer,https://lichess.org/k5ZDFVOf/black#86,
033jV,8/2p3k1/2Pp2P1/2pP1p2/5P1Q/P2q4/4p2K/8 b - - 1 57,e2e1q h4h7 g7f6 h7f7,1103,76,97,702,endgame mate mateIn2 queenEndgame short,https://lichess.org/w0XjYxJi/black#114,
03X8P,6k1/p4p2/P3p2Q/1p4P1/6q1/1KP5/1P6/8 w - - 0 46,h6f6 g4a4,1068,83,97,3190,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/Eqs0mMnS#91,
03rA7,8/7p/p4ppk/3q4/5Q2/1P5P/6PK/8 b - - 3 39,g6g5 f4f6 h6h5 g2g4 h5h4 f6f2,1127,79,62,64,endgame long master mate mateIn3 queenEndgame,https://lichess.org/QQNdHsR0/black#78,
048Un,6k1/6p1/8/Q7/P4PK1/6P1/8/3q4 w - - 5 44,g4f5 d1h5 f5e4 h5a5,1196,82,94,1043,crushing endgame queenEndgame short skewer,https://lichess.org/CI5urSLm#87,
04NVI,6k1/1p3p2/p1p5/4P2Q/1P3P1P/P5K1/8/6q1 w - - 1 40,g3f3 g1d1 f3g2 d1h5,1223,77,73,638,crushing endgame queenEndgame short skewer,https://lichess.org/GYwYzBnd#79,
04VNP,8/8/5pkp/6p1/8/7P/2Q3PK/q7 b - - 3 52,g6h5 g2g4 h5h4 c2f2,1234,79,91,4224,endgame mate mateIn2 queenEndgame short,https://lichess.org/PPShZmPU/black#104,
04vmj,4k3/5p2/1q4pp/8/P1Q5/5KPP/8/8 b - - 2 49,b6b7 c4e4 b7e4 f3e4,1093,82,87,170,crushing endgame queenEndgame short,https://lichess.org/Tf1KQ4XK/black#98,
0501e,8/8/6pp/Q2P2k1/P2q4/8/1P2K3/8 b - - 6 45,d4b2 a5d2 b2d2 e2d2,1118,83,75,54,crushing endgame queenEndgame short,https://lichess.org/qGh1DYrL/black#90,
05Qvq,6Q1/1kp4K/1p1p4/3PpQ2/4P3/7P/4q3/2q5 b - - 6 62,e2c2 f5c8 b7a7 c8a8,1212,86,93,1346,endgame master mate mateIn2 queenEndgame short,https://lichess.org/ObfoLYdo/black#124,
05kW5,8/5p2/1pQ5/7k/5q1P/1P4p1/P5K1/8 w - - 4 62,c6f3 f4f3 g2f3 h5h4,1201,78,71,333,crushing endgame queenEndgame short,https://lichess.org/nwBU8Hz4#123,
