PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01FSC,4r3/5Qkp/p5pN/8/6P1/6KP/P1P1r3/8 b - - 0 34,g7h6 g4g5 h6h5 f7f3 h5g5 f3f4 g5h5 f4h4,2080,82,88,487,endgame mate mateIn4 queenRookEndgame veryLong,https://lichess.org/efFWEKnd/black#68,
09QBO,4R3/p5kp/1p1P2p1/2p5/6P1/5K1q/PP6/3R4 w - - 1 32,f3f4 g6g5 f4g5 h3h6,2079,79,92,140,advantage attraction endgame queenRookEndgame short,https://lichess.org/OsJn0Aog#63,
0BM8x,6k1/P5pp/2p5/5p2/8/1P5q/2P1K3/R4R2 b - - 0 46,h3g4 f1f3 g4g2 e2e3,2117,77,87,130,crushing defensiveMove endgame queenRookEndgame short,https://lichess.org/HB1oAudM/black#92,
0DFYa,3r2k1/3r1p1p/p4Q2/8/1P2b3/4pP2/P5PP/2R3K1 w - - 3 31,f3e4 d7d1 f6f1 e3e2 f1e1 d1c1,2144,77,87,122,advancedPawn crushing endgame long master pin queenRookEndgame,https://lichess.org/zcVUo0Go#61,
0DSjF,5R2/p3P1pk/3P3p/1p2q3/8/7P/6P1/6K1 b - - 6 41,e5c5 g1h1 c5d6 e7e8q d6d1 h1h2,1961,78,88,2180,advancedPawn crushing defensiveMove endgame long promotion queenRookEndgame,https://lichess.org/eLFLVjfH/black#82,
0EHec,2R5/4PK1k/5P2/p6p/2P5/5r2/1p6/8 b - - 0 51,b2b1q c8h8 h7h8 e7e8q h8h7 e8g8 h7h6 g8g7,2112,89,89,53,advancedPawn attraction endgame exposedKing mate mateIn4 promotion queenRookEndgame veryLong,https://lichess.org/aKOX6p9E/black#102,
0Ek0I,6k1/4Qp2/4p1p1/6Kp/4Pr2/2r4P/6P1/8 b - - 1 43,f4e4 g5h6 c3c8 e7f6 g8f8 f6h8 f8e7 h8c8,1957,78,96,2453,crushing endgame queenRookEndgame skewer veryLong,https://lichess.org/4Tt0wSw3/black#86,
0Fl3G,8/3K4/8/8/2k1p3/2rp4/5Q1P/8 w - - 4 56,h2h4 d3d2 f2e2 c3d3 d7e7 d2d1q,1975,80,93,1676,advancedPawn crushing endgame long promotion queenRookEndgame,https://lichess.org/qLaE01BE#111,
0Fv1u,3r4/pp6/6k1/6p1/4Q3/1P1p4/P4rPK/8 b - - 3 35,g6h6 e4e6 h6h5 h2h3,2067,78,91,7103,advantage defensiveMove endgame queenRookEndgame short,https://lichess.org/CBPGbbJb/black#70,
0GeiA,7Q/8/4K3/k7/8/8/1pr5/8 w - - 5 65,e6f5 c2c5 f5f4 b2b1q h8a8 a5b4 a8b8 c5b5,2180,77,95,3134,advancedPawn crushing endgame master promotion queenRookEndgame veryLong,https://lichess.org/wcS4FueV#129,
