PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0018P,5R2/1p6/p1p5/2P1rk2/2K3p1/2P1p1P1/1P5P/8 b - - 1 44,f5e6 f8e8 e6f5 e8e5 f5e5 c4d3 e5d5 d3e3 a6a5 e3f4 d5c4 f4g4,1845,74,91,229,crushing endgame exposedKing rookEndgame veryLong,https://lichess.org/Xg1Gtfjr/black#88,
002Uy,8/8/1p6/k7/P1R5/1K5r/8/8 w - - 26 64,c4c3 h3c3 b3c3 a5a4 c3b2 a4b4,1684,75,97,5684,crushing defensiveMove endgame long rookEndgame,https://lichess.org/sLU7YN1A#127,
004d8,8/4kr2/R2p4/1p1Pp1p1/5p2/3K1P2/PPP5/8 b - - 0 39,g5g4 a6a7 e7f6 a7f7 f6f7 f3g4,1608,78,87,104,crushing endgame long rookEndgame,https://lichess.org/FrR3BHbW/black#78,
00798,6K1/4k3/4P3/6pp/6rP/4R1P1/8/8 w - - 0 60,g8g7 g5h4 g7h6 h4g3,1788,74,98,392,crushing discoveredAttack endgame rookEndgame short,https://lichess.org/4DOjQjiM#119,
00FPo,7R/1K3p2/6k1/PP4p1/8/6rp/8/8 b - - 2 47,g5g4 a5a6 h3h2 h8h2,1873,80,93,4898,crushing endgame rookEndgame short,https://lichess.org/6C03NLdu/black#94,
00G1l,5k2/1R6/3pp1P1/2p5/1pr1PK2/5P2/8/8 b - - 0 60,c4c1 f4g5 c1g1 g5f6,1815,75,89,418,crushing defensiveMove endgame master rookEndgame short,https://lichess.org/IWYBiMcT/black#120,
00Ivf,8/2p4r/1p3k2/p2Pp1p1/P1P1RpP1/1P3P1r/4R1K1/8 w - - 7 46,e4e5 h3h2 g2f1 h2h1 f1f2 h7h2,1603,78,93,226,endgame long mate mateIn3 rookEndgame,https://lichess.org/VX0fLjAC#91,
00Ksa,8/5p2/5pk1/8/4PP2/6r1/5K2/7R b - - 2 46,g3g4 f2f3 g4g5 f4g5,1852,76,86,99,crushing endgame rookEndgame short trappedPiece,https://lichess.org/WynrZVil/black#92,
00Qlc,8/5R2/P7/2p1r3/2Pp2k1/3K4/5p2/8 b - - 1 54,e5f5 f7f5 g4f5 d3e2 f2f1q e2f1,1695,78,93,1346,crushing endgame long rookEndgame,https://lichess.org/CvcBVbVr/black#108,
00YhY,8/8/5kp1/R7/4p1P1/5p1P/2r2P2/6K1 w - - 0 52,h3h4 c2c1 g1h2 e4e3,1670,76,94,579,crushing endgame rookEndgame short,https://lichess.org/umv3Et1a#103,
00ieR,6k1/1p3p1p/4p1p1/1P1pP3/P7/4r3/7P/1R4K1 b - - 0 33,e3e5 a4a5 d5d4 a5a6 e5b5 b1b5,1615,99,100,38,advantage endgame long quietMove rookEndgame,https://lichess.org/TiKjdMLp/black#66,
00lHu,8/p7/6P1/4p3/R4pK1/1r2k2P/8/8 b - - 0 47,f4f3 g6g7 b3b8 a4a3,1791,76,94,7959,advancedPawn crushing endgame rookEndgame short,https://lichess.org/kX9fNCdN/black#94,
00n76,8/8/7p/1P1R3P/8/2k5/3p3r/3K4 w - - 3 49,b5b6 h2h1 d1e2 h1e1,1634,76,94,8364,crushing endgame rookEndgame short,https://lichess.org/1pRVU0YT#97,
0127O,8/6k1/5R2/1K4Pp/1P6/2P5/6r1/8 w - - 1 63,c3c4 g2g5 b5a6 g7f6,1740,146,75,11,crushing endgame rookEndgame short,https://lichess.org/A9E5QoNO#125,
013bF,8/6pk/8/R7/5Pp1/p5P1/7P/r3K3 w - - 2 46,e1d2 a3a2 d2c3 a1c1,1604,75,84,112,advancedPawn crushing endgame rookEndgame short,https://lichess.org/8o63NDRm#91,
015pp,8/8/8/3pp3/5P1R/r3k3/6K1/8 b - - 0 51,e5f4 h4h3 e3e2 h3a3 d5d4 a3a2,1647,75,85,1329,crushing endgame long rookEndgame skewer,https://lichess.org/gORdjPkR/black#102,
0165r,8/7r/2R4P/6k1/4p3/8/4KP2/8 b - - 4 51,h7h6 c6h6 g5h6 e2e3 h6g5 e3e4 g5f6 e4f4,1801,77,93,2764,crushing defensiveMove endgame rookEndgame veryLong,https://lichess.org/0zQouwGT/black#102,
01IjU,3R4/8/2k1p3/p2pP3/1prP2Pp/2PK3P/8/8 b - - 1 53,b4c3 d8c8 c6d7 c8c4 d5c4 d3c3,1617,76,94,1808,crushing endgame long rookEndgame,https://lichess.org/rVYb8je3/black#106,
01NZA,8/p7/6p1/P1KR1k1p/1P2r3/8/8/8 b - - 2 52,e4e5 d5e5 f5e5 b4b5,1653,77,94,3319,crushing defensiveMove endgame rookEndgame short,https://lichess.org/igpHQlEe/black#104,
01RXs,8/8/3r3p/p1P1k3/4pp2/PPKp4/6PR/8 b - - 0 40,d3d2 h2h5 e5e6 h5h6,1684,75,86,211,crushing endgame interference master rookEndgame short,https://lichess.org/67sQLB4C/black#80,
01SN2,8/r7/P1p5/3p4/3K2k1/1P5p/2P5/R7 b - - 1 44,g4g3 d4c5 h3h2 c5b6,1662,77,93,1015,crushing endgame master rookEndgame short,https://lichess.org/u1wGtOf8/black#88,
01Tr3,2R5/8/7p/2P2p1k/5K2/7P/PP4R1/4rr2 w - - 1 41,f4g3 f5f4 g3h2 f1h1,1603,101,71,30,endgame mate mateIn2 rookEndgame short,https://lichess.org/q1VHmfdD#81,
01X5n,8/8/7p/p1r3p1/2PKpkP1/7P/4R3/8 b - - 2 40,c5e5 e2f2 f4g3 d4e5 g3f2 e5e4,1776,75,87,939,crushing deflection endgame long rookEndgame,https://lichess.org/WJVPHTRz/black#80,
01aAR,4k3/R3P3/1p3Kpp/2p5/2P5/1r6/4p1P1/8 b - - 2 37,b3e3 a7a8 e8d7 a8d8 d7c7 e7e8q e3e8 d8e8,1650,75,97,2464,advancedPawn crushing deflection endgame exposedKing promotion rookEndgame veryLong,https://lichess.org/yVcg1co8/black#74,
01uzu,1r6/3k4/3p1p2/2p1p1p1/2PBP1Pp/Pp1P1P1P/1K6/1R6 b - - 0 42,c5d4 a3a4 b8b7 b2a3,1889,75,82,110,crushing endgame quietMove rookEndgame short,https://lichess.org/yHuaUKKZ/black#84,
01yYo,1r6/2p1kp2/3p4/3Pp3/p3P2P/P4R2/6P1/4K3 b - - 2 42,b8b3 f3b3 a4b3 e1d2 b3b2 d2c2 b2b1r c2b1,1732,80,93,1525,crushing endgame rookEndgame veryLong,https://lichess.org/LpR4GmYY/black#84,
01yso,7k/R7/5P2/6K1/8/5r2/7p/8 w - - 0 67,a7a1 f3g3 g5f4 g3g1 f6f7 h8g7 f7f8q g7f8,1827,74,84,191,crushing endgame rookEndgame veryLong,https://lichess.org/fQJpXBji#133,
027ar,1k6/p7/Pp2p3/8/1R1PP2p/2PP4/1K6/6r1 w - - 0 42,d4d5 h4h3 e4e5 h3h2,1722,75,76,80,advancedPawn crushing endgame rookEndgame short,https://lichess.org/tvunkqDm#83,
02A8s,6k1/7p/3P2p1/1R6/8/7r/K7/8 b - - 0 43,g8f8 b5b8 f8f7 d6d7,1703,78,93,1633,advancedPawn crushing endgame rookEndgame short,https://lichess.org/TFMMblS4/black#86,
02Bit,r6k/2p3Rp/1p1p3P/3P1r2/1PP2p2/p7/P7/2K1R3 b - - 1 30,f4f3 e1e7 f5g5 g7g5,1739,121,55,23,crushing endgame rookEndgame short,https://lichess.org/mwsdSmnI/black#60,
02G2S,7R/1P3k2/6p1/5p1p/1r3K1P/8/6P1/8 w - - 5 52,f4g5 f7g7 h8g8 g7g8 b7b8r b4b8,1888,75,93,819,crushing endgame long rookEndgame,https://lichess.org/bE2joVMH#103,
02GAF,8/R5k1/8/1p4KP/p4p2/1r3P2/8/8 b - - 6 43,g7h8 g5g6 b3c3 a7a8 c3c8 a8c8,1609,76,92,884,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/TJcdh3bz/black#86,
02Oo4,6R1/1r6/5pk1/5p1p/7P/6P1/5PK1/8 b - - 3 45,b7g7 g8g7 g6g7 g2f3,1723,78,68,85,crushing defensiveMove endgame rookEndgame short,https://lichess.org/PBfWNYLX/black#90,
02Oy0,8/7p/6p1/2r2kP1/1p5P/1P2R3/P2K4/8 w - - 4 60,d2d3 c5c3 d3d4 c3e3 d4e3 f5g4 e3d2 g4h4 a2a3 b4a3,1648,75,99,2855,crushing endgame rookEndgame veryLong,https://lichess.org/a5IfKa1l#119,
02QgP,8/p7/2PRp3/5k1p/1P3p2/P2KpP2/1B4rP/8 b - - 2 38,g2b2 c6c7 b2d2 d3c3 d2d6 c7c8q,1661,79,70,69,advancedPawn advantage endgame long promotion rookEndgame,https://lichess.org/4sBkYXcx/black#76,
02Yx1,4R3/8/8/KP2r3/5k2/8/8/8 w - - 1 65,a5a6 e5e8 a6b6 f4e5,1784,77,88,467,crushing defensiveMove endgame hangingPiece master rookEndgame short,https://lichess.org/b1LSZcFg#129,
02bpw,2r5/1P6/8/6p1/1R1K4/5k2/8/8 b - - 0 53,c8d8 d4e5 d8b8 e5f5 f3e3 f5g5,1760,101,86,43,crushing defensiveMove endgame long rookEndgame,https://lichess.org/G3hGcjiI/black#106,
02gIr,4R3/8/6P1/3k1p1p/p4P2/8/1r2p3/4K3 b - - 2 44,a4a3 g6g7 b2b1 e1e2,1684,74,93,368,advancedPawn crushing endgame rookEndgame short,https://lichess.org/FUoSe8qy/black#88,
02kp5,8/8/8/5K2/pr5p/6kP/R5P1/8 w - - 0 58,f5g5 b4b5 g5f6 b5a5,1723,76,91,778,advantage defensiveMove endgame master rookEndgame short,https://lichess.org/UdYCu8V0#115,
02mSD,8/6pp/p2kP3/3Pr1p1/PPr5/3R4/5KPP/3R4 w - - 3 40,d3e3 c4c2 f2f3 g5g4 f3g3 e5e3,1777,78,91,1196,advantage deflection endgame long master rookEndgame,https://lichess.org/LgRMtEW7#79,
02oHh,r6k/ppp2p1P/3p4/6R1/5r2/8/PPP5/2K4R b - - 1 25,f4f2 h1g1 a7a5 g5g8 h8h7 g8a8,1797,79,93,2759,crushing endgame exposedKing long quietMove rookEndgame,https://lichess.org/EUxHqmdy/black#50,
030Hr,8/pp4p1/2k2ppp/r2r4/1P1p2P1/2PR3P/5P2/1K1R4 b - - 0 30,a5a3 c3c4 a3d3 c4d5 c6d5 d1d3,1803,75,92,581,advantage endgame exposedKing long rookEndgame,https://lichess.org/ST3EXcPk/black#60,
035Fa,8/2P5/5k2/p7/P3K3/8/2r2pp1/5R2 w - - 0 38,f1f2 c2f2 c7c8q g2g1q c8f8 f6e6,1735,77,87,1449,advancedPawn crushing defensiveMove endgame hangingPiece long promotion rookEndgame,https://lichess.org/tHLkgNN2#75,
036Ga,7r/1p2Rpk1/pP1p2p1/P2P4/2rP4/2p5/2P5/2K2R2 b - - 3 38,c4d4 e7f7 g7h6 f1h1 h6g5 h1h8,1632,77,93,5193,crushing endgame long rookEndgame skewer,https://lichess.org/KkQkXoqf/black#76,
037nc,8/5p2/p3r1kp/1p4p1/2p5/2P2KP1/PP1R1P1P/8 w - - 6 34,d2e2 g5g4 f3g4 e6e2,1667,75,95,2917,crushing deflection endgame rookEndgame short,https://lichess.org/BuMdXB6D#67,
038L1,8/8/p4P1p/1p1k4/1Pp1R3/P4KP1/8/3r4 w - - 3 44,e4f4 d1f1 f3e3 f1f4 e3f4 d5e6,1857,76,88,992,crushing endgame long rookEndgame,https://lichess.org/ZKCEcXJK#87,
03NqJ,3K2k1/5p2/7r/4PR2/8/8/8/8 w - - 0 82,d8e7 h6e6 e7d8 g8g7 f5f1 e6e5,1786,78,91,1242,advantage endgame long rookEndgame,https://lichess.org/jk895vej#163,
03TpT,8/8/8/8/3k1PK1/rp6/2R5/8 w - - 0 58,c2c6 b3b2 c6b6 d4c3,1841,115,88,15,advancedPawn crushing defensiveMove endgame rookEndgame short,https://lichess.org/EdMJDESw#115,
03Ys5,R7/P4p2/6p1/5k1p/3p3P/r7/2PK2P1/8 w - - 1 42,g2g3 f5g4 a8d8 a3a7,1834,74,88,78,advantage endgame rookEndgame short,https://lichess.org/iYYEjcAk#83,
03fic,8/6p1/k1r1p2p/p1P5/2K2PP1/4P3/3R4/8 w - - 6 44,d2d6 c6d6 c5d6 a6b6 d6d7 b6c7 d7d8q c7d8,1816,75,92,485,crushing endgame rookEndgame veryLong,https://lichess.org/tGeqinK4#87,
03hDu,2r5/6p1/r1Pk1p1p/4p3/4K3/2R5/5PPP/2R5 b - - 7 37,a6c6 c3c6 c8c6 c1c6 d6c6 e4f5 c6d5 f5g6,1774,98,26,72,crushing endgame rookEndgame veryLong,https://lichess.org/6iHth4Q1/black#74,
