PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01BTT,8/7p/6pP/pp1k1p2/3P1P2/PP2K3/8/8 b - - 0 49,b5b4 a3b4 a5b4 e3d3 d5e6 d3c4,1066,81,90,170,crushing endgame long pawnEndgame zugzwang,https://lichess.org/T48vjGVD/black#98,
01ghr,8/8/5k2/6p1/r2RK1P1/5P2/8/8 b - - 51 68,a4d4 e4d4 f6e6 d4e4,1120,88,95,547,crushing defensiveMove endgame short zugzwang,https://lichess.org/KxPFdOcY/black#136,
01wxe,8/8/4k1p1/1p1p3p/pP3P1P/P1P3K1/8/8 w - - 3 52,g3f3 e6f5 f3e3 f5g4,1053,83,88,856,crushing endgame pawnEndgame short zugzwang,https://lichess.org/tIu8wbe8#103,
02ccm,8/8/r3k2p/4p1p1/4P1P1/RK3P1P/8/8 b - - 0 47,a6a3 b3a3 e6d7 a3b4 d7c6 b4c4,1144,76,100,613,crushing defensiveMove endgame long zugzwang,https://lichess.org/aoIiywfA/black#94,
02myt,8/5r2/5P2/1p1pBk2/p1pP4/P1P2K2/1P6/8 b - - 4 46,f7f6 e5f6 f5f6 f3f4,1070,78,91,365,crushing defensiveMove endgame short zugzwang,https://lichess.org/Ivp9f0zu/black#92,
03FZ5,8/8/3k1np1/p4p2/1pBP1Pp1/1P2K1P1/7P/8 b - - 1 45,f6d5 c4d5 d6d5 e3d3 d5d6 d3c4 d6c6 d4d5,1096,80,93,6379,crushing endgame veryLong zugzwang,https://lichess.org/aIAd9tS2/black#90,
046wz,8/8/1p6/3k1p2/pP2pP1p/P1K1P2P/6P1/8 w - - 0 41,c3b2 d5c4 b2c2 b6b5 c2d2 c4b3,1054,82,82,63,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/aPFyeq5k#81,
04PnX,8/8/1p1k4/p7/P1P1p1p1/4P1P1/2K5/8 b - - 3 40,d6e5 c2c3 e5d6 c3d4 d6c6 d4e4,1219,87,93,507,crushing endgame long pawnEndgame zugzwang,https://lichess.org/kVaVO5ug/black#80,
04zcb,8/8/1k6/1Pp1p1p1/p1P1P1Pp/7P/1K6/8 b - - 0 47,b6a5 b2a3 a5b6 a3a4 b6c7 a4a5,1279,79,92,1398,crushing defensiveMove endgame long pawnEndgame zugzwang,https://lichess.org/LAF3vNi7/black#94,
05WUW,8/8/1p5p/p1p1k2P/P1P1p1p1/1P2K1P1/5P2/8 w - - 0 52,e3d2 e5d4 d2e2 d4c3 e2e3 c3b3,1199,85,41,44,crushing endgame long pawnEndgame zugzwang,https://lichess.org/lHdYrEmN#103,
067E4,8/5p2/p1k1p3/Pp2Pp1p/1P1K3P/8/6P1/8 b - - 0 42,c6b7 d4c5 b7c7 g2g3 f7f6 e5f6,1176,83,93,2073,advantage endgame long pawnEndgame quietMove zugzwang,https://lichess.org/s2By3BbS/black#84,
06VY4,3k4/1p2r3/1P4p1/4p1Pp/2R1K2P/8/8/8 b - - 0 43,d8e8 c4c8 e8d7 c8c7 d7d6 c7e7 d6e7 e4e5,1127,78,91,250,crushing endgame exposedKing rookEndgame veryLong zugzwang,https://lichess.org/GTRQUg9L/black#86,
06g7j,8/8/p3k2p/Pp1p2pP/1P1PK3/6P1/8/8 w - - 0 41,e4e3 e6f5 e3f3 g5g4 f3e3 f5g5 e3d2 g5h5,1083,84,82,193,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/pOZ0ulO5#81,
071op,8/8/p1p5/1p2kp1p/1P5P/P1P2KP1/8/8 b - - 0 44,e5f6 f3f4 f6e6 f4g5,1146,76,100,198,crushing endgame pawnEndgame short zugzwang,https://lichess.org/ywCfMLnl/black#88,
07EXF,8/8/8/8/5p2/5b2/5P2/4KBk1 w - - 20 86,f1e2 f3e2 e1e2 g1g2,1245,78,73,126,bishopEndgame crushing endgame master short zugzwang,https://lichess.org/ngukTusV#171,
08pbR,8/8/p3k2p/1p3p1P/1Pp2P2/2P5/P3K3/8 b - - 4 39,e6d5 e2e3 d5d6 e3d4 a6a5 b4a5,1287,80,92,562,crushing endgame long pawnEndgame zugzwang,https://lichess.org/o4Wuq3Xh/black#78,
08s4P,8/8/8/p7/1pPkp1p1/1P4P1/P2K4/8 b - - 1 51,e4e3 d2e2 d4e4 c4c5 e4d5 e2e3,1123,84,93,1363,crushing defensiveMove endgame long master pawnEndgame quietMove zugzwang,https://lichess.org/KyuVxX1a/black#102,
09Bft,8/7p/8/8/5p1k/5P2/6PK/8 w - - 3 51,h2h1 h4g3 h1g1 h7h5,1035,76,100,241,crushing defensiveMove endgame master masterVsMaster pawnEndgame short zugzwang,https://lichess.org/h5gumOzu#101,
09FJw,8/8/1p1p4/2pP1k2/P1P1p1p1/1P1K2P1/8/8 w - - 0 49,d3e3 f5e5 b3b4 c5b4,1181,99,71,40,crushing endgame master pawnEndgame short zugzwang,https://lichess.org/RRh6E1iF#97,
09bDP,8/1b6/p2k2p1/1p1P1p1p/1P3P1P/P7/B3K3/8 w - - 1 40,e2d3 b7d5 a2d5 d6d5 d3e3 d5c4,1040,82,92,458,bishopEndgame crushing endgame long zugzwang,https://lichess.org/KoCA9LMc#79,
09gjM,8/8/1p2k3/pP3ppp/P2KP3/6PP/8/8 b - - 0 48,f5e4 d4e4 e6d6 e4f5,1103,86,95,2959,crushing endgame pawnEndgame short zugzwang,https://lichess.org/wA2zRLQ4/black#96,
0CSH7,8/8/2p1kp2/p1p2p2/P1P2PP1/1P3K2/8/8 b - - 0 43,f5g4 f3g4 e6f7 g4f5 f7g7 f5e6,1172,77,90,412,crushing endgame long pawnEndgame zugzwang,https://lichess.org/MYX77Rxy/black#86,
0EfOl,8/3k4/4p2p/2PpP1p1/2p3P1/K1P4P/8/8 w - - 5 54,a3b4 d7c6 b4a4 c6c5,1052,76,99,664,crushing endgame pawnEndgame short zugzwang,https://lichess.org/yVT9CcS3#107,
0EgOS,8/2r5/2P5/p2k3p/P1R5/1K4P1/8/8 b - - 2 44,c7c6 c4c6 d5c6 b3c4 c6d6 c4b5,1077,79,90,891,crushing endgame long rookEndgame zugzwang,https://lichess.org/k4VX7bko/black#88,
0EoEG,3r4/3P2pp/1pBk4/1P6/4K3/6P1/7P/8 b - - 4 44,d8d7 c6d7 d6d7 e4d5,1203,82,92,75,crushing defensiveMove endgame short zugzwang,https://lichess.org/67pPNVR7/black#88,
0FVSm,8/2p5/1p1p1k2/1P1P2pp/4K3/6PP/8/8 b - - 0 44,h5h4 g3h4 g5h4 e4f4 f6g6 f4g4,1139,79,93,482,crushing endgame long pawnEndgame zugzwang,https://lichess.org/GfWtG1Rw/black#88,
