PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02242,r4rk1/1p3pp1/8/2p1pNP1/4PnR1/P7/1B3q1N/3R3K b - - 1 32,f2b2 f5e7 g8h7 g4h4 f4h5 h4h5,1019,80,81,324,anastasiaMate long mate mateIn3 middlegame,https://lichess.org/dGm6aR2k/black#64,
0A030,r4rk1/p1p2pp1/1p1p4/2nNp1R1/2P1P3/7P/PPP2P2/2KR4 b - - 0 21,c5e4 d5e7 g8h7 g5h5,1144,79,71,160,anastasiaMate endgame kingsideAttack mate mateIn2 short,https://lichess.org/YRxtheqD/black#42,
0As0N,r7/pp2qk2/2pR4/2P4p/6NP/8/PP2n1P1/R2Q2K1 w - - 1 30,g1h2 e7h4,1016,87,84,125,anastasiaMate master mate mateIn1 middlegame oneMove,https://lichess.org/AihoAmU6#59,
0Dqaz,2r4r/1p3kp1/p2p2p1/8/3nP3/P2P4/1P3PPP/1RB2RK1 w - - 0 22,c1e3 d4e2 g1h1 h8h2 h1h2 c8h8 e3h6 h8h6,1263,80,90,391,anastasiaMate attraction endgame kingsideAttack mate mateIn4 sacrifice veryLong,https://lichess.org/qlE26QRj#43,
0Ethq,1k6/1p3r2/p2R4/8/4n1P1/P1R3K1/1PP5/8 w - - 1 39,g3h4 f7h7 d6h6 h7h6,1148,198,75,37,anastasiaMate endgame mate mateIn2 short,https://lichess.org/brQz1DeI#77,
0Hz2m,r4rk1/ppp2pp1/3p4/3Np3/K1BbP3/3P4/Pq6/R7 b - - 1 22,d4c5 d5e7 g8h7 a1h1 b2h2 h1h2,1035,76,77,936,anastasiaMate long mate mateIn3 middlegame,https://lichess.org/cZ0xqQic/black#44,
0K1RS,r6r/1p2k1p1/2p3p1/p1p1N3/P2nP3/1B1P4/1PP1nPPP/3R1RK1 w - - 5 21,g1h1 h8h2 h1h2 a8h8,1286,81,80,810,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/rcwYXJvx#41,
0KHmb,4r3/2k3p1/2pp4/8/1P6/4nQP1/P1PN2K1/5R2 w - - 0 35,g2h3 e8h8 f3h5 h8h5,1013,106,58,102,anastasiaMate endgame mate mateIn2 short,https://lichess.org/3Svwb63d#69,
0QVw8,8/3b1p1p/p3k1p1/2Q5/P2BB3/5P2/4n1P1/4qNK1 w - - 2 40,g1h2 e1h4,1289,99,71,158,anastasiaMate mate mateIn1 middlegame oneMove,https://lichess.org/wvgVdAMv#79,
0WMo1,r4r1k/p3Nppp/2p5/3b4/8/5PP1/P1K3P1/R6R b - - 0 21,f8e8 h1h7 h8h7 a1h1,1086,79,77,371,anastasiaMate attraction endgame master mate mateIn2 sacrifice short,https://lichess.org/coANXksW/black#42,
