PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
04qkq,1nr2b1k/2q2p2/4pNp1/3pP3/1p1P3P/2B3R1/1P2QPP1/6K1 b - - 1 27,b4c3 e2h5 g6h5 g3g8,1555,77,91,1768,arabianMate kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/8E1mn8o2/black#54,
0EtZN,3r2rk/bpp1R3/p4Nbp/8/3P2PN/2P4P/PP1q4/5R1K b - - 2 31,g8g7 h4g6 g7g6 e7h7,1391,75,85,527,arabianMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/NQYesWiq/black#62,
0FyEb,2r1r1k1/pR5p/6pB/5n2/4p1N1/7P/P2b1PP1/4R1K1 b - - 0 28,d2e1 g4f6 g8h8 b7h7,1470,92,83,137,arabianMate fork mate mateIn2 middlegame short,https://lichess.org/zOwNsa6R/black#56,
0G6yS,2kr4/p4R1p/B5p1/2p1N3/3p4/3K4/PB4PP/4q3 b - - 2 34,c8b8 e5c6 b8a8 f7a7,1475,102,83,91,arabianMate endgame fork mate mateIn2 short,https://lichess.org/wn1BtVKc/black#68,
0HEko,8/R2N2bk/2p3pp/8/P7/2p4P/1r2nPPK/8 b - - 1 30,g7d4 d7f6 h7h8 a7h7,1357,78,95,27891,arabianMate discoveredCheck doubleCheck endgame master mate mateIn2 short,https://lichess.org/b74AvJWe/black#60,
0KnBf,1r4k1/5Rpp/b3p3/p3N3/8/1rn3N1/1P3PPP/KR6 w - - 1 29,g3h5 b3a3 b2a3 b8b1,1479,76,84,3159,arabianMate discoveredAttack mate mateIn2 middlegame short,https://lichess.org/K7di7XD4#57,
0Ntz6,1r6/p4k2/4Np1p/P4P2/4N3/5K1P/1pr3P1/3R4 b - - 1 42,b2b1q d1d7 f7g8 e4f6 g8h8 d7h7,1566,75,95,5121,arabianMate deflection endgame long mate mateIn3,https://lichess.org/5aC7VJh4/black#84,
0WGwv,2k2rr1/p1Pqb3/Pp1p3p/3Np3/2P1p3/4Pn2/1PQ1R1P1/R4NK1 w - - 6 29,g1h1 d7h3 g2h3 g8g1,1514,75,87,746,arabianMate kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/OnjmkDMD#57,
0coM5,r7/5p1p/p3pk2/1p2RN2/7q/P4n2/1PB2PrP/3R3K w - - 2 26,f5h4 g2h2,1330,76,88,1462,arabianMate mate mateIn1 middlegame oneMove,https://lichess.org/cZxnkER3#51,
0mBCD,7k/p1p3p1/8/5pr1/1Q3q2/5n2/PP3R1P/2r2R1K w - - 0 29,b4f4 g5g1 f1g1 c1g1,1452,175,76,43,arabianMate endgame mate mateIn2 short xRayAttack,https://lichess.org/zRSUmMU2#57,
0sdSq,2k3r1/1p3p2/2p2P2/8/4r2n/PP2B1NP/4RP1K/4b3 w - - 0 38,g3e4 h4f3 h2h1 g8g1,1400,75,96,1001,arabianMate endgame mate mateIn2 short,https://lichess.org/0T8n4rBl#75,
0xZ1n,8/8/8/3Q2n1/5pk1/6r1/7K/8 w - - 4 54,d5d6 g5f3 h2h1 g3g1,1422,76,95,16950,arabianMate endgame master mate mateIn2 short,https://lichess.org/JyiveR0i#107,
15yQQ,5rk1/1p3r1p/1q2p1p1/p2nP3/1PPpN1P1/P6Q/5P1R/R3K3 b Q - 0 24,d5f4 e4f6 g8h8 h3h7 f7h7 h2h7,1392,78,82,441,arabianMate kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/IyqFp5Qq/black#48,
18Gb1,8/5kpR/1p2p1r1/5p2/8/1P2Qn2/P4PBP/3q1NK1 w - - 22 40,g1h1 d1f1 g2f1 g6g1,1391,76,95,35852,arabianMate mate mateIn2 middlegame sacrifice short,https://lichess.org/fkNNNkGR#79,
1H107,r1b5/1p5Q/p3p2k/n6p/4Nq2/8/2B2P2/4K1R1 b - - 0 34,h6h7 e4f6 h7h8 g1g8,1311,79,94,4716,arabianMate discoveredCheck doubleCheck mate mateIn2 middlegame short,https://lichess.org/BKenuOg0/black#68,
1Og4T,2k5/B6R/6r1/2N5/P7/5n2/6r1/R6K w - - 1 43,a4a5 g2g1 a1g1 g6g1,1327,75,87,623,arabianMate mate mateIn2 middlegame short,https://lichess.org/wzcvHgk5#85,
1SlvZ,5rk1/4Qpb1/p2pqN1p/1p6/8/6R1/1Pr3PP/5R1K b - - 3 26,g8h8 e7f8 g7f8 g3g8,1517,76,87,2338,arabianMate mate mateIn2 middlegame sacrifice short,https://lichess.org/1qrIUqfn/black#52,
1bGbQ,r2q1rk1/pbpn2bp/1p3Nn1/2P2p2/1PBP4/4Pp2/PB2QPP1/R3K2R b KQ - 1 16,g8h8 h1h7,1561,113,50,116,arabianMate kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4tcxcpVX/black#32,Horwitz_Defense Horwitz_Defense_Other_variations
1bTlt,r6k/6R1/2p2N1P/1p2pPp1/4Kn2/pr6/6PR/8 b - - 0 36,a3a2 g7h7,1364,79,94,13260,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/CeiXDNej/black#72,
1cKK8,8/R7/7p/6n1/3P3k/2P1r3/PP4RK/8 w - - 1 43,a7a6 g5f3 h2h1 e3e1 g2g1 e1g1,1537,75,87,929,arabianMate endgame exposedKing long mate mateIn3,https://lichess.org/ksfBlBuM#85,
1hZv8,1kb2r1r/1p4q1/p1N5/3p3p/6pP/3Q2P1/P3B2N/1R4K1 b - - 0 34,b8a8 d3a6 b7a6 b1b8,1321,75,95,1449,arabianMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/eIyGCBTX/black#68,
1hpbi,1r6/4pk2/3p2R1/3P1P2/p7/Prn5/1PR1B3/1K6 w - - 2 33,b1a1 b3a3 b2a3 b8b1,1400,85,83,151,arabianMate clearance endgame mate mateIn2 sacrifice short,https://lichess.org/jLZ4xFfc#65,
1i1ZG,r5k1/p4ppp/2p2n2/3pn2r/8/P3PPPq/2PBNQ1P/3R1RK1 w - - 5 21,e2f4 e5f3 g1h1 h3h2 f2h2 h5h2,1543,91,25,78,arabianMate kingsideAttack long mate mateIn3 middlegame,https://lichess.org/ZZmtDWiu#41,
1lCa2,Q5rk/5p2/5P1p/8/7n/2PP3P/P6K/8 w - - 1 40,a8a4 h4f3 h2h1 g8g1,1510,82,94,22517,arabianMate endgame mate mateIn2 short,https://lichess.org/su1xDF6o#79,
1mNBq,r6k/1b1R1pr1/pp2pNp1/4Pn1p/5P1q/8/PPQ3PP/4R1K1 b - - 4 25,a8c8 c2c8 b7c8 d7d8 g7g8 d8g8,1498,77,87,2407,arabianMate exposedKing fork long mate mateIn3 middlegame sacrifice,https://lichess.org/wYrNNpQv/black#50,
1qwH8,r4r1k/5QR1/4pN1p/p2b1q2/Bn1P1P2/8/PPP5/1K4R1 b - - 0 26,f8f7 g7g8 a8g8 g1g8,1413,79,88,116,arabianMate mate mateIn2 middlegame short,https://lichess.org/QelvriwP/black#52,
1tMmI,6k1/p2R2pp/4N1r1/8/2P2p2/5n1r/PP2R2P/7K w - - 8 28,e2g2 h3h2 g2h2 g6g1,1428,78,93,1691,arabianMate endgame mate mateIn2 sacrifice short,https://lichess.org/EHpAXnkT#55,
1tfO6,2rr3k/pp4R1/5N1B/8/1b5P/8/1P3P2/1K6 b - - 0 26,c8c6 g7h7,1470,244,44,23,arabianMate endgame master mate mateIn1 oneMove,https://lichess.org/lFdSjNXG/black#52,
1tkiT,r5k1/p5pp/2pRp1b1/2p3r1/7q/2N2n1P/PPP1RPP1/4QN1K w - - 1 22,e1d1 h4h3 g2h3 g5g1,1300,76,89,992,arabianMate kingsideAttack master mate mateIn2 middlegame sacrifice short,https://lichess.org/0BghvGc5#43,
23Y5G,2b2r1k/r6p/p1np1N2/6Q1/1p6/1B6/PPP2P1q/2K3R1 b - - 0 21,h2f2 g5g8 f8g8 g1g8,1503,78,95,18214,arabianMate mate mateIn2 middlegame operaMate sacrifice short,https://lichess.org/zkSenhmY/black#42,
25a53,3r3k/pp4Rp/2p1pN1P/1b2P3/3b4/1P4N1/P5PK/8 b - - 1 36,d4e5 g7h7,1314,383,47,16,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/cCnrFKPc/black#72,
