PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00O9Z,5QR1/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 w - - 7 32,g8h8 f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1,1624,77,86,925,backRankMate deflection endgame fork master mate mateIn4 pin sacrifice veryLong,https://lichess.org/DKnGKRmQ#63,
01XIa,2r3k1/p1r2ppp/qp3b2/3Q4/5PN1/P5P1/1P5P/3RR1K1 b - - 2 27,c7c2 d5d8 c8d8 d1d8 f6d8 e1e8,1899,75,92,94,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/k669VH9K/black#54,
06aCr,3r3k/6b1/p6p/B4B2/4p3/8/1P3nPP/5RK1 w - - 0 37,f1f2 d8d1 a5e1 d1e1 f2f1 g7d4 g1h1 e1f1,1680,150,89,42,backRankMate deflection endgame mate mateIn4 veryLong,https://lichess.org/GNJn6MmJ#73,
06iSh,3rr1k1/Qpp2pp1/2p4p/6b1/4q3/2P2N2/PP3PPP/R2R2K1 w - - 0 17,f3g5 d8d1 a1d1 e4e1 d1e1 e8e1,1640,82,82,892,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/xpWYSLxS#33,Ruy_Lopez Ruy_Lopez_Berlin_Defense
07H9P,2rr3k/1b4b1/p3Q3/8/1p6/2N5/PP1B1PPP/6K1 w - - 3 40,c3e4 c8c1 d2c1 d8d1,1858,78,81,372,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/8R4de7Vs#79,
07tSd,2r2rk1/p5pp/b3p3/2P1B3/3PQ3/1R6/P2q2PP/4R1K1 w - - 3 25,b3g3 d2f2 g1h1 f2f1 e1f1 f8f1,1726,79,93,1907,backRankMate long master mate mateIn3 middlegame sacrifice,https://lichess.org/xXhyVVhi#49,
097wk,2r3k1/p3Qp1p/1p2p1p1/4P3/q4P2/6P1/PP5P/1K1R4 w - - 8 30,e7d7 a4c2 b1a1 c2c1 d1c1 c8c1,1695,78,95,26450,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/jWBqWVx1#59,
09J8i,r2r2k1/pp3pp1/5q1p/2P5/1Pbn4/2P1RQ2/P4PPP/RN4K1 w - - 0 19,f3f6 d4e2 e3e2 d8d1 e2e1 d1e1,1683,77,87,774,backRankMate clearance long mate mateIn3 middlegame sacrifice,https://lichess.org/XZChpYW2#37,
0EFzB,2k2r1r/ppp3p1/3b1q1p/4n3/3PQ3/2N5/PP4PP/R1B1R1K1 w - - 1 22,d4e5 f6f2 g1h1 f2f1 e1f1 f8f1,1624,91,79,67,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/j8MgfHae#43,
0HVYz,2r2rk1/3b2pp/pq2p3/1p1Nb3/8/P3P2P/1P2B1P1/2RQ1RK1 b - - 0 23,c8c1 d5e7 g8h8 f1f8,1719,78,80,450,backRankMate deflection mate mateIn2 middlegame short,https://lichess.org/YdDMQzpq/black#46,
0JBuB,6k1/1ppb2pp/p5r1/3N4/PP1P4/2P1p1r1/3NK3/R4R2 b - - 1 31,e3d2 d5e7 g8h8 f1f8,1686,79,67,170,backRankMate endgame fork mate mateIn2 short,https://lichess.org/KI1Kzl2U/black#62,
0Nk4r,3q2k1/pQ4pp/1bp1P3/3b2N1/3n4/7P/P4PP1/4R1K1 b - - 0 30,d8g5 b7f7 g8h8 f7e8,1809,81,75,458,backRankMate endgame mate mateIn2 short,https://lichess.org/FIOZtPfx/black#60,
0OcPH,r5k1/1bq1bRpr/1p2Q3/1p1nP3/3Pp3/2P4P/PP6/R1B3K1 b - - 0 25,a8e8 f7e7 g8h8 e7e8,1695,79,82,547,backRankMate discoveredAttack discoveredCheck mate mateIn2 middlegame short,https://lichess.org/RvtipzzY/black#50,
0QCkM,1R6/4kp1p/4p1p1/3b4/P1B5/1Pn2N2/1r3PPP/6K1 w - - 7 34,c4d5 b2b1 f3e1 b1e1,1687,83,76,329,backRankMate endgame mate mateIn2 short,https://lichess.org/FZGt8KFd#67,
0SeQP,3r1rk1/7p/p3Rpp1/3R1n2/P1P3q1/2Q5/1B3PPP/6K1 w - - 1 28,e6f6 g4d1 d5d1 d8d1 c3e1 d1e1,1751,75,95,192,backRankMate long mate mateIn3 middlegame sacrifice xRayAttack,https://lichess.org/s05CqgZe#55,
