PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
05Kk4,1k1r3r/pp1nbpp1/2p1pn1p/q4b2/3P4/1BP1BN1P/PP2QPP1/1NKR3R w - - 1 16,b1d2 a5c3 b2c3 e7a3,1767,77,96,3853,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/4haYPkvo#31,Caro-Kann_Defense Caro-Kann_Defense_Main_Line
0f47Y,4r3/2p2kb1/p4q1p/1p1P4/4P3/2P2bN1/PP2QP2/R3K2R w KQ - 0 22,e2f1 f6c3 b2c3 g7c3,1821,78,96,7520,bodenMate mate mateIn2 middlegame sacrifice short,https://lichess.org/k7uyCqyV#43,
0yw37,2krrq2/pp1n1ppp/2p2n2/3p4/3P1B2/P1QB1P2/1PP2P1P/2KRR3 b - - 0 15,e8e1 c3c6 b7c6 d3a6,1736,78,91,2338,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/O3BcBtPZ/black#30,French_Defense French_Defense_Exchange_Variation
1Nvhy,2r1kb1r/5ppp/p1N1pn2/3p4/3P1B2/2Pb4/PP1N1PPP/2KR3R w k - 3 15,c6e5 c8c3 b2c3 f8a3,1711,163,22,42,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/CxIrHBdm#29,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
2G7LJ,2kr3r/ppp1qpp1/3b1n1p/1b1p4/3P4/1P2PN1P/PBPN1PP1/R2QK2R w KQ - 3 12,c2c3 e7e3 f2e3 d6g3,1649,196,86,48,bodenMate mate mateIn2 middlegame sacrifice short,https://lichess.org/QI0T2fcc#23,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Other_variations
2HgA5,3rk3/1p3p2/4pn1p/p1Bb2p1/6PP/1P1BRP2/r7/4R1K1 b - - 1 29,f6d7 e3e6 d5e6 e1e6 f7e6 d3g6,1768,81,88,12200,bodenMate long mate mateIn3 middlegame sacrifice,https://lichess.org/yHDBiF7X/black#58,
2VFQF,2kr3r/pp1n1ppp/3B1n2/8/8/5P2/PP3P1P/2KR1B1R b - - 0 17,b7b6 f1a6,1669,375,37,20,bodenMate mate mateIn1 middlegame oneMove,https://lichess.org/n6YVh8FG/black#34,Scandinavian_Defense Scandinavian_Defense_Portuguese_Gambit
3TJJx,4r1k1/1p3p1p/p5p1/q1bQ1b2/8/2P3PP/PP1N4/2KR3R w - - 6 25,h1e1 a5c3 b2c3 c5a3,1890,81,94,7784,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/y9fXtEbv#49,
3TkP9,r3k2r/ppp1qpp1/b2b1n2/3p4/P2P3p/1PP1PN2/1B1N1PPP/R2QK2R w KQkq - 0 15,h2h3 e7e3 f2e3 d6g3,1813,112,27,55,bodenMate mate mateIn2 middlegame sacrifice short,https://lichess.org/aLyA7xQO#29,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
3fB7g,r2qr1kb/7p/2np1ppB/p2N4/4P1Q1/1P1n2PB/P4P1P/1R2R1K1 b - - 5 25,d3e1 g4e6 e8e6 h3e6,1749,85,89,18815,bodenMate kingsideAttack master mate mateIn2 middlegame sacrifice short,https://lichess.org/tknQMlXj/black#50,
3ouOk,r3r1k1/pp2n1pp/2pb4/q2pNpPP/3Pb3/2P1B3/PP1NQP2/2KR3R w - - 2 18,a2a3 a5c3 b2c3 d6a3,1705,84,91,11595,bodenMate deflection mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/l0DKofVt#35,French_Defense French_Defense_Exchange_Variation
3q6UK,2r3k1/4bppp/Q7/2r2bP1/3p3P/2B5/PP1N1P2/2KR3R w - - 0 25,a6a3 c5c3 a3c3 c8c3 b2c3 e7a3,1652,84,89,3579,bodenMate long mate mateIn3 middlegame queensideAttack,https://lichess.org/EdtF5YmK#49,
3sEmC,r3kbnr/pp3pp1/4p2p/8/7B/P4B2/1qnNKPPP/R2Q3R b kq - 1 13,c2a1 d1a4 b7b5 f3c6,1823,80,89,6979,bodenMate mate mateIn2 middlegame short,https://lichess.org/JfAA16eX/black#26,Queens_Pawn_Game Queens_Pawn_Game_Krause_Variation
3teuf,rn2r1k1/ppp3bp/6p1/8/3q2b1/2N1BQP1/PPP2P1P/R3KB1R w KQ - 1 16,f3f4 d4c3 b2c3 g7c3,1775,82,93,5932,bodenMate mate mateIn2 opening sacrifice short,https://lichess.org/C2n3ucfN#31,East_Indian_Defense East_Indian_Defense_Other_variations
