PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00j1r,8/2rkb3/1p6/6P1/5q2/3R4/Q1P1K3/8 b - - 4 37,d7c6 a2d5,1644,79,88,4720,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/2Nj3D5mV/black#74,
01QgQ,r1qk4/pp4Q1/2p1p3/4Pp1B/7P/6P1/P5K1/8 b - - 4 41,c6c5 g7f8 d8c7 f8d6,1626,75,97,1949,dovetailMate endgame mate mateIn2 short,https://lichess.org/xBcvuwZY/black#82,
047Qs,2kr3r/4q1pp/1Q3p2/3pp3/P7/2R1PP2/3P1P1P/6K1 b - - 0 23,c8d7 b6c6,1725,82,82,396,dovetailMate endgame mate mateIn1 oneMove,https://lichess.org/yy4T5OMz/black#46,
09vpf,rn5r/pp1pkppp/4p3/2Q5/1P6/6B1/P3B1PP/qN2K2n b - - 2 15,e7f6 g3h4 g7g5 c5g5,1644,75,95,3818,dovetailMate mate mateIn2 middlegame short,https://lichess.org/p0xvjjiz/black#30,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation
0XIa7,N6r/pp1k1ppp/n1pp4/6q1/4P3/2KP1P2/PPP4R/R4Q2 w - - 1 17,f3f4 g5a5 b2b4 a5b4,1611,75,98,1166,dovetailMate mate mateIn2 middlegame short,https://lichess.org/PzSnxuxe#33,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
0b9rn,r4r2/p1p3pp/3p2k1/3P4/3Q2RP/P7/KPP3q1/8 b - - 10 42,g2g4 d4g4 g6f7 g4e6,1609,76,83,1804,dovetailMate endgame hangingPiece mate mateIn2 short,https://lichess.org/miqB7d4f/black#84,
0gxKB,R3r3/1Q1k4/5p1p/3pq3/2p5/8/2p3PP/7K b - - 0 35,d7d6 a8a6 d6c5 b7b6,1774,79,88,143,dovetailMate endgame mate mateIn2 short,https://lichess.org/G5k1R9yB/black#70,
14HlK,3r4/1q2kp2/2p1RNpQ/1p1p3p/3P4/6P1/1PP2P1P/6K1 b - - 0 30,e7e6 h6e3 e6f6 e3e5,1804,77,95,14818,dovetailMate endgame mate mateIn2 sacrifice short,https://lichess.org/2wYRgJZR/black#60,
15nRJ,8/4r1k1/PQ1R1p2/1P2p3/6p1/7P/6P1/2q4K w - - 1 44,h1h2 g4g3 h2g3 c1f4,1816,77,92,408,attraction dovetailMate endgame mate mateIn2 short,https://lichess.org/2Shdj0GE#87,
18XL6,4r3/2p2pp1/QB2k3/5q2/4p2p/7P/PP4P1/3R3K b - - 0 27,c7b6 a6b6 e6e7 b6d6,1702,80,93,8894,dovetailMate endgame mate mateIn2 short,https://lichess.org/cwIXR2OL/black#54,
1M2AT,3r2r1/2pk1p2/p2qp2n/1p6/3PQ2p/1BP5/PP5P/2K2R2 b - - 6 26,d6h2 f1f7 h6f7 e4e6,1634,76,91,2829,dovetailMate mate mateIn2 middlegame sacrifice short,https://lichess.org/IF9l54gr/black#52,
1cuKu,4r3/3q1k1Q/p5pb/5p2/P1P5/1PB3P1/5P2/7K b - - 0 36,f7e6 h7g6 e6e7 g6f6,1611,76,87,1245,dovetailMate endgame fork mate mateIn2 short,https://lichess.org/1zZ5SdqG/black#72,
1lcSc,8/8/4Qpkp/3p4/2p2q2/7P/6P1/7K b - - 3 40,f4e5 e6g8 g6f5 g8g4,1613,75,95,24867,dovetailMate endgame mate mateIn2 queenEndgame short,https://lichess.org/D6U5bLQR/black#80,
25WkK,2r2kQ1/pb5B/4p3/b2pP3/1p6/q7/P4PPP/6K1 b - - 3 29,f8e7 g8g7 e7e8 h7g6 e8d8 g7f8 d8c7 f8d6,1830,75,95,5576,dovetailMate endgame mate mateIn4 veryLong,https://lichess.org/85nia8TC/black#58,
2Bc7E,3r1k2/1p3ppQ/4p3/B3q3/3b4/P5RP/1P3PPK/1Br5 b - - 2 31,d4f2 h7h8 f8e7 h8d8,1867,77,95,3232,dovetailMate mate mateIn2 middlegame short,https://lichess.org/61uSGsY1/black#62,
2J6Oa,rnb1k2r/ppp2ppp/4p3/3nP3/3P3q/2b5/PPPBK1PP/R2Q1BNR w kq - 0 9,d2c3 h4e4 e2f2 e4e3,1623,86,87,152,dovetailMate mate mateIn2 opening short,https://lichess.org/JcUDxu5D#17,Blackmar-Diemer_Gambit_Declined Blackmar-Diemer_Gambit_Declined_Weinsbach_Defense
