PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01KVi,2r3q1/1p6/p2p3R/3PpkP1/4np2/3B4/PP6/1K4R1 b - - 5 31,g8d5 h6f6,1268,160,81,59,endgame epauletteMate mate mateIn1 oneMove pin,https://lichess.org/3alLBNAk/black#62,
01QId,8/Q4pk1/1Pq3p1/8/4RKP1/4RP1P/P7/6r1 w - - 9 43,a7c7 c6f6,1160,75,98,1038,endgame epauletteMate mate mateIn1 oneMove,https://lichess.org/GHY79hnM#85,
020XG,2rk1r2/ppp3RR/4P3/8/b1P1p3/P3P3/4KP2/8 b - - 2 36,f8e8 g7d7 a4d7 h7d7,1037,80,87,230,endgame epauletteMate mate mateIn2 sacrifice short,https://lichess.org/IsYyI1LZ/black#72,
023qj,r1b1Q1kr/pp1p1p2/5Bnp/1q4p1/5p2/8/PPP3PP/2KR3R b - - 1 20,g8h7 e8f7,1294,75,95,1764,epauletteMate master mate mateIn1 middlegame oneMove,https://lichess.org/ChGn1Gd0/black#40,
02FvD,3R4/5Qkp/4p1p1/4q3/pr4PP/2P5/5P2/K2R4 b - - 0 31,g7f7 d1d7 f7f6 d8f8,1180,85,92,679,endgame epauletteMate mate mateIn2 queenRookEndgame short,https://lichess.org/fW29rasF/black#62,
03Zi5,1r6/2R2p1p/4kp2/p2p1p2/8/1P2PK2/P4P1r/2R5 b - - 3 25,b8g8 c1c6 e6e5 c7e7,1166,76,83,967,endgame epauletteMate mate mateIn2 rookEndgame short,https://lichess.org/ukylkCXF/black#50,
04o8W,3r4/R7/8/4R3/1P3p2/3k4/P3p1PP/2r1K3 w - - 2 43,e1f2 c1f1,1031,94,92,1353,endgame epauletteMate mate mateIn1 oneMove rookEndgame,https://lichess.org/6JDAQ2Ba#85,
04p5R,2r5/1k4q1/2pRp3/ppQ1Pp1p/8/2P1P3/PP3PrP/3R2K1 w - - 0 30,g1f1 g2g1 f1e2 g7g4 f2f3 g4g2 e2d3 g1d1,1242,99,92,68,deflection endgame epauletteMate mate mateIn4 veryLong,https://lichess.org/9vFqJ15K#59,
05cho,r6r/pp1q1p1k/2pb1Q1p/3p1b2/3P1P2/3B2R1/PPP3PP/RN4K1 b - - 0 18,f5d3 g3g7,1042,80,86,743,epauletteMate mate mateIn1 middlegame oneMove,https://lichess.org/R8hPMUQ0/black#36,French_Defense French_Defense_Exchange_Variation
05oiM,rnb5/pp1p2kp/1q2p1pQ/5r2/8/1P3N2/P1P3P1/RN3K1R b - - 1 16,g7f6 h6f8,1292,77,87,1633,epauletteMate mate mateIn1 middlegame oneMove,https://lichess.org/6AK36chM/black#32,Benoni_Defense Benoni_Defense_Old_Benoni
