PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00bJi,7k/1p2R3/p3N3/3p4/2n5/2P5/PPK4r/8 w - - 3 36,c2d3 h2d2,1465,79,89,2133,endgame hookMate mate mateIn1 oneMove,https://lichess.org/7QIgY2UO#71,
01our,8/p4R1p/1p4k1/4p3/5n2/PN2KP2/2r4P/8 w - - 1 32,f7a7 c2e2,1473,84,71,375,endgame hookMate mate mateIn1 oneMove,https://lichess.org/7V5KUJI5#63,
023E4,1r5N/1p1kR1bp/p7/2pN3B/2Pn1P2/8/b5PP/6K1 b - - 1 25,d7d6 h8f7 d6c6 e7c7,1437,75,95,14879,hookMate mate mateIn2 middlegame short,https://lichess.org/94q1e8Cj/black#50,
02zWb,r6r/ppp3pp/2b2k2/5pN1/5P2/4R3/PPP4P/2K1R3 b - - 7 23,a8e8 e3e6 e8e6 e1e6,1579,75,95,2567,collinearMove endgame hookMate mate mateIn2 short,https://lichess.org/dVFEWefN/black#46,
04KsJ,8/8/1R6/5k2/4p3/5n1R/2r2P2/6K1 w - - 1 44,g1f1 c2c1 f1g2 c1g1,1374,75,65,156,endgame hookMate master mate mateIn2 short,https://lichess.org/LncSIqgP#87,
085bc,6k1/R5p1/4p1N1/4P2P/3pn1P1/4r3/8/5K2 b - - 2 44,d4d3 a7a8 g8f7 a8f8,1500,79,92,5060,endgame hookMate master mate mateIn2 short,https://lichess.org/auolPvHR/black#88,
08WLD,4r3/2p1r1p1/1p2Npk1/p2Pn3/4R3/2P5/P6P/6RK b - - 5 31,g6f5 e4f4,1543,86,68,321,endgame hookMate mate mateIn1 oneMove,https://lichess.org/bJVOmvAw/black#62,
095KI,4R3/8/3PNk1p/p1P2pp1/6n1/P5P1/1r4KP/5B2 w - - 2 39,g2f3 b2f2,1467,85,85,2470,endgame hookMate mate mateIn1 oneMove,https://lichess.org/RUlcQi1G#77,
0BGs9,6k1/3R2p1/4p1Np/7P/8/1b6/1P1K4/5r2 b - - 3 34,f1h1 d7d8 g8f7 d8f8,1562,75,96,3066,endgame hookMate mate mateIn2 short,https://lichess.org/MwjV3fJ6/black#68,
0FQW5,r1b2r2/4qpk1/2p1pNpQ/2PnP3/pp3PP1/3BPR2/P6P/3R2K1 b - - 0 27,g7h6 f3h3 h6g7 h3h7,1458,77,93,699,hookMate mate mateIn2 middlegame short,https://lichess.org/wGGcepU2/black#54,
