PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02sI2,3R4/ppp3rk/5Q2/8/2q5/5P2/1P1R2Pr/5K2 w - - 6 34,f1f2 g7g2 f2e3 g2e2 d2e2 h2e2,2066,81,92,1546,collinearMove endgame killBoxMate long mate mateIn3,https://lichess.org/Gkb35VCD#67,
0TVqw,6k1/p4pP1/4p2Q/8/3Bn2P/1r3K2/2q5/3R3R w - - 0 33,d4e3 c2f2 f3e4 f2f5 e4d4 f5d5,2051,78,89,499,exposedKing killBoxMate long mate mateIn3 middlegame pin sacrifice,https://lichess.org/GUA4798h#65,
0ek70,1Q4k1/r2r2pb/2p1pB2/1p3p1q/3P4/5R2/2P3R1/6K1 b - - 5 37,g8f7 g2g7 f7f6 b8e5,1968,76,93,2143,killBoxMate mate mateIn2 middlegame sacrifice short,https://lichess.org/4Owgmdrd/black#74,
14PPn,8/bp3p1k/2p2Q1p/p3B2P/2qP2r1/P7/1P3P2/3R1K2 w - - 2 34,f1e1 g4e4 e1d2 e4e2,2031,86,87,69,endgame killBoxMate mate mateIn2 short,https://lichess.org/tCbsKbCh#67,
1AZvC,r7/pppk1p2/4b2p/7n/3Q2p1/BP3qp1/P1P4P/R3R1K1 b - - 2 22,e6d5 e1e7 d7c6 d4c5,1932,79,93,1040,killBoxMate mate mateIn2 middlegame short,https://lichess.org/wFOqPE6m/black#44,
1BK21,5r1k/3R4/1p4pp/7K/PP1pQ1P1/8/2P2q1P/8 w - - 0 43,h5h6 f2h4 h6g6 f8f6,1930,77,83,197,endgame killBoxMate mate mateIn2 short,https://lichess.org/6owaiQcd#85,
1RAL1,5k2/pp2rp2/7R/5K2/2Q1PP2/2P5/Pr3q2/8 b - - 4 32,f2e2 h6h8 f8g7 c4d4 e7e5 d4e5 f7f6 e5f6,2167,85,89,815,endgame killBoxMate mate mateIn4 veryLong,https://lichess.org/ajxy7Xdf/black#64,
1buxu,2k5/p4pp1/1pQ1pq2/8/2Pr4/5P2/4KP1R/r7 b - - 1 40,c8d8 h2h8 d8e7 h8e8,1974,199,59,31,endgame killBoxMate mate mateIn2 short,https://lichess.org/fy898QDZ/black#80,
1dhI6,5R2/p1R1Q1pk/1p2b2p/4q3/4P3/P2rB3/6PP/6K1 w - - 10 30,e3h6 e5d4 g1f1 d3d1 f1e2 d4d3 e2f2 d1f1,2101,76,94,6013,killBoxMate mate mateIn4 middlegame veryLong,https://lichess.org/9IYR5ILk#59,
1iHp2,r1b4r/pp2bRpp/3p4/2kp4/Q7/4P3/PqP3PP/3R2K1 b - - 3 18,e7f6 a4a5 b2b5 f7c7,2180,76,94,9470,epauletteMate killBoxMate mate mateIn2 middlegame short,https://lichess.org/aGRJGKUa/black#36,Pirc_Defense Pirc_Defense_Other_variations
1jEnT,4r3/1p4k1/2n5/p4pR1/5Q1K/PP1p1P2/7P/4rq2 b - - 0 45,g7f7 f4f5 f7e7 g5g7 e7d6 g7d7,1978,75,99,1312,endgame exposedKing killBoxMate long mate mateIn3,https://lichess.org/oTkKFcG3/black#90,
1qZmQ,6rk/5p1p/7R/p3p3/Pp1pP3/1q1P1Q1P/1P4r1/5R1K b - - 1 29,b3b2 h6h7 h8h7 f3h5 h7g7 f1f7,2047,79,83,289,attraction discoveredAttack endgame killBoxMate long mate mateIn3 sacrifice,https://lichess.org/qj62Ftbz/black#58,
1qeMA,2kr1bnr/R1p2p2/1p3Q2/1P1pP3/3PR3/2P3Bq/1N3Kp1/8 b - - 0 29,d5e4 a7a8 c8b7 f6c6,2055,77,87,212,killBoxMate mate mateIn2 middlegame queensideAttack short,https://lichess.org/ohlRpT4q/black#58,
