PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
009wR,1R2R3/p7/1p1k3p/1Pb5/P5p1/6P1/5rKP/8 w - - 6 41,g2h1 f2f1 h1g2 f1g1,1245,76,93,554,endgame mate mateIn2 operaMate short,https://lichess.org/tBBaKL5q#81,
00Hxb,1rbr1k2/p4ppp/2B5/2pR1NP1/2P5/P7/7P/4R1K1 b - - 0 27,d8d5 e1e8,1125,81,83,1196,endgame mate mateIn1 oneMove operaMate,https://lichess.org/FW9LwaHK/black#54,
00LNB,kr6/1pR4p/p4R2/n2r4/P3p3/4B3/6PP/6K1 b - - 0 38,d5d3 f6a6 b7a6 c7a7,1118,75,98,2742,endgame mate mateIn2 operaMate sacrifice short,https://lichess.org/MQYDGoEM/black#76,
00Pw1,5r1k/2p3Rp/3p4/p2Pn3/1p2B3/1P6/PKP2r1P/6R1 b - - 1 28,f2e2 g7h7,1075,75,98,1118,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/WAkWH6IK/black#56,
00nZE,r1b1r1k1/pp1p1p1Q/2n2Bp1/2p1qp2/2B1P3/3P1R2/PPP3PP/R5K1 b - - 0 16,g8h7 f3h3 h7g8 h3h8,1006,82,93,2323,mate mateIn2 middlegame operaMate short,https://lichess.org/E33kjLxE/black#32,Sicilian_Defense Sicilian_Defense_Grand_Prix_Attack
00sd6,r2brk1Q/pp3pp1/1q1pb1n1/1Bp1p1P1/4P3/P1PPBN2/5P2/1R2K2R b K - 10 26,g6h8 h1h8 f8e7 h8e8,1101,81,94,498,mate mateIn2 middlegame operaMate short,https://lichess.org/970jZM32/black#52,
00vl5,5r2/p1k2qpp/2n5/2N1p3/2b5/2P1B3/PP1Q2PP/4R1K1 w - - 5 24,b2b3 f7f1 e1f1 f8f1,1066,87,93,593,mate mateIn2 middlegame operaMate sacrifice short,https://lichess.org/FkJvHJjC#47,
00xDa,q7/3kbpp1/4p3/1p1pP3/2pPb1P1/1PP1B3/1Q3P1r/R5K1 w - - 0 28,a1a8 h2h1,1279,78,88,888,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/trNxydY0#55,
0104L,6k1/pQ3pp1/7p/8/3P4/6Pb/PPr2r1P/2R3K1 w - - 0 25,c1c2 f2f1,1093,78,98,352,endgame mate mateIn1 oneMove operaMate,https://lichess.org/3aGTwTFn#49,
01Dsa,8/7Q/2kp4/4p3/5r1P/3P2K1/6P1/6b1 w - - 5 46,h4h5 g1f2 g3h3 f4h4,1035,76,88,231,endgame mate mateIn2 operaMate short,https://lichess.org/bgWBphZU#91,
01mxd,8/4rk1p/P4p2/5R2/3b4/1P5P/2P3P1/1K6 w - - 1 36,f5d5 e7e1 b1a2 e1a1,1078,225,67,4,endgame mate mateIn2 operaMate short,https://lichess.org/AmnKKBMZ#71,
029IP,1r4k1/6b1/2p3R1/p2p4/P7/QP6/2P1r3/1K6 w - - 0 35,a3d6 e2e1 b1a2 e1a1,1080,78,77,150,endgame mate mateIn2 operaMate short,https://lichess.org/J8nKmH4n#69,
02Kyt,4r3/pp3k2/5p2/3b4/2pQ2Pp/7P/PPP2P2/3Rq1K1 w - - 1 27,d1e1 e8e1 g1h2 e1h1,1251,100,45,37,endgame mate mateIn2 operaMate short,https://lichess.org/Xuz0DCZZ#53,
02R28,2Q2r2/6kp/3P4/pN1Qp2q/2P1P3/P3brPp/6bP/R3R1K1 w - - 1 32,e1e3 f3f1 a1f1 f8f1,1203,77,84,528,kingsideAttack mate mateIn2 middlegame operaMate short,https://lichess.org/QuPc7btg#63,
02ufd,1r3r2/5qbk/Rp1p2np/2pNp1p1/1PP1P3/3P2Pb/2QB3P/4R1KB w - - 1 25,d2e3 f7f1 e1f1 f8f1,1032,111,94,1479,kingsideAttack mate mateIn2 middlegame operaMate sacrifice short,https://lichess.org/nwSkeP1p#49,
03Xbj,3r2k1/5pb1/4p1pp/2Pr4/1PQ1N1bP/4P1P1/2P5/2K2R2 w - - 1 28,c5c6 d5d1 f1d1 d8d1,1109,115,67,46,mate mateIn2 middlegame operaMate pillsburysMate queensideAttack short,https://lichess.org/BEzQwEp8#55,
