PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
3EYtF,8/1kr5/3R1R2/p1p2p2/P1B5/1P1Kp3/2P2q2/8 b - - 5 44,e3e2 c4d5 b7b8 d6b6 b8c8 f6f8 c8d7 d5e6 d7e7 f8f7 e7e8 b6b8 c7c8 b8c8,2714,101,92,1475,endgame exposedKing mate mateIn5 pillsburysMate veryLong,https://lichess.org/4SElmWb4/black#88,
4ZbRx,r1b2rk1/p1p1pp1p/1p4pQ/3P2B1/3bN3/6P1/P3RPPK/5q2 b - - 3 23,d4f2 e4f6 e7f6 h6f8 g8f8 g5h6 f8g8 e2e8,2558,104,91,2253,attraction kingsideAttack mate mateIn4 middlegame pillsburysMate sacrifice veryLong,https://lichess.org/HuT6q8Cf/black#46,
5TqPW,r3nk1r/p1qn2p1/1p2RbBp/2p5/5P2/2N1B3/PPP2P1P/4R1K1 b - - 4 19,f6c3 e6e8 a8e8 e3c5 e8e7 e1e7 f8g8 e7e8 d7f8 e8f8,2596,98,92,6030,mate mateIn5 middlegame operaMate pillsburysMate veryLong,https://lichess.org/OXjxhRFd/black#38,Zukertort_Opening Zukertort_Opening_Tennison_Gambit
5XNKb,r6r/1p1k1ppp/p2Bp3/q2pPn2/N7/1P1Q4/5PPP/R5K1 b - - 7 18,a5b5 d3b5 a6b5 a4b6 d7c6 a1c1 c6b6 d6c7 b6a7 c1a1,2621,82,93,5587,fork mate mateIn5 middlegame pillsburysMate sacrifice veryLong,https://lichess.org/2EqradbB/black#36,French_Defense French_Defense_Advance_Variation
5hwLB,6k1/5p1p/6p1/8/4PB2/6NP/rr3bP1/3R3K b - - 1 27,g6g5 d1d8 g8g7 g3h5 g7h6 d8d6 f7f6 d6f6 h6h5 g2g4 h5h4 f6h6,2697,97,91,2301,endgame mate mateIn5 pillsburysMate sacrifice veryLong,https://lichess.org/Y2F51xwx/black#54,
64uIK,r1bq1rk1/p3b1p1/1ppp1nP1/4pP2/2P5/4B2Q/PPB3P1/2KR4 b - - 0 21,f8e8 d1h1 g8f8 h3h8 f6g8 h8g7 f8g7 h1h7 g7f6 h7f7,2506,81,97,1217,attraction kingsideAttack mate mateIn5 middlegame pillsburysMate quietMove sacrifice veryLong,https://lichess.org/xvOWnhYr/black#42,
70tFj,r6r/pp2R1bk/6p1/2pN2Np/2P3n1/3q4/PP1B2P1/2K2R2 b - - 1 25,h7g8 e7g7 g8g7 g5e6 g7g8 d5e7 g8h7 f1f7,2531,103,90,2919,attraction exposedKing kingsideAttack mate mateIn4 middlegame pillsburysMate sacrifice veryLong,https://lichess.org/HimHaSne/black#50,
7LasP,5r1k/3RR3/p6B/1p2p3/4b3/5nP1/PPr2PKP/8 w - - 0 35,h6f8 f3g1 g2g1 c2c1 d7d1 c1d1,2508,91,85,444,attraction discoveredAttack discoveredCheck endgame long mate mateIn3 pillsburysMate sacrifice,https://lichess.org/cYq70ECR#69,
7gVfy,8/4bp1k/P3p1p1/1Q2Pn1p/2P5/6PK/P4r1P/8 w - - 3 36,a6a7 g6g5 g3g4 h5g4 h3g4 f2f4 g4h3 g5g4 h3g2 f5e3 g2g3 f4f3,2610,90,93,5189,attraction endgame mate mateIn5 pillsburysMate quietMove veryLong vukovicMate,https://lichess.org/rCHazGf4#71,
9bnFg,1k1r4/1b5R/p3p3/2Q1P1b1/8/8/PP2r1PP/5RK1 w - - 1 32,c5b4 e2g2 g1h1 g2g1 h1g1 g5e3 f1f2 d8d1 b4e1 d1e1,2515,81,93,6640,attraction discoveredCheck doubleCheck mate mateIn5 middlegame pillsburysMate pin sacrifice veryLong,https://lichess.org/a6KV1KMS#63,
BjPny,5Q2/8/1P6/8/8/4kbBp/1r5K/8 w - - 5 63,h2g1 h3h2 g3h2 b2b1,2528,85,96,1840,advancedPawn endgame mate mateIn2 pillsburysMate short,https://lichess.org/ikIueKtJ#125,
CAe0p,8/6PR/4N3/7p/7b/5k2/6r1/6K1 w - - 3 48,g1f1 g2d2 e6g5 h4g5 f1e1 d2c2 g7g8q c2c1,2545,85,93,908,endgame master mate mateIn4 pillsburysMate quietMove veryLong,https://lichess.org/rmnhulNW#95,
DtYhe,1k2r1r1/ppp2Q2/1n1b4/8/3P4/2P2B1P/PPq3P1/R1B2RK1 w - - 3 24,f1f2 c2f2 g1f2 d6g3 f2g1 e8e1,2574,86,93,3609,attraction kingsideAttack long mate mateIn3 middlegame pillsburysMate sacrifice,https://lichess.org/KAoLMlNw#47,
