PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00Bn0,r1bqkb1r/pp1pnppp/2n1p3/1N6/5B2/8/PPP1PPPP/R2QKBNR b KQkq - 4 6,e6e5 b5d6,1032,106,74,159,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/uxtqY7nh/black#12,Horwitz_Defense Horwitz_Defense_Other_variations
017Lc,r1b2rk1/pp3ppp/2p1pn2/8/2P5/n5Q1/PP1BN1PP/Kq1R1B1R w - - 10 22,d1b1 a3c2,1065,151,83,15,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/VaAPfIHH#43,
01Tfr,1q2r1Qk/4B1bp/6pN/p1pN4/8/8/P1P2PPP/1r1R2K1 b - - 8 25,e8g8 h6f7,1205,89,55,96,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/UhmNTl3i/black#50,
01ZWA,4r1k1/p2Q2bp/4p1p1/1p2r1B1/8/1P5n/P5PP/4RRqK w - - 4 26,f1g1 h3f2,1071,79,95,362,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/C4VTQ2sS#51,
01rgi,rn1qkbnr/pp2pppb/2p4p/7P/2P1N3/3B1N2/PP2QPP1/R1B1K2R b KQkq - 0 10,b8d7 e4d6,1067,85,91,684,mate mateIn1 oneMove opening pin smotheredMate,https://lichess.org/qGETyzwU/black#20,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation
02U15,3rkbnr/pp1b1ppp/2n5/2pBP3/4NP2/5N2/PP4PP/R1B1K2R b KQk - 6 12,g8e7 e4d6,1142,77,97,2951,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/ja0lqoSv/black#24,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
044zE,Q1b2rk1/3p1p2/p1p4p/1p4p1/8/1BP3Pn/PP4PP/RN2R1qK w - - 8 21,e1g1 h3f2,1016,172,75,87,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/PF7OqhKv#41,
054Pk,rn3rQk/pp4pp/2p4N/q3p3/8/1PP1n3/P5PP/2KR2NR b - - 7 20,f8g8 h6f7,1014,79,89,760,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/rTVuXmKM/black#40,
05V0f,kQ4rr/pp6/N4b2/5P2/3p4/Pq3NP1/1P4KP/1RB4R b - - 8 35,g8b8 a6c7,1173,145,100,14,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/OSQgK15p/black#70,
05sSo,r4rk1/1p2pp2/3p1Bpp/p2P4/2P1RP2/5N1n/PP4PP/R1Q2BqK w - - 5 23,f3g1 h3f2,1257,295,69,36,master mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/8C3PQAiM#45,
06XV4,3qkb1r/pb1pppp1/1p3n2/nN4B1/2r5/P3QNP1/1P2PPB1/R4RK1 b k - 4 15,a7a6 b5d6,1143,80,93,4051,master masterVsMaster mate mateIn1 middlegame oneMove pin smotheredMate,https://lichess.org/26XMjnHi/black#30,Zukertort_Opening Zukertort_Opening_Sicilian_Invitation
07Qdz,r1b1k1nr/1pp1qppp/1p6/4n3/1P1p4/P4N2/1B1NPPPP/R2QKB1R w KQkq - 0 11,b2d4 e5d3,1257,75,96,3583,mate mateIn1 oneMove opening pin smotheredMate,https://lichess.org/43klrOnM#21,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit
07jsZ,r1bqkb1r/pppp2pp/5n2/3Pnp2/2P1p3/2N1P3/PP1B1PPP/R2QKBNR w KQkq - 3 7,g1e2 e5d3,1095,90,58,192,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/D28PjRxs#13,
08IVZ,r1qkQr2/bbppn2p/p1nN1p2/1p6/3PP3/1BN5/PPP3PP/R1B1K2R b KQ - 5 15,f8e8 d6f7,1266,97,100,78,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/jhZUrGkH/black#30,Owen_Defense Owen_Defense_Other_variations
09KTY,3r2k1/pQ3pp1/7p/2p5/5P2/1P5n/P5PP/5RqK w - - 7 28,f1g1 h3f2,1030,78,90,120,endgame mate mateIn1 oneMove smotheredMate,https://lichess.org/j17P814k#55,
0AlT8,r1bqkb1r/pp1pnpp1/4p2p/1B2P1B1/3PN3/8/PP3PPP/R2Q1RK1 b kq - 1 11,h6g5 e4d6,1189,140,57,46,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/ZO3pjzX2/black#22,Sicilian_Defense Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack
0AnwQ,r4rk1/5p1p/p5p1/2pq4/2pNn3/P1P1PN1P/2Q3RB/6RK w - - 0 29,f3d2 e4f2,1183,113,67,78,mate mateIn1 middlegame oneMove pin smotheredMate,https://lichess.org/fGJuCghB#57,
0CJLB,3qkbnr/p2r1ppp/2Q1p3/1NPpP3/8/2P1B3/P4PK1/1R3R2 b k - 0 19,g8e7 b5d6,1149,77,100,334,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/5Dr2OCsv/black#38,
0Cbzh,r2qkbnr/pp2pppp/8/2p1n3/3p4/2P2P2/PP1PNP1P/R1BQKB1R w KQkq - 0 8,c3d4 e5f3,1038,211,38,22,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/cCVSiFr7#15,
