PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00CtS,Q5k1/5q2/p2p4/b1p1pr2/P7/6P1/4KP1R/8 b - - 3 38,g8g7 a8h8 g7g6 h8h6,1010,77,96,3141,endgame mate mateIn2 short swallowstailMate,https://lichess.org/yKolw9vl/black#76,
02jeT,8/1kp5/1p1p4/4p3/4P2q/1PNP1Qb1/1PP3P1/6K1 w - - 2 38,g1f1 h4h1 f1e2 h1e1,1040,113,91,59,endgame mate mateIn2 short swallowstailMate,https://lichess.org/mIt8az4c#75,
04WtJ,rn3bnr/ppN2p1p/5k2/4Q1p1/3P1Bb1/8/PPP4P/R3KB1q b Q - 1 19,f6g6 e5g5,1151,79,89,196,mate mateIn1 middlegame oneMove swallowstailMate,https://lichess.org/RhgJWlFe/black#38,Vienna_Game Vienna_Game_Vienna_Gambit
05i97,5rk1/pq2r1pp/1p2p3/4B1Q1/3P1N2/2P1PP2/PnP2K1P/4R1R1 w - - 14 30,f4e6 b7f3,1117,80,91,759,mate mateIn1 middlegame oneMove swallowstailMate,https://lichess.org/dsgTsDlY#59,
091Sl,r2q1b1r/pppk2p1/3p3p/n2Pp3/6Q1/BP6/P1PP1PPP/R3K2R b KQ - 2 14,d7e7 g4e6,1067,81,94,1248,mate mateIn1 middlegame oneMove swallowstailMate,https://lichess.org/wLE4KNUn/black#28,Italian_Game Italian_Game_Two_Knights_Defense
09MoZ,5rk1/1p2pp1p/6p1/3Pq3/p2NP3/P4Rb1/B5P1/3Q3K w - - 2 29,d1d3 e5h5 h1g1 h5h2 g1f1 h2h1 f1e2 h1e1,1149,75,98,1742,mate mateIn4 middlegame swallowstailMate veryLong,https://lichess.org/G3ffLcqK#57,
09UC5,r2q3r/pp2k1p1/2pbp2p/5R1Q/2BP4/2P5/P1P3PP/R5K1 b - - 2 15,e6f5 h5f7,1030,84,95,147,mate mateIn1 middlegame oneMove swallowstailMate,https://lichess.org/9ghjuUwN/black#30,Caro-Kann_Defense Caro-Kann_Defense_von_Hennig_Gambit
0BpNz,rnbqkb1r/pp4pp/2pp1B2/1B2N3/3Pp3/8/PPP2PPP/RN1QK2R b KQkq - 0 7,g7f6 d1h5 e8e7 h5f7,1210,81,86,1091,mate mateIn2 opening short swallowstailMate,https://lichess.org/bMlkh2h9/black#14,Latvian_Gambit Latvian_Gambit_Mason_Countergambit
0EkH4,1b3rk1/1p3ppp/q4r2/2Pp4/3Pp3/2N1P2P/P3K1P1/2R1Q2R w - - 5 29,e2d2 a6d3,1121,77,87,393,mate mateIn1 middlegame oneMove swallowstailMate,https://lichess.org/3kb0mnJo#57,
0GLfz,r1b1r3/pp1k1pp1/2n1p2q/2Pp4/8/2P1P1Q1/PP1N2P1/R1K2R2 b - - 2 23,f7f6 g3d6,1085,93,33,50,mate mateIn1 middlegame oneMove swallowstailMate,https://lichess.org/9smpDXso/black#46,
