PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0H1ia,1Q6/4qbpk/p6p/5Pp1/2pPp1N1/2P4R/r6P/4K3 b - - 3 45,e7a3 g4f6 g7f6 h3h6 h7g7 b8h8,2167,78,88,118,deflection endgame long mate mateIn3 sacrifice triangleMate,https://lichess.org/0xmvG2TD/black#90,
0NgPE,8/pQ6/2pkr3/3q4/6P1/2PN2Kr/P1P2P2/8 w - - 0 37,g3h3 d5f3 h3h4 e6h6 h4g5 f3f6,1943,79,93,1712,endgame long mate mateIn3 triangleMate,https://lichess.org/GsHuVtiG#73,
0VQlf,r3r3/pp3p1p/2k5/2bR4/Q1P5/4q3/PP4PP/1K6 b - - 2 27,c6b6 a4b5 b6c7 d5d7 c7c8 b5b7,1905,75,85,441,endgame exposedKing long mate mateIn3 triangleMate,https://lichess.org/jzjkfYYU/black#54,
0ba8n,6rk/1p4rp/p3R3/4PQ2/2pP1R2/6P1/7P/4q1K1 w - - 1 35,g1g2 g7g3 h2g3 g8g3 g2h2 e1g1,1926,74,94,13607,endgame long mate mateIn3 sacrifice triangleMate,https://lichess.org/2XzyquSv#69,
0f37X,6k1/8/6p1/3R1p2/6K1/3Q1P1P/P4qP1/4r3 w - - 0 38,g4g5 f2g3 g5f6 g3h4 f6g6 e1e6 g6f5 e6f6 f5e5 h4f4,2171,80,93,4860,endgame mate mateIn5 sacrifice triangleMate veryLong,https://lichess.org/1f0HMVt5#75,
0iLQQ,8/5r1k/p5p1/Pp2Q2p/1P5P/2P2PP1/4RK2/7q w - - 9 49,e2d2 f7f3 f2e2 h1f1,1909,90,51,52,endgame mate mateIn2 short triangleMate,https://lichess.org/BF0x4H4s#97,
0vJzf,1k5r/2pp1p2/1p2b3/1R2Q3/2P5/3K4/q4rP1/8 b - - 1 34,f2g2 b5b6 b8a8 e5h8 g2g8 h8g8 a8a7 g8b8,1990,75,95,2498,endgame mate mateIn4 pin triangleMate veryLong,https://lichess.org/XGF864HM/black#68,
1CCPE,7k/R6p/5pnq/1P6/P2p2Q1/8/4r1RK/8 w - - 5 40,h2g1 e2e1 g1f2 h6e3,2040,77,78,298,endgame mate mateIn2 short triangleMate,https://lichess.org/gDEmukeT#79,
1UE32,5r1k/2p3p1/4B2p/3P3P/1r4P1/1P1Q1P2/2P1K2q/3R2R1 w - - 11 34,e2e3 f8f3 e3f3 b4f4 f3e3 h2f2,2028,83,90,1706,attraction long mate mateIn3 middlegame sacrifice triangleMate,https://lichess.org/MdlMMkJR#67,
1ZHCN,1k6/pp2nB2/7q/3p4/3P4/2P4r/PP3Q2/R3R1K1 w - - 1 26,e1e7 h3h1 g1g2 h6h3,2070,75,88,333,endgame mate mateIn2 short triangleMate,https://lichess.org/xoBGjmwv#51,
1dlrF,2r5/8/pq2k3/3pp1Q1/8/1P2P3/PK3r2/6RR w - - 2 29,b2a1 f2a2 a1a2 c8c2 a2a1 b6a5 a1b1 a5a2,1949,77,89,282,attraction endgame mate mateIn4 sacrifice triangleMate veryLong,https://lichess.org/fzDL2eqL#57,
1eK5d,2b3k1/p1p4p/1p3p2/3Q4/6q1/3P4/PPP1r1PP/5RK1 b - - 1 21,c8e6 d5d8 g8f7 f1f6 f7g7 d8f8,2197,78,95,2279,endgame long mate mateIn3 triangleMate,https://lichess.org/ia7BsTH9/black#42,
26LFo,rnbqrBkb/pp2pp2/2p3p1/3nP3/3P4/1B3P2/PP1Q2P1/RN2K1NR b KQ - 1 14,g8f8 h1h8 f8g7 d2h6,1945,78,84,169,hangingPiece mate mateIn2 middlegame short triangleMate,https://lichess.org/BV1tBg26/black#28,Caro-Kann_Defense Caro-Kann_Defense_Maroczy_Variation
26Qgu,5r2/k6p/pR3K2/3q4/N1p2PP1/2Q5/PPP5/8 w - - 1 36,f6e7 f8f7 e7e8 d5d7,1920,76,94,1856,endgame mate mateIn2 short triangleMate,https://lichess.org/hkHWXyAm#71,
2H85g,2r3k1/pp3ppp/4pP2/4q3/1P6/NP1r4/P2K2PP/R2Q3R w - - 0 20,d2d3 c8c3 d3d2 e5e3,2008,89,87,100,endgame mate mateIn2 short triangleMate,https://lichess.org/3R0eK2Pw#39,
2YyEe,8/5k1Q/p1qr2p1/3rpp2/8/3P1R2/P5PP/5R1K b - - 0 42,f7f6 f3f5 g6f5 f1f5 f6e6 h7f7,2003,80,59,74,endgame long master mate mateIn3 sacrifice triangleMate,https://lichess.org/v7KhJOGF/black#84,
2a8Jk,6k1/p2r4/n4Q2/4B2P/1P2q3/P7/5bP1/2R3K1 w - - 0 37,g1f2 d7d2 f2g3 d2g2 g3h3 e4g4,2138,78,91,666,endgame long mate mateIn3 triangleMate,https://lichess.org/our5nke3#73,
2e6ZG,2r2r2/3k1ppp/4p3/pp1R4/8/1Pq2Q2/P4PPP/4R1K1 b - - 0 24,e6d5 f3d5 d7c7 e1e7 c7b6 e7b7 b6a6 d5b5,1986,101,37,18,endgame exposedKing mate mateIn4 triangleMate veryLong,https://lichess.org/YCw1AxmP/black#48,
2kHjT,2r4r/1Rqk3p/B2pp1p1/4n1Q1/p7/2P4P/6P1/7K b - - 4 29,h8f8 a6b5 e5c6 b5c6 d7c6 g5b5,2034,78,81,313,attraction long mate mateIn3 middlegame pin triangleMate,https://lichess.org/VbuFJa2p/black#58,
2pJE9,6rk/2p2Q2/p1qp3p/1p3p2/3P4/P1P2P1P/5P1K/4R3 b - - 0 26,c6f3 f7f6 g8g7 f6h6 h8g8 e1e8 g8f7 h6e6,2099,75,93,1070,endgame exposedKing mate mateIn4 triangleMate veryLong,https://lichess.org/VnahJk0x/black#52,
2rTAT,2k4r/Rb1rb1pp/4pp2/2p1Pn2/3q1P2/2N5/1R1B2PP/1Q5K b - - 4 30,d4d3 a7a8 b7a8 b2b8 c8c7 b1b6,2039,79,90,896,exposedKing fork long mate mateIn3 middlegame sacrifice triangleMate,https://lichess.org/al2J541I/black#60,
2xuAS,2k5/pp1r1p2/2p1p1p1/q3BnP1/4BP2/1PP1nQ2/PK6/7R w - - 0 34,e4c6 d7d2 b2c1 d2c2 c1b1 a5a2,1947,78,95,14157,long mate mateIn3 middlegame triangleMate,https://lichess.org/tkpTRqak#67,
3D1aZ,6k1/4q2R/5rP1/p2p1P2/3P1Q2/4PK2/Prp5/8 b - - 1 47,g8f8 h7h8 f8g7 f4h6,2149,81,91,251,endgame mate mateIn2 short triangleMate,https://lichess.org/oYlh65PD/black#94,
3O07v,r1b2r2/pp1p2kp/1qp2pB1/7Q/8/2B3P1/7P/4R2K b - - 0 27,h7g6 e1e7 f8f7 c3f6 g7f6 h5e5,1930,80,95,17618,attraction long mate mateIn3 middlegame pin sacrifice triangleMate,https://lichess.org/TFIYwtcT/black#54,
3T2Jt,6rk/Q3Rpr1/7q/1R3p2/3Pp3/2P1P1P1/P3BP2/6K1 w - - 1 30,e7f7 g7g3 f2g3 g8g3 g1f1 h6h1 f1f2 h1g1,1958,76,96,3239,mate mateIn4 middlegame sacrifice triangleMate veryLong,https://lichess.org/XpoRKy0g#59,
3W069,4Q3/2p5/3kR3/1pb2p2/5q2/2PK4/8/8 b - - 11 48,d6d5 e8c6,1932,78,79,363,endgame master mate mateIn1 oneMove triangleMate,https://lichess.org/Iq6cqmAh/black#96,
3Yvhe,r1b1r1k1/ppb2pP1/2p5/2q5/8/2pBPQ2/PP3PP1/R3K2R b KQ - 0 20,c3b2 h1h8 g8g7 h8h7 g7g8 f3f7,1926,77,95,1892,kingsideAttack long mate mateIn3 middlegame triangleMate,https://lichess.org/6DNjX0qW/black#40,
3pK1J,2r5/p3ppkQ/b2p4/3P4/1p4P1/1P2qP2/PP6/1K5R b - - 2 26,g7f6 h7f5 f6g7 h1h7 g7g8 f5f7,1918,76,98,3020,endgame exposedKing long mate mateIn3 triangleMate,https://lichess.org/bfinGH8C/black#52,
49otw,8/7P/1K1r4/4R3/q7/4Q3/5P2/5k2 w - - 22 80,b6c5 d6c6 c5d5 a4c4,1907,93,76,57,endgame mate mateIn2 short triangleMate,https://lichess.org/GeeEqufL#159,
4OQsy,r7/pb2RB1k/1pq3pp/2p5/8/2P5/PP3QnP/6K1 b - - 1 26,c6d6 f7g8 h7h8 e7h7 h8g8 f2f7,2060,83,89,72,discoveredCheck doubleCheck fork long mate mateIn3 middlegame sacrifice triangleMate,https://lichess.org/HQq39UpF/black#52,
4OakG,7k/p4Rpp/2Q5/8/P1B5/4q1PP/2Pr4/6K1 w - - 3 35,g1f1 d2d1 f1g2 d1g1 g2h2 e3g3,1936,81,90,965,endgame exposedKing long mate mateIn3 triangleMate,https://lichess.org/8KhaQb5z#69,
4Q2Gq,2k4r/bpp2pp1/p1p5/4p3/PP2Pqp1/3P4/1BPN1PK1/R2Q1R2 w - - 0 19,b2e5 h8h2 g2g1 a7f2 f1f2 f4f2,1984,75,95,2740,long mate mateIn3 middlegame triangleMate,https://lichess.org/Rd0RAPSC#37,
55YY1,6k1/ppp3pp/8/3pbp2/3n4/2PQ1PqP/PP4P1/R1B1rNK1 w - - 4 22,c3d4 g3h2 g1f2 e5g3 f1g3 h2g1,2004,78,87,64,kingsideAttack long mate mateIn3 middlegame pin sacrifice triangleMate,https://lichess.org/ZdkVs6DR#43,
56L1M,6k1/p1p3b1/3p3p/3P3q/1P2QB2/5rPb/P4P2/2R2BRK w - - 0 30,g3g4 h3g2 h1g2 h5h3,2002,77,72,170,attraction collinearMove discoveredCheck doubleCheck kingsideAttack master mate mateIn2 middlegame sacrifice short triangleMate,https://lichess.org/k56QA6iO#59,
5FE3s,8/2p1kr2/2nb3R/8/PpQP4/1P3q2/2P5/1KN3r1 b - - 3 32,d6f4 c4e6 e7f8 e6c8 c6d8 c8d8 f8g7 d8h8,2180,75,93,721,exposedKing mate mateIn4 middlegame triangleMate veryLong,https://lichess.org/4rVFSIuN/black#64,
5GnFi,2Q5/6pk/4p3/1P2p1q1/4P3/4K3/6r1/2R2R2 w - - 1 34,e3d3 g5d2 d3c4 d2d4 c4b3 g2b2 b3a3 d4b4,1938,75,96,14211,endgame mate mateIn4 triangleMate veryLong,https://lichess.org/n13odnml#67,
5XhT6,2r2r2/1p2Q1k1/p1q5/2p2R2/5p2/P6P/2P3P1/7K b - - 3 34,g7g6 f5g5 g6h6 e7g7,1930,75,95,2282,endgame mate mateIn2 short triangleMate,https://lichess.org/UtKy3DMt/black#68,
5dIGP,2Q1Rr2/p2k3p/1p6/8/8/2P2qP1/3p3P/6K1 b - - 2 38,d7d6 e8e6 d6d5 c8c6,1903,84,71,69,endgame mate mateIn2 short triangleMate,https://lichess.org/1uKZxYbj/black#76,
5hyVD,4Q3/4b3/2R1kp2/p3pqp1/Pp6/1P5P/3r2P1/7K b - - 4 53,d2d6 e8g8 e6d7 g8c8,1980,85,89,1674,endgame mate mateIn2 short triangleMate,https://lichess.org/STn5cVXV/black#106,
5nZq6,4Rrk1/p5pp/2p1R1r1/3p4/5p2/1P6/P5PP/q4QK1 b - - 3 32,a1a2 e8f8 g8f8 f1f4 g6f6 f4b8 f8f7 b8e8,1921,81,92,140,attraction endgame mate mateIn4 triangleMate veryLong,https://lichess.org/TlD5L2YL/black#64,
5oj6O,8/1R3ppp/Bk3q2/3b4/3b1pP1/3Q1P2/3r3P/7K b - - 7 39,b6c6 d3b5 c6d6 b7d7 d6e6 b5d5,1993,79,84,447,exposedKing long master mate mateIn3 middlegame triangleMate,https://lichess.org/VdNCJAm4/black#78,
5svE4,2r4r/4qp2/b2pP1pk/p2P2R1/3Q3P/1p2N3/1PP5/2K2R2 b - - 0 29,a6f1 e3f5 g6f5 d4g7,2192,79,98,1108,mate mateIn2 middlegame sacrifice short triangleMate,https://lichess.org/1YoZFD8N/black#58,
65MfJ,1nk5/p7/1p1pR3/1P2p1q1/4P1r1/3P4/2P1N3/R2Q1B1K w - - 4 34,e2f4 g4g1 h1h2 g5g3,1938,78,88,409,mate mateIn2 middlegame short triangleMate,https://lichess.org/2nVdgJ3S#67,
