PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0AOVc,2RQ4/5pkp/6p1/8/4P3/7n/4rr1P/3R2K1 w - - 9 35,g1h1 f2h2,1142,76,97,3229,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/slJUjTXv#69,
0BbRw,r2k2r1/4R1p1/pnNB1nbp/8/8/2P5/PP3PPP/R2K4 b - - 0 20,d8c8 e7c7,1105,75,95,1425,mate mateIn1 middlegame oneMove operaMate vukovicMate,https://lichess.org/lV62lhzw/black#40,
0DK93,8/8/6R1/4Npkp/3p4/3Kp3/r6P/8 b - - 1 43,g5h4 e5f3 h4h3 g6g3,1252,76,95,631,endgame mate mateIn2 short vukovicMate,https://lichess.org/98F9OHCj/black#86,
0NQX4,5rk1/3RRNbp/2r1n1p1/8/P7/5P2/5P1P/6K1 b - - 0 29,g7f6 f7h6 g8h8 e7h7,1082,112,71,109,discoveredAttack mate mateIn2 middlegame short vukovicMate,https://lichess.org/A6cNR1tU/black#58,
0fco3,1r1n1b1r/2N1kppp/bp2p3/4N1Bn/8/8/PP3PPP/2KR3R b - - 1 16,f7f6 d1d7,1210,79,93,3965,mate mateIn1 middlegame oneMove pin vukovicMate,https://lichess.org/p29LhYs6/black#32,Sicilian_Defense Sicilian_Defense_Modern_Variations
0kKQz,8/pR5p/2n5/k1N1p3/P1p5/2r3P1/7P/6K1 b - - 0 33,c3c2 b7b5,1277,98,58,123,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/BOxswRF3/black#66,
0s6HU,7k/2p1bN2/2p1N2p/3p4/1P1Pb2P/2P3R1/r7/5K2 b - - 7 39,h8h7 g3g7,1176,222,54,8,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/EpxhKqHD/black#78,
0svae,7k/pp4p1/7p/2N5/8/1B2n2P/PPP1nrP1/R6K w - - 0 22,a1e1 e2g3 h1g1 f2g2,1284,83,92,1545,endgame mate mateIn2 short vukovicMate,https://lichess.org/qxArKqpU#43,
0x30D,6k1/1R6/6p1/1p2bp2/p7/P1P2B1n/1r6/5R1K w - - 0 37,f3c6 b2h2,1127,83,92,2463,endgame master mate mateIn1 oneMove operaMate vukovicMate,https://lichess.org/egLMuMci#73,
0zqOr,6k1/p4p2/2p4p/1p4p1/4B3/2P1qPnb/PP1r4/R1Q1R1K1 w - - 0 29,e1e3 d2g2,1169,81,92,613,mate mateIn1 middlegame oneMove operaMate vukovicMate,https://lichess.org/8an4Ux42#57,
0zvoj,r6r/p3kp1p/npN3p1/2nRPp2/2P5/8/PP4PP/4KB1R b K - 1 18,e7e6 d5d6,1270,75,97,1925,mate mateIn1 middlegame oneMove vukovicMate,https://lichess.org/wGwaKmxE/black#36,Alekhine_Defense Alekhine_Defense_Four_Pawns_Attack
10nJf,8/8/p1p5/3pbp2/P3k1r1/1P1R2P1/2P1NK2/8 b - - 6 45,c6c5 d3e3,1246,80,92,3195,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/V1TzKZyz/black#90,
15uhU,5Q2/4P2p/p4pp1/1p4kn/8/7P/PPr2rP1/R6K w - - 0 30,e7e8q h5g3 h1g1 f2g2,1295,80,94,1715,endgame mate mateIn2 short vukovicMate,https://lichess.org/ysJE45rf#59,
17SiN,r6r/p2k2pp/1pN2p2/1P1p4/2n2B2/6PP/P4P2/4R2K b - - 1 29,g7g5 e1e7 d7c8 e7c7,1163,79,91,730,endgame mate mateIn2 operaMate short vukovicMate,https://lichess.org/788C5L8R/black#58,
1Hr2n,4k1r1/1pp4p/3p4/7K/1PPN2nR/P1N2q2/8/1R6 w - - 0 35,d4f3 g4f6 h5h6 g8g6,1020,92,92,306,endgame mate mateIn2 short vukovicMate,https://lichess.org/70pOJ4ml#69,
