id,fen,moves,rating,themes
K8CVN,2rRk2r/pp3p2/4pp1p/1bq5/8/5NP1/PPPQ1PP1/2KR4 b k - 7 19,e8e7 d2d7 b5d7 d1d7,1872,blindswinemate mate matein2 middlegame sacrifice short
TxkH6,8/pR4p1/4p1p1/4k1P1/5pr1/1PKR4/r4P2/8 b - - 3 39,g4g2 b7b5 e5e4 f2f3,1760,endgame mate matein2 rookendgame short
vQoRK,r3r1k1/1pR3Pp/p3p3/3p1N2/8/4PQ2/Pq1n2PP/5R1K b - - 0 25,b2f6 f5h6 f6h6 f3f7,1853,clearance kingsideattack mate matein2 middlegame sacrifice short
GD81V,3rr1k1/7p/pp3Rp1/2nP2q1/4P3/2Q3P1/PB2P1BP/6K1 b - - 0 28,c5a4 f6f8 e8f8 c3g7,1651,clearance kingsideattack mate matein2 middlegame sacrifice short
i833u,1k5r/ppp4p/8/2b5/4P3/2Q3P1/PPqN3P/R1B2r1K w - - 0 24,d2f1 c2e4 c3f3 e4f3,1677,mate matein2 middlegame short
EF6Ws,r1b2r1k/pp1n2p1/1q2B1Qp/5p2/3pp2R/8/PPP2PPP/R5K1 b - - 5 22,f8f6 h4h6 g7h6 g6g8,1630,kingsideattack mate matein2 middlegame sacrifice short
hrRry,1rkq4/pN3p2/2p1p3/5n1p/PQP3p1/8/5PPP/1R4K1 b - - 2 27,d8c7 b4f8 c7d8 f8d8,1708,endgame mate matein2 queensideattack short
uiMek,r1bq1b1r/ppppkBpp/2n5/4N3/3P4/2n5/PPP2PPP/R1BQK2R b KQ - 0 7,c3d1 c1g5 e7d6 e5c4,1867,mate matein2 opening short
TiGoG,3q1rk1/4b1n1/p4pQ1/3pPB1p/2pP4/2P5/1p5P/6K1 b - - 1 38,f8e8 f5e6 g8h8 g6h6,1896,endgame mate matein2 pin short
wLs5e,4Q3/B1p3pk/7p/8/4p1q1/2P5/PP3P1b/R4K2 w - - 0 24,a1e1 g4h3 f1e2 h3d3,1795,endgame mate matein2 short
ah4HB,5rk1/n1p3bp/3pQ1pN/3Pp1P1/2P1P3/1p1KB3/1q3P2/7R b - - 1 42,g8h8 e6g8 f8g8 h6f7,1674,kingsideattack mate matein2 middlegame sacrifice short smotheredmate
