PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00FF5,r3k3/ppp1qp2/1b1p3p/4p2r/2B1P1b1/P1PP1P2/1P4PQ/RN3R1K b q - 2 18,e7h4 c4f7 e8e7 f7h5,1976,77,92,4618,attackingF2F7 crushing middlegame short,https://lichess.org/YBDgjNpz/black#36,Italian_Game Italian_Game_Giuoco_Pianissimo
00LZf,r1b1kb1r/pppp1ppp/2n1p3/3nN3/3P2q1/4B3/PPP1BPPP/RN1Q1RK1 b kq - 9 8,d5e3 f2e3 g4g5 e5f7 g5e3 g1h1,2185,91,25,37,advantage attackingF2F7 fork long opening,https://lichess.org/sVgQxr8Q/black#16,French_Defense French_Defense_Normal_Variation
01UsT,r3r1k1/pp2qp1p/3b2p1/3p4/3P2n1/1PN5/PBP1BPPP/R2QK2R w KQ - 6 15,h2h3 g4f2 e1f2 e7e3 f2f1 d6g3,2078,76,94,11146,advantage attackingF2F7 attraction defensiveMove long middlegame sacrifice,https://lichess.org/WC1zB0Po#29,Zukertort_Opening Zukertort_Opening_Nimzo-Larsen_Variation
0212b,r3kb1r/ppp2p1p/5Q2/4p3/2B1P3/3P3P/P1P3PK/1q6 b kq - 0 15,b1c2 c4f7 e8d7 f6e6 d7d8 e6e8,2019,81,92,4396,attackingF2F7 endgame long mate mateIn3,https://lichess.org/KtIFFQg0/black#30,Kings_Gambit Kings_Gambit_Other_variations
03JjV,r2qk2r/pppbppbp/2n3p1/4P2n/2B2B2/2P3P1/PP3P1P/RN1QK1NR b KQkq - 0 9,c6e5 f4e5 g7e5 d1d5 d7g4 d5f7,2046,78,91,2874,advantage attackingF2F7 long opening,https://lichess.org/L4IEJtBO/black#18,Modern_Defense Modern_Defense_Other_variations
0412e,r3k2r/pp1n1pR1/1q2p3/3pP1Bp/3p3P/bP1B1P2/2PQ1P2/1K4R1 b kq - 0 21,a3b4 d2f4 h8f8 g7f7 f8f7 d3g6 d7e5 f4e5 e8d7 g6f7,2123,103,70,35,attackingF2F7 crushing master middlegame pin sacrifice veryLong,https://lichess.org/4t1JjScw/black#42,
05Ba5,r1bk1bnr/pp1pqpp1/2n4p/1NpQ4/2B1PB2/5N2/PP3PPP/R3K2R b KQ - 5 9,g8f6 f4c7 d8e8 b5d6 e7d6 d5f7,2142,77,93,8410,attackingF2F7 deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/SNfg9Iv6/black#18,Center_Game Center_Game_Kieseritzky_Variation
06Jbr,r2qkb1r/1p2npp1/p1n4p/2p5/P4B2/1BPP1Q1P/2P2PP1/R3K2R b KQkq - 0 13,e7g6 b3f7 e8f7 f4g5 f7e8 g5d8,2048,76,84,136,attackingF2F7 crushing discoveredAttack discoveredCheck long middlegame sacrifice,https://lichess.org/G8kRQYqY/black#26,Sicilian_Defense Sicilian_Defense_Old_Sicilian
07Cdo,r3kb1r/pp2pppp/2n5/2PB4/1q3B2/1P2PQ2/P1P2PPP/R4nK1 b kq - 1 12,b4c5 d5f7 e8f7 f4d6 f7e8 d6c5,1929,76,80,90,advantage attackingF2F7 discoveredAttack discoveredCheck long middlegame sacrifice,https://lichess.org/pIrYmh7R/black#24,Indian_Defense Indian_Defense_Other_variations
07Dpg,r1bqkb1r/p2npp1p/2pp1Pp1/8/3P4/1Bp2N1P/PPP2PP1/R1BQK2R b KQkq - 0 9,c3b2 b3f7 e8f7 f3g5 f7g8 f6f7 g8g7 g5e6 g7f6 e6d8,2170,76,88,545,advancedPawn advantage attackingF2F7 attraction fork middlegame sacrifice veryLong,https://lichess.org/cmByJpCR/black#18,Pirc_Defense Pirc_Defense_Classical_Variation
08QEz,r3k2r/pp2bppp/2pPP3/2qn4/5B2/7P/P1P1Q1P1/R4R1K b kq - 2 19,d5f4 e6f7 e8f7 e2e7 f7g6 f1f4,2164,84,91,309,advancedPawn attackingF2F7 attraction crushing discoveredAttack long middlegame pin,https://lichess.org/GBdUKYtZ/black#38,
08ZuN,r1bqkb1r/pp1n1ppp/2p1pn2/6N1/2BP4/8/PPP1QPPP/R1B1K1NR b KQkq - 5 7,f8e7 g5f7 d8a5 c1d2,2025,77,93,4039,attackingF2F7 crushing opening short,https://lichess.org/eZJjnsKe/black#14,Caro-Kann_Defense Caro-Kann_Defense_Main_Line
0CpIi,2k5/1p3pp1/p1p5/P3P3/5P1q/1P2PQp1/3r2P1/R1R2K2 w - - 3 28,c1c6 c8b8 f1e1 d2f2 f3f2 g3f2,1992,80,86,58,advancedPawn advantage attackingF2F7 defensiveMove endgame long,https://lichess.org/U9SmxkSj#55,
0DWDJ,r1bqk2r/pp2ppbp/2np1np1/8/2B1P3/2N2N2/PP2QPPP/R1BR2K1 b kq - 3 9,f6d7 c4f7 e8f7 f3g5 f7e8 g5e6,1943,78,87,1461,advantage attackingF2F7 attraction long opening sacrifice,https://lichess.org/yYyIlpM9/black#18,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
0DX6i,r1b2rk1/ppp3pp/5P2/2bN4/2Q1p2q/7B/PPnP1P1P/R1B1K1NR w KQ - 0 13,c4c2 h4f2 e1d1 c8g4 g1e2 f2e2,2145,83,90,208,attackingF2F7 collinearMove long mate mateIn3 opening,https://lichess.org/bvvT5yau#25,Vienna_Game Vienna_Game_Other_variations
0DrGp,rn6/1pp3pk/pb2Q2p/4P3/1P1rNq2/P4P2/4BP1P/R3K2R w KQ - 1 18,a1d1 d4e4 f3e4 b6f2,2080,81,92,2430,advantage attackingF2F7 discoveredAttack middlegame short,https://lichess.org/kBCGQogV#35,Reti_Opening Reti_Opening_Other_variations
0EMXo,r1bqk2r/pppnppbp/2n3p1/4P1N1/2B5/8/PPP1QPPP/RNB1K2R b KQkq - 2 8,c6e5 c4f7 e5f7 g5e6 d7e5 e6d8,1942,75,86,797,advantage attackingF2F7 fork long opening sacrifice trappedPiece,https://lichess.org/QYkem5bR/black#16,Modern_Defense Modern_Defense_Other_variations
0HpEC,r1q2k1r/1b3pN1/pp3N2/2b1P1Qp/6n1/8/PP3PPP/3RKB1R w K - 0 20,f1e2 c5f2 e1f1 f2e3 e2g4 b7g2 f1e2 e3g5,2056,148,54,29,attackingF2F7 crushing middlegame veryLong,https://lichess.org/Z0xcGDxT#39,
0INYG,r1b1k1nr/pp6/2nbpq2/3pN3/2pP2Q1/2P1PNB1/PP3PP1/R4RK1 b kq - 2 15,g8h6 g4h5 h6f7 h5f7 f6f7 e5f7 e8f7 g3d6,2009,79,91,818,advantage attackingF2F7 exposedKing middlegame veryLong,https://lichess.org/lECwjLQD/black#30,Queens_Pawn_Game Queens_Pawn_Game_London_System
0Intz,r2qkr2/1pp3p1/p1np1nb1/2bNp1B1/2B5/P2P1N1P/1PP2P2/R2QK2R w KQq - 3 13,f3h4 c5f2 e1f2 f6d5,2156,82,93,7845,attackingF2F7 crushing discoveredAttack discoveredCheck middlegame short,https://lichess.org/j2cAhygG#25,Vienna_Game Vienna_Game_Other_variations
0IxiY,r2qkb1r/pp2pppp/3p1n2/2p5/2B1P3/1QP2n2/PP1P1P1P/RNB1RK2 b kq - 1 9,f3e1 c4f7 e8d7 b3b7 d8c7 f7e6 d7e6 b7c7,2040,75,94,8710,attackingF2F7 crushing deflection middlegame veryLong,https://lichess.org/fiUurzzF/black#18,Sicilian_Defense Sicilian_Defense_Modern_Variations
0KrBh,r1bqk2r/ppp2ppp/8/2bp2B1/3nn3/3P4/PPP1NPPP/RN1QKB1R w KQkq - 7 9,g5d8 d4f3 g2f3 c5f2,1988,81,91,694,attackingF2F7 discoveredAttack mate mateIn2 opening sacrifice short,https://lichess.org/Gyq8uGuM#17,French_Defense French_Defense_Other_variations
0NZAX,r4rk1/1pp2pp1/3bp2p/1P2Nb2/p2Pn2q/P2BP2P/1BQ2PP1/R3K2R w KQ - 3 17,e5f3 h4f2 c2f2 e4f2 d3f5 f2h1,1931,80,93,2338,advantage attackingF2F7 long middlegame,https://lichess.org/MxBJv9Cl#33,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Classical_Variation
0P6x5,r2qk3/ppp1br2/6QP/5n2/8/2P2P1N/PP2P2P/RN2K2R w KQq - 3 16,h6h7 e7h4 h3f2 h4f2 e1f1 d8h4 h7h8r h4h8,2195,78,85,313,attackingF2F7 clearance crushing middlegame veryLong,https://lichess.org/s8FlA48d#31,Indian_Defense Indian_Defense_Gibbins-Weidenhagen_Gambit
0Q6Sc,r1b1k1n1/ppp1qpb1/3p4/4P3/2Bp1Qp1/3P2B1/PPP1KPP1/RN2R2r b q - 3 16,g7e5 f4f7 e7f7 c4f7 e8f7 e1h1,1942,75,85,330,advantage attackingF2F7 fork long middlegame,https://lichess.org/HszAMyfP/black#32,Italian_Game Italian_Game_Blackburne-Kostic_Gambit
0QDxG,3r2k1/2Rb3p/3p4/1p1P4/pB1Pp3/P4p2/1P3P1r/2RB1K2 w - - 0 30,f1e1 e4e3 d1f3 e3f2,2014,78,88,68,advancedPawn advantage attackingF2F7 middlegame short,https://lichess.org/BGTGNMlq#59,
0S3Zg,rnbqkb1r/ppp1pppp/3p1n2/8/2BP4/5N2/PPP1QPPP/RNB1K2R b KQkq - 0 5,b8d7 c4f7 e8f7 f3g5 f7e8 g5e6,2016,76,88,143,advantage attackingF2F7 attraction long opening sacrifice,https://lichess.org/EGXzhI95/black#10,Pirc_Defense Pirc_Defense_Other_variations
0TRds,r1bqk3/1pp2p2/p2pnbrp/4p1pQ/P1B1P1N1/2PP3P/1P3PP1/R1B2RK1 b q - 3 14,e6g7 c4f7 e8f7 g4h6 f7e7 h5g6,1910,75,95,14673,attackingF2F7 attraction crushing deflection long middlegame,https://lichess.org/1ccE53R0/black#28,Four_Knights_Game Four_Knights_Game_Italian_Variation
0Vbc6,r2qkb1r/pp3ppp/2n5/3Bp3/8/3Q1P2/PP3P1P/R1B1K2R b KQkq - 0 14,c6b4 d3b5 d8d7 d5f7,1913,77,93,13044,advantage attackingF2F7 middlegame pin short,https://lichess.org/AuQqtADy/black#28,Sicilian_Defense Sicilian_Defense_Alapin_Variation
0Vbt6,2r1k2r/1bq2p1p/p3pPp1/1p2P1N1/1n2p1P1/2N5/PPP2Q1P/1K1R3R b k - 2 19,c7e5 g5f7 e8f7 d1d7,2170,77,97,176,advantage attackingF2F7 attraction master middlegame sacrifice short,https://lichess.org/mPb7qlEX/black#38,
0VwNk,r1b1kb1r/p4ppp/2p1pB2/3pN3/3P4/2N5/PqP2PPP/R2Q1RK1 b kq - 0 11,b2c3 d1h5 g7f6 h5f7 e8d8 f7f6,1927,89,38,39,attackingF2F7 crushing long middlegame sacrifice,https://lichess.org/Guvxr6MU/black#22,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
