PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03YMa,r1b1k2r/pp5p/2nQ2p1/q4pN1/4p3/1B2P3/Pb1P1PPP/RN2K2R b KQkq - 1 17,b2a1 b3f7,1151,81,93,352,balestraMate mate mateIn1 middlegame oneMove,https://lichess.org/aCnlJCBQ/black#34,Zukertort_Opening Zukertort_Opening_Dutch_Variation
04tyZ,5k2/p7/1p1Q4/1P1p2p1/P2b2q1/2p4p/2B2P1P/5K2 b - - 3 49,f8e8 c2g6,1059,76,99,2668,balestraMate endgame mate mateIn1 oneMove,https://lichess.org/mDsIEv1o/black#98,
0TwGG,r3k2r/p2b2p1/2B1pp1p/2Q5/2PP4/P3q3/1P5P/R2K3R w kq - 1 22,c6a8 d7a4 b2b3 a4b3,1256,81,90,1193,balestraMate mate mateIn2 middlegame short,https://lichess.org/PdsjKK98#43,
0w2Ru,4b1k1/R3Q1pp/4p3/8/1P2p3/2P3qP/7N/3R2K1 w - - 0 31,g1f1 e8b5 c3c4 b5c4 d1d3 c4d3,1214,82,94,869,balestraMate endgame exposedKing long mate mateIn3,https://lichess.org/eLCgjXH4#61,
15sLq,r3kr2/ppp2p1p/3PbQ1p/8/8/3B4/q1P2PPP/4RK2 b q - 0 17,c7d6 d3b5,1147,78,94,755,balestraMate mate mateIn1 middlegame oneMove,https://lichess.org/PkrY6LCF/black#34,Englund_Gambit Englund_Gambit_Main_Line
18A3S,6k1/pp6/4Q2p/b2pP3/3Pq3/1Pr1B3/P6P/6K1 b - - 0 40,g8f8 e3h6,1137,79,88,129,balestraMate endgame mate mateIn1 oneMove,https://lichess.org/FXRJLzGv/black#80,
1PE0f,3k1r2/5p1p/p2QnPp1/8/6P1/4q3/p1P4N/5B1K b - - 2 35,d8c8 f1a6,1280,75,88,399,balestraMate endgame master mate mateIn1 oneMove,https://lichess.org/H2tGHtVx/black#70,
1uJTI,r3k1r1/p3qpPp/2p2n2/3bQ3/N7/P1B1PP2/1P4PP/R3K2R w KQq - 1 22,e5f6 e7e3 e1d1 d5b3,1113,83,94,1748,balestraMate mate mateIn2 middlegame short,https://lichess.org/wySzSUoG#43,
1xQeb,6k1/5p2/2BpbQp1/7p/2P4P/6q1/8/R5K1 w - - 0 30,g1f1 e6c4,1293,75,97,1910,balestraMate endgame master mate mateIn1 oneMove,https://lichess.org/A5JMaQup#59,
26mxX,3r2k1/pp3p2/2p2pRQ/q7/3P4/2P4B/PP5P/2K5 b - - 0 30,f7g6 h3e6,1206,77,95,587,balestraMate endgame master mate mateIn1 oneMove,https://lichess.org/Kt19EQMc/black#60,
2IcBK,rnbqr1k1/pp2bp2/5n1Q/4N3/2B5/3P2PP/PPP2P2/R3K2R b KQ - 0 14,e7f8 c4f7,1203,76,95,1057,balestraMate kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Oaff60TD/black#28,Philidor_Defense Philidor_Defense_Other_variations
2SYSW,4kb2/5p2/4pQ2/1q6/1p2P3/1B6/P4PK1/8 b - - 13 52,b5c5 b3a4 c5b5 a4b5,1200,120,50,24,balestraMate endgame master mate mateIn2 short,https://lichess.org/sCKfAT7D/black#104,
2mdhQ,r1bq2kr/pppn3p/7Q/3pp1p1/1b1PN3/2N1P3/PP3PPP/2R1KB1R b K - 0 13,d5e4 f1c4,1257,79,90,683,balestraMate master mate mateIn1 oneMove opening,https://lichess.org/3XD9VVn7/black#26,Queens_Gambit_Declined Queens_Gambit_Declined_Exchange_Variation
3177B,5k2/8/5Qpp/2P5/8/3pq1rP/6B1/7K b - - 3 60,f8e8 g2c6,1119,77,99,2196,balestraMate endgame mate mateIn1 oneMove,https://lichess.org/x79NyCH2/black#120,
3BXm8,rnb1k1nr/ppp2pp1/8/2b1q2p/8/2N2K2/PPPP2PP/R1BQ1BNR w kq - 0 11,d1e2 c8g4,1166,76,99,801,balestraMate mate mateIn1 oneMove opening,https://lichess.org/3tFkUdoO#21,Elephant_Gambit Elephant_Gambit_Paulsen_Countergambit
3I9V2,rnb1k2r/pp3ppp/2p2n2/2bPq3/8/5K2/PPPP2PP/RNBQ1BNR w kq - 2 9,d1e2 c8g4,1206,76,96,1627,balestraMate mate mateIn1 oneMove opening,https://lichess.org/dQVwV0Kc#17,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
3MhbQ,r4rk1/p3bppp/2Q5/2p1P3/5P2/2Pqp2P/PP2N1B1/R3K2R w KQ - 0 18,a1d1 e7h4 e2g3 h4g3,1141,76,100,622,balestraMate mate mateIn2 middlegame short,https://lichess.org/LGlmW2Df#35,Caro-Kann_Defense Caro-Kann_Defense_Two_Knights_Attack
3QlZq,r4k1r/p1P2p2/2p4p/3P4/1b6/2N2Npq/PPPB1K2/R2Q3R w - - 0 19,f2g1 b4c5 f3d4 c5d4 d2e3 d4e3,1181,79,87,156,balestraMate exposedKing kingsideAttack long mate mateIn3 middlegame,https://lichess.org/tgFPJVon#37,
3Wk4b,2kb4/2B5/2Qp2pp/3P4/4P3/3q3P/PP6/2R2K2 w - - 5 38,f1e1 d8h4,1150,76,88,565,balestraMate endgame mate mateIn1 oneMove,https://lichess.org/AnFws0zG#75,
3ZPcB,5r2/p3kp2/1p2pQp1/n2pP3/3q4/5R2/P5PP/5B1K b - - 3 34,e7e8 f1b5 a5c6 b5c6,1029,76,98,358,balestraMate endgame mate mateIn2 short,https://lichess.org/NmvfehVk/black#68,
