PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
A89m0,5r2/pp3k2/5p2/3Np2K/8/5Br1/PP3b2/R2RB3 w - - 1 34,h5h4 g3g5 e1f2 f8h8 f3h5 h8h5,2581,93,92,992,blindSwineMate discoveredAttack discoveredCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/wYUPE4UE#67,
IyijS,7r/7p/1r5k/8/6R1/5PK1/p1R5/8 b - - 25 53,b6b5 c2c6 h6h5 g4h4 h5g5 c6h6 a2a1q h4h5,2728,94,93,1345,blindSwineMate endgame exposedKing mate mateIn4 rookEndgame veryLong,https://lichess.org/UAAXpF7B/black#106,
JVIQj,8/8/2r1r1p1/8/5p2/7P/4k1P1/R4RK1 b - - 1 62,g6g5 a1d1 f4f3 f1e1,2556,104,90,937,blindSwineMate endgame mate mateIn2 quietMove rookEndgame short,https://lichess.org/am8FqGRZ/black#124,
LVIIl,6rk/6N1/7P/pp2p1R1/4P3/2n1KPN1/r7/7R w - - 0 32,g3f5 a2e2 e3d3 g8d8 f5d6 d8d6 d3c3 e2d2 f3f4 d6d3,2666,103,93,6729,blindSwineMate mate mateIn5 middlegame quietMove veryLong,https://lichess.org/w1MWkJOb#63,
MmfF1,4r2r/pR6/8/2bp2N1/P1k2nP1/3n2N1/1P1B2K1/R7 w - - 0 34,g2f3 d3e5 f3f4 e5g6 f4f5 g6h4 f5f6 c5d4 f6f7 h8f8,2657,93,94,4000,blindSwineMate master mate mateIn5 middlegame pillsburysMate sacrifice veryLong,https://lichess.org/z4OGDDgy#67,
WCxXb,5rk1/ppp2r1p/3pqPpQ/4p1B1/3n3R/7R/6PP/6K1 b - - 11 26,d4f5 h6g6 f7g7 h4h7 g7g6 f6f7 f8f7 h7h8 g8g7 h3h7,2609,97,95,6535,advancedPawn blindSwineMate discoveredAttack kingsideAttack mate mateIn5 middlegame pillsburysMate sacrifice veryLong,https://lichess.org/UglnZyGR/black#52,
X89hT,1r6/3r1p2/7p/1pp4P/2PpkRP1/1P4K1/8/3R4 b - - 0 43,e4e3 f4f3 e3e2 f3f1 d4d3 f1e1,2512,101,88,329,blindSwineMate endgame long mate mateIn3 rookEndgame,https://lichess.org/8CNBujEF/black#86,
a5Qvt,8/7p/2p2p2/2Pk1pr1/1PrP1K2/P4P2/7P/R6R w - - 5 36,h2h4 c4d4 f4e3 g5g2 f3f4 g2d2 a3a4 d4d3,2586,94,94,3027,blindSwineMate endgame mate mateIn4 quietMove rookEndgame veryLong,https://lichess.org/QaIg1CAN#71,
kgn7Y,8/8/7r/2R5/1r4pk/1P3p2/5P1K/1R6 b - - 3 48,h6b6 b1h1 g4g3 h2g1 h4g4 c5h5 g3f2 g1f2 b4b3 h1h4,2551,105,89,789,blindSwineMate discoveredAttack discoveredCheck endgame mate mateIn5 quietMove rookEndgame veryLong,https://lichess.org/885ly50e/black#96,
mBMdg,2r4r/pp1Rkp1p/1b3p2/8/1P3P2/3R4/1PP3PP/1K6 b - - 2 27,e7e6 d3d5 f6f5 d5d6,2530,97,86,183,blindSwineMate endgame mate mateIn2 quietMove short,https://lichess.org/hR5v8SFW/black#54,
o7iCV,5r2/7p/1R1R2p1/k1p5/8/P4p2/1PP4r/5K2 b - - 6 37,f3f2 b2b4 c5b4 b6a6 a5b5 a3a4 b5c5 a6c6,2540,90,94,1008,blindSwineMate endgame mate mateIn4 rookEndgame veryLong,https://lichess.org/9x0rZ8au/black#74,
wEmWG,2rr4/pp4R1/4p1R1/2p2k2/P2P4/2P2PK1/8/8 b - - 0 31,c5d4 g6g5 f5f6 g3f4 e6e5 f4e4 d4d3 g5g6,2525,83,94,7448,blindSwineMate endgame mate mateIn4 rookEndgame veryLong,https://lichess.org/gmnCpjEP/black#62,
zBU0Q,7r/5p2/4p1k1/4P1P1/5R1K/2r4P/R7/8 w - - 3 50,h4g4 f7f5 e5f6 c3h3 f6f7 h8h4,2665,95,93,2159,blindSwineMate endgame long mate mateIn3 rookEndgame,https://lichess.org/g4jXNHGR#99,
