PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01acW,2kr4/ppp4p/6p1/5p2/1bPrp3/1P1P3P/P1B1KPP1/3R3R w - - 0 19,d3e4 d4d2 d1d2 d8d2 e2f3 d2c2,1594,75,96,10284,collinearMove crushing endgame fork long,https://lichess.org/VpsvXcpI#37,Alekhine_Defense Alekhine_Defense_Scandinavian_Variation
02Lx4,4r3/p2k1ppp/bn6/3pr3/8/BP3P2/P2N1KPP/R3R3 w - - 2 22,a3b2 e5e2 e1e2 e8e2,1359,76,94,6458,collinearMove crushing fork middlegame short,https://lichess.org/F9X79Itx#43,
02zWb,r6r/ppp3pp/2b2k2/5pN1/5P2/4R3/PPP4P/2K1R3 b - - 7 23,a8e8 e3e6 e8e6 e1e6,1579,75,95,2567,collinearMove endgame hookMate mate mateIn2 short,https://lichess.org/dVFEWefN/black#46,
0AERU,4rr2/p1pb2k1/5pP1/3q2P1/1PpnR3/8/P5QP/4R1K1 b - - 0 24,f6f5 e4e7 g7g6 g2d5 e8e7 e1e7,1490,75,95,4521,collinearMove crushing discoveredAttack fork long middlegame,https://lichess.org/afh9geLK/black#48,
0AxUL,8/1r4p1/p2k1p1p/Prp5/2KpPP1P/Rp1P2P1/1R6/8 w - - 6 44,b2b3 b5b4 b3b4 b7b4,1579,76,90,922,collinearMove endgame mate mateIn2 rookEndgame short,https://lichess.org/uQ5lrovm#87,
0CxwN,3q3r/4rp1k/p2p3p/1pp5/5P2/1P1P2P1/PQ4KP/1R2R3 w - - 2 27,b2f6 e7e2 e1e2 d8f6,1428,75,87,1176,collinearMove crushing discoveredAttack endgame short,https://lichess.org/2cBlea3N#53,
0DxdK,2r2r1k/2q2p2/5P1P/3p2Q1/pp1p4/8/PPP4R/2K5 b - - 4 37,f8g8 g5g7 g8g7 h6g7 h8g8 h2h8,1331,76,98,1754,advancedPawn collinearMove discoveredCheck doubleCheck endgame exposedKing long mate mateIn3 sacrifice,https://lichess.org/eDU9N6iK/black#74,
0HPlZ,r2q1rk1/3p2B1/p1n1p2p/1ppn2NQ/8/P2P4/1PP3PP/R4RK1 b - - 0 19,g8g7 f1f7 f8f7 h5f7 g7h8 f7h7,1320,77,95,27011,collinearMove long mate mateIn3 middlegame,https://lichess.org/GcTeylX6/black#38,Sicilian_Defense Sicilian_Defense_Closed
0T09l,2q3r1/1p5k/p1r4P/3pBb2/3Q4/bP1P4/P1P5/1K4RR b - - 4 35,c6c2 g1g7 g8g7 h6g7,1442,76,93,711,advancedPawn advantage collinearMove discoveredAttack discoveredCheck middlegame short,https://lichess.org/L3sp7GHz/black#70,
0gyQI,r6r/1pp1n1k1/p2pP1p1/4p3/4P3/2P1P3/PPB2RK1/5R2 b - - 2 33,a8f8 f2f7 f8f7 f1f7 g7h6 f7e7,1363,81,93,3698,collinearMove collinearMove crushing endgame fork long,https://lichess.org/OvC1B04N/black#66,
0gyQI,r6r/1pp1n1k1/p2pP1p1/4p3/4P3/2P1P3/PPB2RK1/5R2 b - - 2 33,a8f8 f2f7 f8f7 f1f7 g7h6 f7e7,1363,81,93,3698,collinearMove collinearMove crushing endgame fork long,https://lichess.org/OvC1B04N/black#66,
0pHxs,r1b2r1k/1p2qp2/2n1Nn1P/3p4/8/1p1P2Q1/PPPK1PP1/R6R b - - 0 21,f8g8 g3g7 g8g7 h6g7 h8g8 h1h8,1414,76,98,4680,advancedPawn collinearMove discoveredCheck doubleCheck exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/zRvLBWZ8/black#42,
