PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0qUKl,r1b5/ppqp1Rk1/2n4p/2NR4/Q7/2P1r3/PP2B1Pb/7K b - - 0 26,g7f7 d5f5 f7e8 e2h5 e8e7 a4h4 e7d6 h4f6 e3e6 c5e4,2783,109,93,1748,cornerMate exposedKing mate mateIn5 middlegame pin veryLong,https://lichess.org/LQOJUiT5/black#52,
2EIkt,rn3rk1/pp3pp1/2pb3p/3pN3/3P4/2NQ4/PPP2q1P/2K2RR1 b - - 3 15,f2h4 g1g7 g8g7 f1f7 f8f7 d3g6 g7h8 e5f7,2516,87,93,6333,attraction cornerMate fork mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/MFk9Bdi4/black#30,French_Defense French_Defense_Knight_Variation
44ov7,2r1k2r/3n1p1p/p2PNb2/1p3p1Q/5P2/3b4/PP4qP/KR2R3 b k - 1 20,d3b1 e6g5 g2e4 e1e4 f5e4 h5f7 e8d8 g5e6,2598,86,92,6708,attackingF2F7 cornerMate discoveredAttack discoveredCheck mate mateIn4 middlegame veryLong,https://lichess.org/1fl2kjxq/black#40,
6hvgX,r1bq1bnr/ppp1p1p1/4n3/5k1p/4RB2/2NB1PPN/PP5P/5K1R b - - 0 16,b7b5 e4e5 f5f6 e5f5 f6g6 f5g5 g6f7 d3g6 f7f6 c3e4,2536,111,90,4408,cornerMate discoveredCheck doubleCheck mate mateIn5 middlegame veryLong,https://lichess.org/njnWwtLf/black#32,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Fritz_Attack
AHkQc,5rk1/7p/2q1p1p1/p7/2P4n/1PQ1P1P1/2B2PKP/1R1R4 w - - 5 33,g2f1 f8f2 f1e1 c6h1 e1f2 h1g2 f2e1 h4f3,2574,83,91,5601,cornerMate mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/KETVEulK#65,
BgpFb,r1b3k1/1ppp2p1/p5Np/1n5B/K4P2/8/P1n3PP/R3R3 b - - 6 24,c2a1 e1e8 g8f7 g6e5 f7f6 e5g4 f6f5 g4e3 f5f4 g2g3 f4g5 e8e5 g5f6 e3g4,2723,101,93,2005,cornerMate discoveredCheck doubleCheck mate mateIn5 middlegame veryLong,https://lichess.org/fCR860hO/black#48,
Br3AP,2r3r1/1b3N2/p1nb2p1/3n1k1p/3P1p1B/1P6/P3RPPP/4R1K1 b - - 7 29,d6f8 e2e5 c6e5 e1e5 f5g4 f2f3 g4h4 g2g3 f4g3 e5e4 d5f4 e4f4 h4h3 f7g5,2613,89,91,2515,cornerMate mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/ySYtQLAS/black#58,
D1O3q,r1b2rk1/pp3pp1/2p4p/3pN3/3P4/3Q2R1/PPP4q/1K3R2 b - - 1 20,h2h4 g3g7 g8g7 f1f7 f8f7 d3g6 g7h8 e5f7,2559,80,93,3199,attraction cornerMate kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/0zP4UyYo/black#40,
FKyEW,6nk/p5p1/1p2p1QB/3qP3/3b3N/r6P/6P1/5R1K b - - 1 34,g7h6 g6h7 h8h7 f1f7 h7h8 h4g6,2696,93,94,1009,attraction cornerMate exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/2JMAxVz8/black#68,
GK95M,5r1k/1Q4p1/p1N4p/2Rnrq2/6b1/4P1P1/PP3P1P/2R3K1 w - - 3 26,c6e5 f5f2 g1h1 f2f1 c1f1 f8f1 h1g2 d5e3,2658,84,91,2422,cornerMate mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/gjPz6Dib#51,
Hb9t0,5r1k/b1p2p1p/p7/1p2n1N1/5p1q/P1Pr1P1P/BP2QP1K/6R1 b - - 3 23,a7f2 e2e5 h8g8 a2f7 f8f7 e5h8 g8h8 g5f7,2574,92,92,5597,attraction cornerMate hangingPiece kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/DTfr5LOL/black#46,
I0zf5,3r2k1/4R1pp/8/2n1Np2/1pP1b3/rN2P2P/PK3PP1/R7 w - - 1 29,f2f3 a3b3 a2b3 d8d2 b2c1 c5b3,2506,83,93,4904,cornerMate deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/GfQQkPWz#57,
Iamwe,r2qr3/pb2bp1k/1pn1p1p1/2p1P2Q/2PpNP2/3B2R1/PPPB2PP/R5K1 b - - 0 20,g6h5 e4d6 f7f5 e5f6 h7h8 d6f7,2516,82,94,1938,cornerMate discoveredAttack discoveredCheck enPassant exposedKing fork long mate mateIn3 middlegame,https://lichess.org/liuiu4hg/black#40,
JwyEF,6k1/5ppp/R7/8/2n5/5PQ1/1q3KPP/8 w - - 3 42,f2e1 b2c1 e1f2 c1e3 f2f1 c4d2,2522,99,90,318,cornerMate endgame exposedKing long mate mateIn3,https://lichess.org/9uTvt3qv#83,
MG4Pa,4r1k1/1R4pp/5p2/1N1p4/5n2/8/Pr5P/6RK b - - 2 28,e8e2 b7g7 g8f8 g7g8 f8e7 g1g7 e7e6 g8e8 e6f5 b5d4,2575,97,93,2840,cornerMate endgame mate mateIn5 veryLong,https://lichess.org/jQe90qet/black#56,
MpnWl,3k2r1/3n1p1p/3Qn3/1p1pP3/2pP2qN/2P2Np1/1P2B1K1/6R1 w - - 4 31,d6b4 g4h3 g2h3 e6f4,2518,103,91,1468,attraction cornerMate mate mateIn2 middlegame sacrifice short,https://lichess.org/j5OAWJCs#61,
NLrg1,1r1q1rk1/1b3p1R/p3p1n1/1pp1P1P1/3p1Q2/PP1P1N2/2P1BK2/7R b - - 2 26,g6f4 h7h8 g8g7 h1h7 g7g6 f3h4 g6g5 h7g7 f4g6 h8h5 g5f4 g7f7 f8f7 h4g6,2771,94,84,795,clearance cornerMate kingsideAttack mate mateIn5 middlegame pin sacrifice veryLong,https://lichess.org/MhBphTtf/black#52,
PKqqC,2rqr3/pb3p1k/1p1b2p1/2pnNR1Q/3P4/2PB3P/PP6/R1B3K1 b - - 1 20,g6h5 f5g5 f7f5 d3f5 h7h8 e5f7,2557,89,97,1054,cornerMate discoveredAttack discoveredCheck exposedKing long mate mateIn3 middlegame,https://lichess.org/L3HNSXFM/black#40,
R5wiV,r4rk1/5pp1/p3p2p/1p1nN3/3P2R1/2P3q1/PPQ3P1/5R1K b - - 5 25,g3e3 g4g7 g8g7 f1f7 f8f7 c2g6 g7h8 e5f7,2519,80,92,3288,attraction cornerMate kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/99ThELBh/black#50,
TA6Iz,4k3/8/3p3n/3PpK2/1R2P3/8/5pr1/5R2 w - - 4 38,f5f6 h6g8 f6e6 g2g6 e6f5 g8e7,2544,80,92,3459,cornerMate endgame long mate mateIn3,https://lichess.org/YVY58tW9#75,
VjURp,r4rk1/5Rp1/1n1Np2p/2p1P2P/pp2Q3/1P6/q1P3P1/2K2R2 b - - 0 28,a4b3 f7g7 g8g7 f1f7 f8f7 e4g6 g7h8 d6f7,2673,92,91,3952,attraction collinearMove cornerMate kingsideAttack master mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/XQEPFqhv/black#56,
