PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00nCq,r3k2r/ppp2p1p/3b1p2/4p3/8/2PB4/bPPQ1PPP/2KR3R w kq - 0 14,b2b3 d6a3,1085,159,62,113,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/Y1Y1rJPD#27,Petrovs_Defense Petrovs_Defense_Nimzowitsch_Attack
02mx1,2bk4/1p2b2p/2n3p1/1B2Np2/4p3/2B1P2P/1P3PP1/5K2 b - - 3 34,c6e5 c3a5 b7b6 a5b6,1260,77,96,743,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/oZsxknVt/black#68,
0UTB9,2kr3r/B1pb1pp1/pp1b1q1p/2PPpn2/8/3B1N1P/PP3PP1/R2QR1K1 b - - 0 16,d6c5 d3a6,1020,135,87,231,doubleBishopMate mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/nrH6hzJo/black#32,French_Defense French_Defense_Rubinstein_Variation
0wsXe,5rk1/1br2p2/p4Ppp/1p1pPq2/1P6/P3bQB1/4N2P/3RR2K w - - 0 30,f3f5 d5d4 f5f3 b7f3,1076,91,86,900,discoveredAttack discoveredCheck doubleBishopMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/tJOhrpCY#59,
12Ljj,6k1/p3pp1p/6p1/8/2bbB3/3r2P1/P6P/1NB2R1K w - - 0 25,e4d3 c4d5 d3e4 d5e4 f1f3 e4f3,1175,89,80,808,doubleBishopMate endgame fork long mate mateIn3,https://lichess.org/JHkrOies#49,
14Hxa,6k1/1b4bp/p1p3p1/5p2/3B4/2P3P1/PP5P/3B2K1 b - - 1 23,g7f8 d1b3,1097,177,36,73,bishopEndgame doubleBishopMate endgame master mate mateIn1 oneMove,https://lichess.org/tR72zwKf/black#46,
1Dgzr,r2q1rk1/pp1nbppp/8/4P3/2ppNP2/1P5P/b1PQ1BP1/2KR1B1R w - - 0 16,f1c4 e7a3,1043,105,58,62,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/aFWqlP7a#31,Four_Knights_Game Four_Knights_Game_Other_variations
1QemR,rk1RbB1q/pp6/2n1BNn1/4p3/4P3/1P3N2/P1P2PPP/R5K1 b - - 4 24,c6d8 f8d6,1215,107,84,1110,doubleBishopMate mate mateIn1 middlegame oneMove,https://lichess.org/D4rrPYh1/black#48,
1euIt,7k/8/b5qp/2p1p3/3bB3/6P1/PP5P/3R3K w - - 0 39,e4g6 a6b7 g6e4 b7e4,1130,99,44,48,doubleBishopMate endgame mate mateIn2 short,https://lichess.org/M4FLAlN1#77,
2DMUa,2k5/2b3pp/5p2/1PB5/P4RPP/3P3K/2P1b3/8 w - - 1 42,f4c4 e2f1,1017,78,94,1892,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/PHkRS21S#83,
2E1Sq,5k2/p4p1p/2b2Q2/3qPP2/6P1/4bN2/P6P/R4R1K w - - 3 24,a1d1 d5f3 f1f3 c6f3,1115,91,86,5136,doubleBishopMate mate mateIn2 middlegame short,https://lichess.org/khrnp3zy#47,
