PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1156,79,88,1755,crushing exposedKing long middlegame skewer,https://lichess.org/n9vCFmKh/black#72,
0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1138,75,98,1926,crushing endgame exposedKing long rookEndgame,https://lichess.org/dq15P00L#69,
004Lu,8/p1p4p/4Pk2/2PP1p1P/1r3r2/5B2/P3RK2/8 b - - 3 38,f6e7 d5d6 c7d6 c5d6 e7d6 e6e7,1259,74,99,1145,advancedPawn advantage endgame exposedKing long master,https://lichess.org/WMeZuWza/black#76,
00DBg,rn2kbnr/pp6/2p2p2/4P3/4P1pq/2N3N1/PPPB2B1/R2Q1RK1 w kq - 1 17,g1f2 f8c5 d2e3 c5e3 f2e3 h4g3,1086,78,88,468,advantage attraction exposedKing long middlegame,https://lichess.org/hXAo4Q2j#33,Pirc_Defense Pirc_Defense_Other_variations
00JaW,8/r7/Pk5p/3R2p1/4p1P1/4P3/3K4/8 b - - 0 48,a7a6 d5d6 b6a5 d6a6 a5a6 d2c3 a6b7 c3d4,1080,80,88,203,crushing endgame exposedKing rookEndgame veryLong,https://lichess.org/K2MPI0zt/black#96,
00Kyy,8/P7/8/5k2/8/5pr1/5r2/R6K w - - 0 50,a7a8q g3h3 h1g1 f2g2 g1f1 h3h1,1204,75,83,256,endgame exposedKing long master mate mateIn3 queenRookEndgame,https://lichess.org/VrBw9rnh#99,
00OxK,3r2k1/1p3p2/p1n2P2/2P3P1/1P2p3/P2pP3/3B4/2R3K1 w - - 0 33,c1c4 c6e5 c4e4 e5f3 g1f2 f3d2,1153,75,91,165,advantage endgame exposedKing fork long,https://lichess.org/xZGqOSNB#65,
00QW1,8/3r1ppp/4p3/k3P3/pR2R2P/2P5/2Kr1PP1/8 w - - 4 31,c2c1 d2d1 c1b2 d7d2 b2a3 d1a1,1014,97,95,259,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/I3LnvYRW#61,
00SgB,b3rrk1/qn2R3/1p3ppp/1P1p4/1Q1PnB2/P3P3/4BPPP/5RK1 b - - 0 28,e8e7 b4e7 f8f7 e7e8 g8g7 f4h6,1215,75,94,1517,advantage exposedKing kingsideAttack long middlegame,https://lichess.org/twcqryGo/black#56,
01A3W,4r3/pp5p/5k2/2p1r3/3p4/PP1P4/3KR2P/5R2 b - - 1 31,f6e6 e2e5 e6e5 f1e1 e5d6 e1e8,1010,83,89,732,attraction crushing endgame exposedKing long rookEndgame skewer,https://lichess.org/vvUxsteN/black#62,
01BDz,6k1/pp6/6p1/5pN1/b1r5/7P/3R2P1/7K b - - 1 37,c4c7 d2d8 g8g7 g5e6 g7f6 e6c7,1088,76,95,651,advantage endgame exposedKing fork long,https://lichess.org/NoSKLr2U/black#74,
01UXl,r1bqkb1r/pp4pp/2n1pn2/2p2p2/Q1P5/3P2P1/PP1P1PBP/R1BNK1NR b KQkq - 0 9,d8d3 g2c6 b7c6 a4c6 d3d7 c6a8,1050,89,94,1271,advantage exposedKing fork long opening,https://lichess.org/WP6oYrOE/black#18,English_Opening English_Opening_Symmetrical_Variation
01Z8E,8/8/5p2/4bPpP/3pp1B1/2knQ2K/P7/8 w - - 0 49,e3g1 d3f4 h3g3 f4e2 g3g2 e2g1,1086,76,92,370,crushing discoveredCheck doubleCheck endgame exposedKing long master,https://lichess.org/B0Hzk8zY#97,
01gFv,2rr2k1/1p3pp1/p4q1p/8/1P2P3/P2B4/6Q1/R2R3K w - - 1 31,d1f1 f6h4 g2h2 h4h2 h1h2 d8d3,1191,74,96,14578,crushing exposedKing long middlegame,https://lichess.org/6W1cGyrA#61,
0284p,6k1/p5N1/6r1/1q1pp2R/4P3/4QK2/5P2/8 b - - 2 38,g8g7 e3a7 g7f6 h5f5 f6e6 a7f7,1214,74,95,18243,crushing endgame exposedKing long,https://lichess.org/oVgCEjRr/black#76,
02KOG,r7/pp5p/7k/2N1B1p1/2B4n/P6P/1PP3r1/3RR1K1 w - - 2 32,g1f1 a8f8 c4f7 f8f7 e5f4 f7f4,1089,78,100,198,exposedKing long mate mateIn3 middlegame,https://lichess.org/W8XFI5q4#63,
02PyG,4kn2/p3b3/1p2P3/1P1p1Qp1/P7/8/1B1N1PK1/3q4 b - - 2 33,d1d2 f5f7 e8d8 b2f6 f8g6 f6e7 g6e7 f7f8 d8c7 f8e7,1234,276,54,3,crushing deflection endgame exposedKing master veryLong,https://lichess.org/4dKDIYf9/black#66,
02w7a,8/p2pr2p/1p1k4/8/2P1n1Q1/5N2/PP4PP/nN2KB2 w - - 2 22,f1e2 a1c2 e1f1 c2e3 f1g1 e3g4,1100,127,47,28,advantage exposedKing fork long middlegame,https://lichess.org/8mvu13TO#43,
02zve,8/8/8/P1k3p1/1N1p4/3K1p1P/8/8 w - - 2 53,b4c2 f3f2 d3e2 d4d3 e2d3 f2f1q,1018,79,100,180,advancedPawn attraction crushing deflection endgame exposedKing knightEndgame long promotion,https://lichess.org/kemqjEy4#105,
034yb,3r1r1k/p1p2p1P/4p1p1/4P3/2n4Q/P3BK2/q5P1/nR6 b - - 2 26,c4e3 h4f6 h8h7 b1h1 h7g8 h1h8,1061,82,96,2053,exposedKing killBoxMate long mate mateIn3 middlegame,https://lichess.org/k22MElm8/black#52,
03CLV,5Q2/7k/p1p3pp/B1PpP1p1/P2Pn1P1/4P2P/8/2q3K1 w - - 3 30,f8f1 c1e3 g1h2 e3g3 h2h1 e4f2 f1f2 g3f2,1241,76,89,566,crushing endgame exposedKing veryLong,https://lichess.org/EZiYKQJx#59,
03Qdr,r6r/1p1kbpp1/6p1/p1pp4/6P1/P2P3P/1PP2PK1/R1B1R3 b - - 3 19,h8h4 e1e7 d7e7 c1g5 e7d7 g5h4,1215,81,93,6173,attraction crushing endgame exposedKing fork long sacrifice,https://lichess.org/0saEK0Bh/black#38,Scandinavian_Defense Scandinavian_Defense_Other_variations
03c5v,r4nk1/p4q2/2p1p1pQ/2ppP3/r7/6R1/PPP4P/6RK b - - 1 26,a4f4 g3g6 f8g6 g1g6 f7g6 h6g6,1160,75,97,5533,crushing exposedKing kingsideAttack long middlegame,https://lichess.org/u69M9HEl/black#52,
03mPS,8/2Q1kppp/3pr3/8/1q5P/8/5PP1/3R2K1 b - - 3 31,e7f6 c7d8 e6e7 d1d6 b4d6 d8d6,1290,74,83,907,crushing deflection endgame exposedKing long,https://lichess.org/J0QmzD3z/black#62,
03oAe,4Rr1k/pp3pr1/3p2q1/5bn1/3Q4/1BP1R2P/PP3PP1/5K2 b - - 12 31,f8e8 e3e8 h8h7 d4h4 g6h6 e8h8 h7h8 h4h6,1261,78,93,526,advantage attraction deflection exposedKing kingsideAttack middlegame veryLong,https://lichess.org/xISXsytB/black#62,
046Zg,8/6p1/7p/8/8/2kppN1P/6P1/3K4 w - - 2 52,f3e5 e3e2 d1e1 d3d2 e1e2 c3c2,1284,76,69,113,advancedPawn crushing defensiveMove endgame exposedKing knightEndgame long,https://lichess.org/J6Fy6WuE#103,
04JC5,2r3k1/3R4/1p2p1p1/p3bpN1/8/6P1/P4P1P/6K1 b - - 2 29,c8c7 d7d8 g8g7 g5e6 g7h6 e6c7,1195,77,94,122,advantage endgame exposedKing fork long,https://lichess.org/5blSQDyx/black#58,
04bxb,6k1/6p1/8/P2p4/1P1P1P1r/2P1pb2/R3N3/5K2 w - - 1 43,a5a6 h4h1 e2g1 e3e2 a2e2 f3e2 f1e2 h1g1,1190,78,93,2390,advancedPawn crushing endgame exposedKing pin veryLong,https://lichess.org/FHsg6RcQ#85,
04e1F,5b2/p4k1p/8/2nP4/8/8/P3KP2/2R5 w - - 6 35,e2e3 f8h6 f2f4 h6f4 e3f4 c5d3 f4f5 d3c1,1117,82,91,423,attraction crushing endgame exposedKing fork sacrifice veryLong,https://lichess.org/aqhHtZYC#69,
04g2P,4k3/p5R1/4pp1p/3p4/3P3P/1Pq2P2/K5n1/6R1 b - - 6 36,g2e3 g7g8 e8e7 g1g7 e7d6 g8d8 d6c6 d8c8,1175,77,100,128,crushing endgame exposedKing veryLong,https://lichess.org/sADJWMdK/black#72,
04pb0,5rk1/R7/6p1/3P3p/4N2P/2P1KP2/p5r1/8 b - - 0 39,f8b8 e4f6 g8f8 f6d7 f8e7 d7b8,1043,79,92,476,crushing discoveredAttack discoveredCheck endgame exposedKing fork long,https://lichess.org/oOhnsu0j/black#78,
04xSr,8/5k2/4r3/3K4/8/8/8/7R b - - 20 64,f7e7 h1h7 e7f6 h7h6 f6g5 h6e6,1018,76,100,812,crushing deflection endgame exposedKing long rookEndgame skewer,https://lichess.org/wxWVQA0E/black#128,
054x7,r2n4/pbp1N2k/1p2p2p/8/4P3/3B2R1/PPP5/1K6 b - - 7 27,h7h8 g3g8 h8h7 e4e5 b7e4 d3e4,1057,77,96,4485,discoveredAttack discoveredCheck endgame exposedKing long mate mateIn3 morphysMate,https://lichess.org/lc6bnBNr/black#54,
05HSP,8/5R1p/3BP1p1/6P1/2p4r/2Pnk3/8/3K4 w - - 1 52,e6e7 h4h1 f7f1 h1f1 d1c2 f1c1,1195,77,88,1267,endgame exposedKing hookMate long mate mateIn3,https://lichess.org/QtFzrOY6#103,
05Hk5,1k2r1nr/1p4pp/p4p2/5B2/3q2b1/8/PPPQN1PP/R3KR2 w Q - 2 17,d2d4 e8e2 e1d1 e2e4 d1d2 e4d4,1244,75,96,2278,advantage discoveredAttack discoveredCheck exposedKing long middlegame,https://lichess.org/o7FDE2RS#33,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
05Tqt,Q7/p3kppp/3p3q/3Bp3/4P3/2bb1P1N/PP4PP/R3K2R w KQ - 0 21,b2c3 h6e3 e1d1 e3e2 d1c1 e2c2,1051,76,90,725,exposedKing long mate mateIn3 middlegame,https://lichess.org/Oa567QOi#41,
