PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00XAG,1r1r2k1/p3ppb1/b3q1pp/2p5/2N5/1Q1RB3/P4PPP/2R1N1K1 b - - 0 21,b8b3 d3d8 g8h7 a2b3,1901,200,29,30,advantage hangingPiece intermezzo master middlegame short,https://lichess.org/cfhyIaNG/black#42,
00yyG,8/4p1k1/p2pRq2/3P1p2/6r1/1P4Q1/4PP2/6K1 w - - 4 39,e6f6 g4g3 g1h2 g7f6 h2g3 f6e5,1970,75,88,248,crushing endgame intermezzo long master,https://lichess.org/VKkNCGtE#77,
016TW,rn4k1/pbpp2pp/1p2p2r/3P4/2P1Pp2/2BB1PqP/PP4P1/R2QRK2 b - - 2 16,e6d5 e4d5 h6h3 e1e8 g8f7 g2h3,2020,149,0,58,advantage intermezzo long middlegame,https://lichess.org/xW9ANDJZ/black#32,English_Opening English_Opening_Other_variations
01Ooi,1r2r1k1/6bp/p2p2p1/2pPpP2/q1b1n1PQ/5N2/PP5R/KB5R b - - 1 35,c4a2 h4h7 g8f8 b1a2,2003,92,81,86,advantage intermezzo master middlegame short,https://lichess.org/yezTqvSv/black#70,
01TDT,r3r1k1/ppqN2p1/2pb1p1p/5b2/3PRP1B/2P4P/PPQN2P1/R5K1 b - - 0 18,f5e4 d7f6 g7f6 d2e4 e8e4 c2e4,1990,79,90,199,advantage intermezzo kingsideAttack long middlegame,https://lichess.org/MMJHlgLj/black#36,French_Defense French_Defense_Exchange_Variation
01Xw1,r2q1r2/3b1pk1/p2p1n2/npp1pPN1/4P1PQ/PBPP3P/2P5/R4RK1 b - - 2 19,f8h8 g5e6 d7e6 h4g5 g7f8 f5e6,2095,76,96,1498,clearance crushing intermezzo long middlegame sacrifice,https://lichess.org/BCbwyihv/black#38,
01qgQ,5rk1/pp1q2pp/3N2n1/3Pr3/6Qb/6BP/PPB2PK1/4R3 b - - 2 27,h4g3 g4d7 e5e1 g2g3,1973,134,83,13,advantage intermezzo master middlegame short,https://lichess.org/zmZCOenL/black#54,
022x4,r7/p1ppq1kr/b1p2Npp/4P3/Q5P1/8/PPP2PK1/4R3 w - - 0 25,f6h7 a6b5 a4e4 g7h7,1995,76,91,1513,advantage endgame intermezzo short,https://lichess.org/oIpd3uu6#49,
02Ruw,3Q4/p1p2pk1/B4p1p/8/5B1q/2P1n3/PP3bK1/R7 w - - 4 31,f4e3 h4g3 g2f1 f2e3 f1e2 g3f2,2041,78,67,67,advantage endgame fork intermezzo long,https://lichess.org/FH7vOzxx#61,
02gpk,r3kb1r/pp1qnppp/4p3/4P3/3n4/4B3/PP3PPP/RN1Q1RK1 w kq - 0 12,e3d4 a8d8 b1c3 d7d4 d1d4 d8d4,2007,78,91,1900,crushing intermezzo long middlegame quietMove,https://lichess.org/A6GMJz2C#23,French_Defense French_Defense_Normal_Variation
02ouU,2kr2nr/1pp1q2p/p2b2p1/1N1P1b2/2BPp3/Q7/PB3PPP/4R1K1 b - - 1 17,a6b5 a3a8 c8d7 c4b5 c7c6 b5c6 b7c6 a8c6,2159,89,90,1866,intermezzo mate mateIn4 middlegame queensideAttack veryLong xRayAttack,https://lichess.org/BfvOwgIY/black#34,Italian_Game Italian_Game_Evans_Gambit
02smc,r1N1k2r/1p1n1p2/1q4p1/1Bb1p2p/4n2P/4BN2/2P2PP1/R2Q1K1R b kq - 0 16,a8a1 b5d7 e8d8 d1a1,1992,75,88,245,crushing intermezzo middlegame short,https://lichess.org/J4fmydbz/black#32,Sicilian_Defense Sicilian_Defense_Wing_Gambit
