PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001xl,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1088,80,94,11740,advantage endgame master masterVsMaster short skewer superGM,https://lichess.org/bEQkfPQD/black#80,
00au3,4B3/8/1p1k1p1p/5Pp1/p1P3P1/1nK4P/1P6/8 b - - 9 48,d6c5 e8a4 b3c1 b2b4,1219,84,91,474,crushing endgame master masterVsMaster short,https://lichess.org/yPpeNCSO/black#96,
00rYo,8/p1p4p/6p1/2p2k2/2Pb4/1P3P1K/P2RN2P/6r1 b - - 9 35,g1f1 e2g3 f5f4 g3f1,1104,86,94,3174,crushing endgame fork master masterVsMaster short,https://lichess.org/vcRYB6lg/black#70,
00yWQ,8/5pk1/4b2p/8/2r1NKP1/4P2P/5R2/8 w - - 12 51,f4f3 e6d5 f2d2 d5e4,1257,76,92,4625,crushing endgame master masterVsMaster short,https://lichess.org/lJke9dkh#101,
01I1O,5k2/2p1n1p1/1p1b1N1p/p2BpP2/q7/2P3PP/1P1Q1P2/6K1 b - - 0 29,g7f6 d2h6 f8e8 h6h8,1078,127,71,9,crushing endgame master masterVsMaster short,https://lichess.org/8JG00ofD/black#58,
01x2C,4r3/4r3/3kP2p/pppPRRpP/3pKpP1/1P3P2/1P6/8 b - - 1 46,e8c8 f5f7 e7f7 e6f7,1132,97,92,524,advancedPawn crushing endgame master masterVsMaster rookEndgame short,https://lichess.org/CSvEgmUa/black#92,
02Fvr,5K2/r5P1/5k2/8/8/8/8/8 w - - 7 57,g7g8q a7a8,1074,81,82,721,endgame master masterVsMaster mate mateIn1 oneMove queenRookEndgame,https://lichess.org/pzwG92Qv#113,
02Wmm,2kr4/Q6R/2q1p3/1r2Pp2/5P2/2P3Pp/3P3P/1R4K1 w - - 7 38,b1b5 c6g2,1148,75,100,229,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/0UoZZrxF#75,
02eFQ,8/1p3qk1/p1p3p1/P2b4/3P1r2/6QP/2B3P1/4R1K1 w - - 4 36,e1e7 f4f1 g1h2 f7e7,1185,85,93,3450,crushing endgame master masterVsMaster short,https://lichess.org/MVd65Pun#71,
02hO3,8/1b6/pk2p3/1p1pb3/1P2P3/P1PBK1P1/3R1Prr/1N1R4 w - - 0 35,f2f4 g2g3,1241,75,98,1461,master masterVsMaster mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/RfNxpqNZ#69,
02mTT,2r1k2r/pp2bpp1/4p3/P2pP2p/1P1NnP2/2Pq4/3B2PP/R2Q1R1K w k - 1 21,d2e1 d3f1,1225,77,80,126,hangingPiece kingsideAttack master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/grDN19RN#41,
030DH,r4r1k/p5pp/1np2n2/1p3B2/2pPR3/P2q2BQ/5PPP/R5K1 b - - 2 25,f6e4 h3h7,1168,206,33,8,kingsideAttack master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/OyWh4EPa/black#50,
03726,r3q2k/6b1/p5pp/1nQ1Nr2/5P2/2P5/PP4PP/R3R1K1 b - - 0 23,a8c8 e5g6 e8g6 c5c8,1296,75,97,1490,advantage deflection kingsideAttack master masterVsMaster middlegame short,https://lichess.org/chVzwZ2c/black#46,
03Exk,8/bP1B2r1/3K3p/2R3k1/4p1P1/8/8/8 b - - 3 58,a7c5 d6c5 g7d7 b7b8q,1008,138,67,16,advancedPawn advantage endgame master masterVsMaster promotion short,https://lichess.org/K4dGlLi4/black#116,
03Ria,3r4/5k1p/2p1p3/1p3p2/3r3P/1P2K3/2PN1PP1/2R4R w - - 2 32,d2f3 d4e4,1184,78,94,361,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/diTqsLiy#63,
03vYY,4r2k/R3N2p/6p1/1p6/1Bbb1P2/5P1P/3K2P1/8 b - - 1 37,d4a7 b4c3 a7d4 c3d4,1216,76,95,6977,endgame master masterVsMaster mate mateIn2 short,https://lichess.org/TwYZufKw/black#74,
042sd,2r3k1/pb3ppp/4pn2/2n4q/8/B4NP1/P1Q1PPBP/3R2K1 b - - 0 18,c5e4 c2c8 b7c8 d1d8 f6e8 d8e8,1237,80,93,168,backRankMate fork long master masterVsMaster mate mateIn3 middlegame sacrifice,https://lichess.org/77cGVrk0/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Ragozin_Defense
049tF,2rr2k1/5ppp/8/4Pb2/1Rp2P2/p1P1QBP1/R4K1P/3q4 b - - 2 32,d1b3 b4b3 c4b3 a2a3,1186,231,33,8,advantage capturingDefender master masterVsMaster middlegame short,https://lichess.org/KNq1or20/black#64,
04wxn,5rk1/1p1R1Qpp/2p5/p3p1B1/4P2P/6qB/1PP5/4b2K b - - 0 27,f8f7 d7d8 f7f8 h3e6 g8h8 d8f8,1139,75,99,729,backRankMate deflection endgame long master masterVsMaster mate mateIn3,https://lichess.org/YoqLlanf/black#54,
05AUc,7k/1p6/p5R1/P1pPb2p/2P1B1nP/5rQ1/1P6/5qNK w - - 0 51,g3f3 g4f2 f3f2 f1f2,1099,76,100,368,advantage master masterVsMaster middlegame short,https://lichess.org/Wfs4X4pO#101,
05Q61,5rk1/R1Q2pp1/p3p2p/1p6/r3P3/2PR1P2/PKP3qP/8 w - - 0 26,c7e7 a4a2 b2a2 g2c2,1127,86,95,6072,attraction crushing deflection endgame master masterVsMaster sacrifice short,https://lichess.org/cNeN1U17#51,
05X7U,b2Q3k/5rpp/2q2N1B/3p4/3p4/3P4/1PP2PPP/6K1 b - - 0 29,f7f8 d8f8,1071,86,50,44,endgame hangingPiece master masterVsMaster mate mateIn1 oneMove,https://lichess.org/DqNZFVkB/black#58,
05ogd,8/1p3k2/2p2p2/2Pb3P/1P1KpPB1/r6P/8/4R3 w - - 3 37,e1b1 a3d3,1064,81,81,165,endgame master masterVsMaster mate mateIn1 oneMove pillsburysMate,https://lichess.org/UIAT0IgR#73,
068LN,2kr3r/pbp2ppp/1pnqp3/3P4/4B3/2b2N2/P1P2PPP/1RBQ1RK1 w - - 1 13,d5c6 d6d1 c6b7 c8b8,1015,83,78,141,crushing master masterVsMaster middlegame short,https://lichess.org/MDJdK4ac#25,Owen_Defense Owen_Defense_Other_variations
06AiN,8/8/4Nb2/1p5p/2k2P1P/5KP1/8/8 w - - 3 52,g3g4 h5g4 f3g4 b5b4,1257,79,90,1145,crushing defensiveMove endgame master masterVsMaster short,https://lichess.org/P4iAYBd9#103,
06XV4,3qkb1r/pb1pppp1/1p3n2/nN4B1/2r5/P3QNP1/1P2PPB1/R4RK1 b k - 4 15,a7a6 b5d6,1143,80,93,4051,master masterVsMaster mate mateIn1 middlegame oneMove pin smotheredMate,https://lichess.org/26XMjnHi/black#30,Zukertort_Opening Zukertort_Opening_Sicilian_Invitation
06s9Z,8/p4p2/3k1b2/P6P/7r/5RK1/6P1/8 b - - 5 56,d6e6 f3f6 e6f6 g3h4,1213,74,99,3378,crushing endgame master masterVsMaster short,https://lichess.org/s7kIXFUZ/black#112,
07QKo,r3r1k1/1p3p1p/2pq2p1/2Np4/3P2nn/P3PN2/1PQ2PPP/1RR3K1 w - - 3 20,c5b7 h4f3 g2f3 d6h2,1237,77,86,149,crushing kingsideAttack master masterVsMaster middlegame short,https://lichess.org/KbBj9kMl#39,
07eNj,2Q5/8/4pp2/1k1p1p1p/3P3P/pqP1P1P1/5P2/6K1 w - - 6 52,c8b7 b5c4 b7c8 c4d3,1109,75,100,938,crushing defensiveMove endgame master masterVsMaster queenEndgame short,https://lichess.org/6NoNw7EO#103,
07jVz,8/1p1r1kpp/pR6/P5b1/1P3p2/2P5/3NK1PP/8 b - - 6 37,d7d2 e2d2 f4f3 d2e1,1211,88,91,621,advantage defensiveMove endgame hangingPiece master masterVsMaster short,https://lichess.org/jE0x6VP6/black#74,
07zcj,2R5/5rkp/6p1/p7/5P1P/1P4PK/P5Q1/1q6 w - - 7 37,h4h5 b1f5 g3g4 f5c8,1268,76,97,3632,crushing endgame fork master masterVsMaster short,https://lichess.org/K5JCpV3n#73,
084gV,6k1/p5p1/1n6/2Q5/2Pp2qp/3P1NN1/P5K1/8 w - - 0 41,c5d4 g4g3 g2h1 g3f3,1095,76,97,2331,crushing deflection endgame master masterVsMaster short,https://lichess.org/ZywS1gSn#81,
086MC,3K4/2PR4/8/6k1/8/6p1/8/2r5 w - - 0 53,d7d6 g3g2 c7c8q c1c8 d8c8 g2g1q,1262,79,90,4321,advancedPawn crushing endgame long master masterVsMaster promotion rookEndgame,https://lichess.org/VKyx1oxD#105,
08B72,r3r1k1/pp3pp1/2n5/2b2QN1/2P5/8/PqNP1P2/R3R1K1 b - - 1 21,b2f6 f5h7 g8f8 h7h8,1043,78,74,147,kingsideAttack master masterVsMaster mate mateIn2 middlegame short,https://lichess.org/XnROo65o/black#42,
09Bft,8/7p/8/8/5p1k/5P2/6PK/8 w - - 3 51,h2h1 h4g3 h1g1 h7h5,1035,76,100,241,crushing defensiveMove endgame master masterVsMaster pawnEndgame short zugzwang,https://lichess.org/h5gumOzu#101,
09R0h,2n2rk1/6p1/5r1p/1RN4P/1P2R3/1P6/5P2/6K1 w - - 1 40,c5d3 c8d6 b5e5 d6e4,1189,76,87,705,advantage endgame fork master masterVsMaster short,https://lichess.org/VWETqxVJ#79,
09hGn,6k1/p5pp/b7/5p2/1P3P2/5B2/P2rp1PP/2R3K1 b - - 0 31,d2a2 f3d5 g8f8 d5a2,1263,77,91,2223,crushing endgame fork master masterVsMaster short,https://lichess.org/VOH3HFtk/black#62,
0A1VX,5rk1/4Qp2/3p1b1p/6pP/pPq5/P3RPK1/6P1/8 w - - 0 34,e7f6 c4h4,1071,80,89,2612,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/tie5IXIv#67,
0A1bX,r1bq1rk1/pp2bpp1/2p1pn2/6N1/2pP4/2N1P3/PPQ2P1P/2KR1B1R b - - 0 12,f6d5 c2h7,1022,79,81,94,master masterVsMaster mate mateIn1 oneMove opening,https://lichess.org/XMj5LdGp/black#24,Semi-Slav_Defense Semi-Slav_Defense_Other_variations
