PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001XA,1qr2rk1/pb2bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 b - - 3 23,b8c7 b1b7 c7b7 e4f6 e7f6 g2b7,1687,75,91,1350,crushing discoveredAttack long master middlegame sacrifice,https://lichess.org/KZRiN695/black#46,
001xO,k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/PQRBPN2/5PPP/2R3K1 w - - 0 19,d3a6 b6c5 a6c8 c5c4,1892,75,91,1376,crushing master masterVsMaster middlegame sacrifice short,https://lichess.org/fNCePFgY#37,Slav_Defense Slav_Defense_Other_variations
0047P,8/1N3k2/6p1/8/2P3P1/pr6/R5K1/8 w - - 1 56,g2f1 b3b1 f1e2 b1b2 e2d1 b2a2,1766,75,86,94,crushing endgame exposedKing fork long master,https://lichess.org/Gb33KZKC#111,
006om,1r3k2/5p1p/2p1pp2/P2n4/2r1N3/P4PK1/2R2P1P/2R5 b - - 9 29,c4a4 e4c5 a4a5 c5d7 f8g7 d7b8,1835,74,95,8272,crushing endgame fork long master,https://lichess.org/BMIgw1OR/black#58,
00B7G,1rb2r1k/4q2p/p2p4/3B1p2/1pPb4/1P2NQ2/P5PP/2R2RK1 w - - 1 24,g1h1 e7e3 f3e3 d4e3,1643,75,86,153,crushing master masterVsMaster middlegame short,https://lichess.org/jBgjHSYd#47,
00CMj,7R/8/8/6p1/2p1p1k1/2PbK2p/P7/8 w - - 4 71,e3f2 e4e3 f2e3 g4g3,1676,76,96,24737,crushing defensiveMove endgame master short,https://lichess.org/JJZ8AIxT#141,
00G1l,5k2/1R6/3pp1P1/2p5/1pr1PK2/5P2/8/8 b - - 0 60,c4c1 f4g5 c1g1 g5f6,1815,75,89,418,crushing defensiveMove endgame master rookEndgame short,https://lichess.org/IWYBiMcT/black#120,
00GYk,1r4k1/p3p1bp/1n3qp1/6B1/6Q1/1P4pP/P5B1/3R3K b - - 0 29,f6e5 g5f4 e5f4 g4f4,1647,75,69,62,crushing master middlegame short,https://lichess.org/YCWBuQpY/black#58,
00HqY,8/6p1/8/6k1/4P3/5KpP/8/8 b - - 3 46,g5h4 f3g2 h4g5 g2g3,1774,75,94,547,crushing endgame master pawnEndgame short zugzwang,https://lichess.org/eG289RUU/black#92,
00IDz,8/8/2p2P2/K2b3p/7N/P1k5/8/8 w - - 0 63,f6f7 d5f7 a5b6 f7d5 b6c5 c3b3,1621,76,69,119,crushing endgame long master quietMove,https://lichess.org/saSpYsAv#125,
00Lhb,2n4k/p3b2p/Pp6/1PpPp3/2B1PpP1/1P6/5BK1/8 b - - 0 33,c8d6 f2c5 b6c5 b5b6 a7b6 a6a7,1783,85,89,45,advancedPawn advantage endgame long master masterVsMaster sacrifice,https://lichess.org/PN1IyrE7/black#66,
