PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0A5s6,5rk1/p1p2ppp/1rB2q2/3p4/3Pb3/2Q1P3/PP3PPP/R4RK1 w - - 1 17,c6a4 f6f3 g2f3 b6g6 g1h1 e4f3,2231,81,86,455,clearance intermezzo kingsideAttack long mate mateIn3 middlegame morphysMate sacrifice,https://lichess.org/7AyYWJxD#33,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
0RKHa,r2q1r2/pp2bpBk/2p2n2/3p4/4P3/1NPB4/PP2KP1P/R5R1 b - - 0 17,f8g8 e4d5 f6e4 d3e4 f7f5 e4f5,2296,77,93,1904,discoveredAttack discoveredCheck exposedKing long mate mateIn3 middlegame morphysMate,https://lichess.org/ha9KCR0g/black#34,Philidor_Defense Philidor_Defense_Other_variations
0UxBZ,1r6/p1b3pp/2p1R3/2B3k1/2N3P1/2Pb3P/PP3PK1/8 b - - 4 27,d3c4 f2f4 g5f4 c5e3,2271,81,82,126,attraction endgame mate mateIn2 morphysMate short,https://lichess.org/OJXQdcHN/black#54,
0jbFz,8/pBP3q1/1pRkb3/3N1p2/3P2p1/P2KP1P1/r7/8 b - - 3 30,d6d5 c6b6,2361,81,93,9602,discoveredAttack discoveredCheck endgame mate mateIn1 morphysMate oneMove,https://lichess.org/DF37L8Ax/black#60,
1VdgQ,3r1rk1/ppN3pp/4b3/4Pn1Q/8/6P1/PP3b1P/R1BK1B1R w - - 1 17,d1e2 f5g3 h2g3 e6c4,2263,76,94,4998,mate mateIn2 middlegame morphysMate sacrifice short,https://lichess.org/t4oUO2EA#33,Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation
1cvco,5rk1/1p1q1ppp/p3p3/3pB3/2rPR3/P1PR1Q1P/2P2PP1/6K1 b - - 0 19,d5e4 f3f6 g7f6 d3g3 g8h8 e5f6,2288,77,92,1418,clearance endgame intermezzo kingsideAttack long mate mateIn3 morphysMate sacrifice,https://lichess.org/PFJ5pc8p/black#38,
1rbd5,B2R4/R5pp/1p2pr1k/2p1b3/8/2P2P1n/PP6/7K w - - 1 33,d8d7 f6g6 f3f4 h3f2 h1h2 e5f4,2484,80,94,3661,endgame exposedKing long mate mateIn3 morphysMate quietMove,https://lichess.org/80o988hT#65,
2P1MW,r4rk1/pp3pp1/2n4N/2qn3P/2B1R3/2B5/1PP3P1/1K3R2 b - - 0 23,g7h6 e4g4 g8h7 f1f7 f8f7 c4d3 f7f5 d3f5,2416,102,56,43,deflection master mate mateIn4 middlegame morphysMate sacrifice veryLong,https://lichess.org/BnpyeIlM/black#46,
2lIyt,2R2B2/4k3/7p/3pN1p1/3b2P1/5K2/P2r1n1P/8 b - - 11 44,e7e6 c8c6 e6e5 f8g7,2212,82,90,602,endgame mate mateIn2 morphysMate sacrifice short,https://lichess.org/RlZIFPB1/black#88,
3MkqJ,3r3k/6pp/P5r1/1Np5/2B4q/1P2PbQ1/5P1P/R4RK1 w - - 1 28,a6a7 h4h3 a1a2 h3g2 g3g2 g6g2 g1h1 g2g4,2406,78,96,1109,discoveredAttack discoveredCheck mate mateIn4 middlegame morphysMate pin veryLong xRayAttack,https://lichess.org/GfeuljpK#55,
3RrFN,r5k1/1b1q2p1/p1n1p3/1ppn2PQ/3p2P1/3P3P/PPPB2B1/5RK1 b - - 0 24,a8f8 h5h8 g8h8 f1f8 h8h7 g5g6 h7g6 g2e4,2430,82,92,1785,attraction deflection kingsideAttack mate mateIn4 middlegame morphysMate sacrifice veryLong,https://lichess.org/0CA2iQWz/black#48,
4mne6,8/1p1k3B/2b1p3/8/3P4/4P3/PP3r1P/R4R1K w - - 0 30,h1g1 f2g2 g1h1 g2g6 d4d5 c6d5 e3e4 d5e4 f1f3 e4f3,2233,77,95,3963,discoveredAttack discoveredCheck endgame mate mateIn5 morphysMate veryLong,https://lichess.org/IuXbrYNn#59,
4nWI0,r1bk1r2/1p6/3N1np1/p2pPpQ1/P2P2p1/8/1q6/2R1KB1R b K - 3 27,b2d4 g5f6 f8f6 h1h8 f6f8 h8f8 d8e7 f8e8 e7d7 f1b5,2266,75,95,974,exposedKing master mate mateIn5 middlegame morphysMate sacrifice veryLong,https://lichess.org/Ao2HPlXp/black#54,
4zifq,4r3/1p3p1Q/3k4/p2B4/2P2qPp/7P/2Pb2K1/3R3R w - - 5 36,h7f7 e8e2 g2g1 d2e3,2206,78,93,5877,mate mateIn2 middlegame morphysMate short,https://lichess.org/Rxr8lm1c#71,
59Edi,2kr4/p1p5/2Q5/1p3bB1/1b2p3/6P1/1PPKPP1P/q2R2R1 w - - 3 26,d2e3 a1c1 d1c1 b4d2,2333,100,90,420,collinearMove mate mateIn2 middlegame morphysMate sacrifice short,https://lichess.org/DqUSrHry#51,
5HYxJ,4r1k1/2QR1pp1/5b2/8/1P5p/5PnP/4rBK1/1R6 w - - 13 37,d7f7 e2f2 g2g1 f2g2 g1g2 e8e2 g2g1 f6d4,2298,77,95,3081,attraction mate mateIn4 middlegame morphysMate sacrifice veryLong,https://lichess.org/KWND6ObF#73,
5pxQY,6r1/1p5Q/p3kP2/P2p4/3Pb1r1/8/R5PP/5RK1 w - - 2 31,a2e2 g4g2 e2g2 g8g2 g1h1 g2g6 f1f3 e4f3,2244,76,93,5362,discoveredAttack discoveredCheck endgame mate mateIn4 morphysMate veryLong,https://lichess.org/0fzAfLrZ#61,
67wCC,1r2rk1Q/p2n2p1/2pbbpP1/q2p4/3P3N/2pBB2P/PP3P2/1K4RR b - - 4 23,e6g8 h8g7 f8g7 h4f5 g7h8 g6g7 h8h7 f5e7 f6f5 d3f5,2459,83,95,1262,advancedPawn attraction discoveredAttack discoveredCheck fork mate mateIn5 middlegame morphysMate sacrifice veryLong,https://lichess.org/GbDPUqkW/black#46,
6GBKN,5k1r/pp2n1pp/5pn1/1B2P3/P4P2/2q2NP1/5K1P/3R3R b - - 1 27,f6e5 d1d8 f8f7 f3g5 f7f6 d8d6 f6f5 b5d7,2364,79,93,6379,mate mateIn4 middlegame morphysMate veryLong,https://lichess.org/7j3EJpFk/black#54,
7EZ9A,7b/8/p3k1pp/2Bp1n2/P2P4/1P2PK1P/7r/2R2R2 w - - 2 41,f1h1 f5h4 f3f4 h2f2 f4g3 f2g2 g3h4 h8f6,2268,75,93,7830,endgame mate mateIn4 morphysMate sacrifice veryLong,https://lichess.org/JiTqbUSu#81,
7S8QK,8/7R/bkp2N2/p1n1pP2/Pp2P1P1/1P6/1r3r1P/1KN1R3 w - - 2 34,b1a1 b2a2 c1a2 c5b3 a1b1 a6d3,2211,85,89,1249,deflection exposedKing long mate mateIn3 middlegame morphysMate sacrifice,https://lichess.org/qbMOamCY#67,
7bS2X,4r2k/2Q4p/6p1/R2P2r1/P2b4/1P6/5KP1/6R1 w - - 5 41,f2f3 e8e3 f3f4 g5f5 f4g4 h7h5 g4h4 d4f6,2265,78,93,4995,endgame exposedKing mate mateIn4 morphysMate veryLong,https://lichess.org/MAAssbM4#81,
7dVvS,QR2r1k1/8/3p2pp/3n4/3b3N/3P3P/R1P5/5r1K w - - 5 36,h1g2 d5e3 g2g3 d4e5,2294,91,85,102,mate mateIn2 middlegame morphysMate short,https://lichess.org/x2FnPgEm#71,
8CmhI,2R5/pp1k1p1r/1q2pB2/3p1b2/3P2p1/1P2P3/3NBPPb/2R2K2 b - - 8 25,h2d6 c8d8 b6d8 e2b5,2374,79,92,3109,master mate mateIn2 middlegame morphysMate sacrifice short,https://lichess.org/wGL0euZJ/black#50,
