PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
020Gj,r4r1k/ppp1N1pp/1b1p1p2/8/8/2PB1q1b/P1QB1P1P/R3R1K1 w - - 0 21,d3e4 b6f2,1913,77,92,291,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4yncvvbj#41,
04cDV,r4k1r/pp2Bppp/4nq2/1B6/8/2b3QP/P4PP1/3R1RK1 b - - 0 18,f8e7 g3d6,1926,80,91,369,mate mateIn1 middlegame oneMove,https://lichess.org/kOHlHrhw/black#36,Queens_Pawn_Game Queens_Pawn_Game_Krause_Variation
04hNd,8/7p/2p5/3q1pQ1/4p3/5kPP/3P1P2/6K1 b - - 2 35,d5d3 g5h5,2040,84,90,2738,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/acB1djfT/black#70,
07C65,3r2r1/1p1k1p1p/2p1p3/6b1/Q1P5/5q2/PP3P1P/R1B2RK1 w - - 0 24,a4d1 g5d2,1909,82,92,2456,discoveredAttack discoveredCheck mate mateIn1 middlegame oneMove,https://lichess.org/LLg1cBQ8#47,
09kAc,8/4Q2p/5ppk/p7/P3BP2/4n1PK/4q2P/8 w - - 9 49,e7f6 e2g4,1901,82,93,8430,endgame mate mateIn1 oneMove,https://lichess.org/xeVzc1vE#97,
09nQI,6k1/8/4p2p/2b1P3/1p6/5qNp/PR1Q3B/6K1 w - - 3 36,d2f2 f3g2,1987,75,94,20543,endgame mate mateIn1 oneMove pin,https://lichess.org/DsZLWBKA#71,
0CAJl,8/1P6/4p1k1/6P1/1PpP3P/2K5/8/5q2 w - - 0 44,b7b8q f1c1,1968,76,93,3702,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/ceNtACPF#87,
0Ct8C,8/1R3nk1/n2p1N2/2pP1pP1/7P/r7/6B1/7K b - - 0 36,c5c4 f6h5,2098,77,71,93,advantage endgame master oneMove,https://lichess.org/IfClxRHx/black#72,
0DybW,8/8/ppn4p/2p2p2/2K1k3/1PP4P/PN3PP1/8 w - - 0 36,b2a4 c6e5,1929,81,93,4985,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/MlJCE2Yn#71,
0Eq1u,3Q3R/2p2pp1/3pb2p/3q3k/pp1b4/5N1P/1P4P1/7K b - - 1 41,d5e4 d8g5,2031,80,77,374,endgame mate mateIn1 oneMove pin,https://lichess.org/bqkG2Nk0/black#82,
0GbDM,r6r/1pp1qkpp/5n2/3P1b2/pbPN4/NK1n1P2/PP4PP/R1BQ1B1R w - - 0 15,b3c2 d3e1,1960,87,89,671,discoveredCheck doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/WH3GRzPm#29,Scandinavian_Defense Scandinavian_Defense_Portuguese_Gambit
0H8LG,2k1r3/ppp2ppp/b7/3p4/P2P1b2/1BN1rP2/1PPK2PP/R2R4 w - - 4 21,c3d5 e3d3,2133,77,94,10954,discoveredCheck doubleCheck mate mateIn1 middlegame oneMove operaMate pillsburysMate,https://lichess.org/pW6rLvpM#41,
0HLBT,8/Qp2k3/2p1n1np/3p4/6P1/3N2BP/PPPq2K1/8 w - - 1 45,g2f3 e6g5,1908,84,89,2536,endgame mate mateIn1 oneMove,https://lichess.org/45Fy90AC#89,
0HunK,8/p4pp1/1p1Q4/1bK1Ppk1/7R/P2q2P1/7P/8 w - - 0 41,c5b4 a7a5,1936,81,75,358,endgame master mate mateIn1 oneMove,https://lichess.org/rcioDVeq#81,
0L0xa,rnb2r2/pppk4/7p/4QP1q/3p2p1/3B4/P2B1KPP/4R3 b - - 2 23,b8c6 e5d5,1929,81,93,1424,mate mateIn1 middlegame oneMove,https://lichess.org/fL7YTQDe/black#46,
0LzU0,8/5p1k/4p1p1/2b1P2p/R4PK1/1r6/4N1PP/8 w - - 0 45,g4h4 c5e7,1908,76,95,2441,endgame master mate mateIn1 oneMove,https://lichess.org/l6r8zASL#89,
0MhQo,r7/8/5N1Q/3nP3/4N3/6P1/4K1k1/q7 w - - 4 52,h6d2 a1f1,2021,79,81,239,endgame master mate mateIn1 oneMove,https://lichess.org/aVL1Pq3Y#103,
0ND4d,r1bqrb1k/pp4B1/2p2pQ1/4nN2/3P4/2P5/PP3PPP/R4RK1 b - - 8 18,h8g8 f5h6,1932,77,95,3621,master mate mateIn1 middlegame oneMove,https://lichess.org/S8luHeFY/black#36,Caro-Kann_Defense Caro-Kann_Defense_Tartakower_Variation
