PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0092V,r2qk1nr/ppp3pp/2n5/1B1pp3/1b1P4/5Q1P/PP1B1PP1/RN2K2R b KQkq - 3 11,e5e4 b5c6 b7c6 f3h5 g7g6 h5e5,2267,82,85,1243,crushing exposedKing long opening,https://lichess.org/bW5LiCa5/black#22,Ponziani_Opening Ponziani_Opening_Other_variations
00LZl,r2qkb1r/ppp2ppp/2n5/3pPb2/3n1B2/2NB1N2/PP3PPP/R2QK2R b KQkq - 3 9,f8b4 f3d4 c6d4 d1a4 d4c6 d3f5,2312,77,93,7444,advantage deflection fork long opening,https://lichess.org/jBb2kj01/black#18,Kings_Pawn_Game Kings_Pawn_Game_Macleod_Attack
00M7w,r1b1k2r/ppp2ppp/2n5/2bBp3/2Pq4/3P1QP1/P2B1P1P/1R2K1NR b Kkq - 2 12,f7f6 g1e2 d4f2 f3f2 c5f2 e1f2,2308,91,90,2024,crushing long opening,https://lichess.org/rhyiYyX3/black#24,Scandinavian_Defense Scandinavian_Defense_Main_Line
00ZK8,r1bq1b1r/pp3kpp/3p1n2/3Q4/2n1P3/5N2/PP3PPP/RNB1K2R b KQ - 1 10,c8e6 f3g5 f7g6 d5e6,2335,81,83,345,advantage deflection opening short,https://lichess.org/NOQlRyAF/black#20,Sicilian_Defense Sicilian_Defense_Old_Sicilian
00bmj,r2q1k1r/p1p2ppp/1p6/8/3n2b1/1Q3NP1/PP1N1PP1/3RKB1R w K - 2 15,b3b4 c7c5 b4c4 d8e7 f1e2 b6b5 c4d3 g4f5 d3d4 c5d4,2464,85,44,110,advantage defensiveMove opening pin veryLong,https://lichess.org/FrYWZCWt#29,Queens_Pawn_Game Queens_Pawn_Game_London_System
00sys,r1bq1r2/pp2b1pk/2n1pp2/3p4/2pP3N/2P1P1P1/PP1N1PP1/R2QK2R b KQ - 0 13,d8e8 h4g6 h7g8 h1h8 g8f7 d1h5,2272,91,81,375,crushing discoveredAttack discoveredCheck long master opening,https://lichess.org/oeasr2cR/black#26,Indian_Defense Indian_Defense_London_System
00u3b,rn2kb1r/pbqp1ppp/1p2p3/3nP3/2BP4/5N2/PP2QPPP/RNB1K2R w KQkq - 0 9,b1c3 d5c3 b2c3 b6b5 a1b1 b5c4,2375,84,90,1288,crushing long opening,https://lichess.org/hg1xugvX#17,Sicilian_Defense Sicilian_Defense_Alapin_Variation
01P1X,r1b2rk1/pp2ppbp/5np1/2qP4/1n2P3/2N2N2/PP1B1PPP/R2QKB1R w KQ - 0 11,a2a3 f6e4 c3e4 b4c2 d1c2 c5c2,2212,76,89,249,advantage fork long opening sacrifice,https://lichess.org/MoQo8XAN#21,Grunfeld_Defense Grunfeld_Defense_Three_Knights_Variation
01iTZ,r2b1r1k/p2bqppp/3N4/1N6/1P1nBP2/P1Pn3P/6P1/R2Q1RK1 w - - 0 24,c3d4 d7b5 d1h5 f7f5,2397,76,93,109,advantage opening short,https://lichess.org/hCijpZEs#47,
01lBC,r1b1kb1r/pppp1ppp/2n4n/3NP3/8/6B1/PqP1PPPP/R2QKBNR w KQkq - 2 7,d5c7 e8d8 c7d5 f8b4 d5b4 b2c3 d1d2 c3a1,2360,79,92,450,advantage deflection fork opening sacrifice veryLong,https://lichess.org/5tB8mh6T#13,Englund_Gambit Englund_Gambit_Other_variations
01oXz,r2qk2r/ppp2pp1/2p1bn2/2b4p/4P3/2NP3P/PPP2PP1/R1BQKB1R w KQkq - 2 8,c3a4 c5f2 e1f2 f6e4 f2e3 e4g3,2477,89,46,42,advantage attackingF2F7 attraction long opening,https://lichess.org/WA1vQT0Z#15,Russian_Game Russian_Game_Stafford_Gambit
01pVq,r1b2rk1/pp1nbpp1/1qpp1n1p/4p3/1P2P3/P1NP1N2/1BP1BPPP/R2Q1RK1 b - - 0 11,d7c5 b4c5 b6b2 d1d2,2414,79,91,3978,advantage opening short,https://lichess.org/AGkx6s31/black#22,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Other_variations
01qJr,r2qkb1r/pp2pppp/2n5/1Bpn4/3P2b1/2N2N1P/PPP2PP1/R1BQK2R b KQkq - 0 7,c5d4 c3d5 d8d5 b5c6 b7c6 h3g4,2308,103,72,43,crushing long master opening,https://lichess.org/HbWPcr4u/black#14,Sicilian_Defense Sicilian_Defense_Nimzowitsch_Variation
02Oku,r2qk2r/p2nbppp/2n5/2p1p3/4N3/3Q4/PPPP1PPP/RNB1K2R w KQkq - 0 14,e4d6 e7d6 d3d6 c6b4,2492,106,86,566,advantage opening short,https://lichess.org/97Qk80ic#27,Italian_Game Italian_Game_Two_Knights_Defense
02YPX,r3kb1r/pppb1ppp/5n2/3PN3/Q2nP3/2N5/Pq1B1PPP/1R2KB1R b Kkq - 3 11,d4c2 e1e2 b2b1 e5d7,2394,83,85,296,advantage defensiveMove opening sacrifice short,https://lichess.org/vpN3Ih0R/black#22,Queens_Gambit_Declined Queens_Gambit_Declined_Chigorin_Defense
02im6,r2qkb1r/pp2pppp/5n2/5b2/3Bp3/2P5/PP2BPPP/RN1Q1RK1 b kq - 4 9,e7e6 d4f6 d8d1 f1d1 g7f6 e2b5 e8e7 d1d7,2360,85,83,304,crushing opening veryLong,https://lichess.org/aDuhy4SP/black#18,Sicilian_Defense Sicilian_Defense_Keres_Variation
02yrs,2kr1bnr/ppq2ppp/2p1p3/3pP1N1/8/1P1QB3/P1P2PPP/RN2K2R w KQ - 1 11,e3a7 c7e5 d3e3 e5a1 e1g1 a1f6,2309,79,91,2737,advantage fork long opening pin,https://lichess.org/OsT1JzVm#21,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
031po,r1b1kb1r/ppp1qppp/2P5/8/6n1/2N2p2/PP3KPP/R1BQ1BNR w kq - 3 10,f2f3 e7f6 c1f4 g4e5,2299,83,89,177,crushing opening short,https://lichess.org/i4AuYirN#19,Queens_Gambit_Declined Queens_Gambit_Declined_Normal_Defense
03EPU,r1b2rk1/pp2n1pp/2n5/2q2p2/3p4/2N2N2/PPP1QPPP/2KR1B1R w - - 0 12,f3d4 c6d4 e2c4 d4e6 c4c5 e6c5,2325,89,85,1248,advantage long opening,https://lichess.org/liUubf5z#23,Scandinavian_Defense Scandinavian_Defense_Blackburne_Gambit
03Idr,r1b2k1r/p1bp2p1/1pn4p/2p2q2/4N2N/1Q6/PP3PPP/R1B1R1K1 b - - 3 15,f5g4 e4g5 c7h2 g1h1,2441,79,91,3416,crushing defensiveMove opening quietMove short,https://lichess.org/xMYS66kx/black#30,Danish_Gambit Danish_Gambit_Other_variations
03uVM,r1b2rk1/pp1p1ppp/1bn2n2/8/2B1P2q/1NN5/PP3PPP/R1BQ1RK1 w - - 9 11,c3d5 f6g4 c1f4 b6f2 f1f2 h4f2,2323,91,88,1162,crushing kingsideAttack long opening,https://lichess.org/WzBC7qyw#21,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Declined
049L6,r1bqk2r/ppp2pp1/2nb3p/4p3/2B5/2P2N2/PPP2PPP/R1BQR1K1 w kq - 0 9,f3e5 d6e5 c1f4 d8d1 a1d1 f7f6,2318,87,86,163,advantage defensiveMove discoveredAttack long opening,https://lichess.org/pwg04r5J#17,Russian_Game Russian_Game_Italian_Variation
04lOJ,rn1qk2r/pbp4p/1p1ppbp1/4N2Q/3P4/3B4/PPP3PP/RN3RK1 w kq - 0 13,e5g6 f6d4 g1h1 h7g6 h5g6 e8d7 f1f7 d7c8 g6e6 b8d7,2322,103,90,1354,advantage intermezzo opening veryLong,https://lichess.org/gDM9cpqx#25,Horwitz_Defense Horwitz_Defense_Other_variations
05F1i,rnb2rk1/pppp1ppp/8/4P3/2B1n2q/1Q4P1/PB3P1P/R3K1NR b KQ - 0 11,e4g3 f2g3 h4e4 e1f2,2475,81,92,1440,advantage defensiveMove opening short,https://lichess.org/wxiwpgAq/black#22,Danish_Gambit_Accepted Danish_Gambit_Accepted_Copenhagen_Defense
05iTc,r1bq1rk1/ppp1npb1/7p/3Pp1pn/4P2B/1BN2N2/PPP3PP/R2Q1RK1 w - - 0 13,h4g5 h6g5 f3g5 h5f6,2443,90,88,1543,advantage opening short,https://lichess.org/Z0zz1Wqd#25,Pirc_Defense Pirc_Defense_Austrian_Attack
