PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
007en,rn3rk1/4pp1p/3p2pB/2q4P/3bP1b1/Pp2Q3/1P2B3/1K1R2NR w - - 0 20,e3d4 c5c2 b1a1 a8a3 b2a3 c2a2,1867,76,96,3086,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/jzE2yKAk#39,
00bqJ,r7/1pp4k/p2p3p/3Ppq2/2P2bb1/1N2R3/PP1Q4/1K1N2R1 w - - 8 27,d2c2 f5c2 b1c2 g4d1 g1d1 f4e3,1861,76,95,2674,advantage attraction long middlegame queensideAttack,https://lichess.org/FMvI8Grp#53,
00zeF,5b1r/1pk3pp/pN2p3/8/4n1Pq/3r3P/PQ3P2/2R1K2R b K - 1 20,c7b8 c1c8 b8a7 c8a8,1849,75,94,545,mate mateIn2 middlegame queensideAttack short,https://lichess.org/ZFl1I0x7/black#40,
01AEw,5r2/p1p2p1k/5p1p/3Qp3/1b2P3/1P3P2/P1P1q2P/2KR2R1 w - - 3 26,d5c4 b4a3 c1b1 e2c4 b3c4 f8b8 b1a1 a3b2,1879,76,90,757,advantage endgame queensideAttack veryLong,https://lichess.org/hrqeWyLX#51,
01e0v,1k1r1r2/2p5/pp3p2/3qn1pp/B4n2/1RQ2N2/PP3B2/5R1K b - - 1 35,g5g4 f2b6 c7b6 b3b6,1743,77,93,2665,advantage middlegame queensideAttack short,https://lichess.org/Tknnokbi/black#70,
01xaX,2k2b1r/2p2ppp/p1N1p3/7n/q1P2B2/P5P1/5PBP/1R4K1 b - - 3 20,h5f4 b1b8 c8d7 b8d8,1745,75,88,358,mate mateIn2 middlegame queensideAttack short,https://lichess.org/LEFiihue/black#40,
02Cq3,r1k4r/pp1nQ1p1/5p2/1N3P1p/3P4/2P5/q5PP/4R2K b - - 3 25,a7a6 e7e8 h8e8 e1e8,1686,74,95,17343,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/0MRd72jU/black#50,
037Iw,3r2r1/1kpq1p1B/pp2b3/4P3/8/2B5/nPP2QPP/2KRR3 w - - 0 22,c1b1 d7d1 e1d1 d8d1,1885,76,95,4806,mate mateIn2 middlegame queensideAttack short,https://lichess.org/XNKey9kq#43,
03YMC,1r3rk1/3p1p1p/1qn2p2/4p3/pP2PP2/P2Q2P1/2P3BP/RK1R4 w - - 2 30,d3d7 c6b4 a3b4 b6b4,1666,76,93,1347,advantage middlegame queensideAttack short,https://lichess.org/onoxAWwS#59,
03leN,1k1r3r/1ppbqp2/B2pp3/Q5b1/4P3/R7/PPP3P1/1K1R4 b - - 0 21,d7c6 a6b5 b8c8 a5a8 c8d7 a8b7,1829,165,83,8,crushing deflection long middlegame pin queensideAttack,https://lichess.org/iggO5Ql2/black#42,
03tx6,k3r3/1p4b1/6bp/p2q2p1/4N1P1/1PpQ4/P1B3P1/1K2R3 b - - 4 39,g6e4 d3d5 e4d5 e1e8,1851,76,92,1573,advantage middlegame queensideAttack short,https://lichess.org/DHAQbVw2/black#78,
04E85,k3r3/p1p4p/1rp1p1p1/2NnP1P1/R2PB2P/1P6/5K2/8 b - - 4 37,b6b4 e4d5 b4a4 d5c6,1817,85,86,41,crushing endgame master queensideAttack short,https://lichess.org/HI97HeRo/black#74,
04XLJ,2kr3r/pp1nqpp1/4p1p1/8/5N2/2Q5/PPP3PP/2KR3R b - - 3 18,e7c5 d1d7 c5c3 d7d8,1692,77,88,1068,advantage middlegame queensideAttack short,https://lichess.org/3mlQOel0/black#36,Queens_Pawn_Game Queens_Pawn_Game_Stonewall_Attack
04wbj,2r1k3/1Q1bqp2/p3p2p/Pp6/8/1BPR2P1/2P2rP1/2K4R w - - 0 28,h1h6 e7a3 c1b1 f2f1 d3d1 f1d1,1651,76,89,300,long mate mateIn3 middlegame queensideAttack,https://lichess.org/cRkWGffB#55,
04xE4,4r1k1/1p3pp1/pN1p3p/5P2/6P1/P2b3P/qPP3Q1/2KR4 w - - 0 24,d1d3 a2a1 c1d2 a1e1,1652,75,86,142,endgame mate mateIn2 queensideAttack short,https://lichess.org/XfD3yYYd#47,
059vO,1k1r3r/ppqn4/2pb4/4pp1p/1N4bP/1QP1B1P1/PP3PB1/R3K2R b KQ - 1 18,f5f4 b4a6 b8c8 a6c7,1865,78,88,137,crushing master middlegame pin queensideAttack short,https://lichess.org/NPeJF05s/black#36,Caro-Kann_Defense Caro-Kann_Defense_Bronstein-Larsen_Variation
05Kk4,1k1r3r/pp1nbpp1/2p1pn1p/q4b2/3P4/1BP1BN1P/PP2QPP1/1NKR3R w - - 1 16,b1d2 a5c3 b2c3 e7a3,1767,77,96,3853,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/4haYPkvo#31,Caro-Kann_Defense Caro-Kann_Defense_Main_Line
05LLQ,r3k2r/4ppbp/2Pp2p1/1B2n3/1p6/1P3P2/1BPQ2PP/q1KR3R w kq - 3 20,b2a1 a8a1 c1b2 e5c4,1665,96,86,78,discoveredCheck doubleCheck master mate mateIn2 middlegame queensideAttack short,https://lichess.org/IviXBsvf#39,
05kGI,Q1krr3/1pbnRp1p/2p5/3p1q2/N6P/2P3P1/PP3P2/2KR4 b - - 4 23,d7b8 a4b6 c7b6 a8b7,1648,80,93,3079,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/zbi7ZI85/black#46,
05pYW,2k4r/pppr1pp1/2n2bp1/3q4/4p1B1/PP2P3/1BQP1PPP/2R1K2R b K - 7 17,c6e5 c2c7,1690,75,100,241,mate mateIn1 middlegame oneMove pin queensideAttack,https://lichess.org/2dG0znSu/black#34,English_Opening English_Opening_Anglo-Indian_Defense
06DfC,2k5/p1pr3r/1p1Bp1Q1/1q1pP2p/3n2p1/8/PP3PPP/2RKR3 b - - 1 24,d4f5 g6e8 c8b7 c1c7 d7c7 e8b5,1732,75,99,534,advantage long middlegame pin queensideAttack,https://lichess.org/PvaO7KiL/black#48,
