PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001Oo,6k1/4p1bp/6p1/1p1pP3/1PpPp3/2P1P3/Q2B1KPP/3q4 b - - 2 23,d1a4 a2a4 b5a4 b4b5 g8f7 b5b6,2078,78,84,61,crushing endgame long quietMove,https://lichess.org/8IKs77O9/black#46,
001aK,6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb1rN3/5K2 b - - 1 33,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,2060,79,93,348,crushing endgame hangingPiece long quietMove,https://lichess.org/Epr0AiEh/black#66,
00A5m,8/1p6/p1p2p2/P3b3/1PK3P1/2PBk3/8/8 b - - 3 60,e3d2 d3f5 e5c7 f5c8 b7b6 a5b6 c7b6 c8a6,1965,77,90,635,bishopEndgame crushing endgame quietMove veryLong,https://lichess.org/Y4Ftfosz/black#120,
00MBF,7k/np2b1pp/p1b2p2/2P1pq2/PPQ4P/5PP1/1B5K/3BN3 b - - 0 29,c6d7 d1b3 f5h3 h2g1 d7e6 c4e6 h3e6 b3e6,2080,76,86,93,advantage middlegame quietMove veryLong,https://lichess.org/qknEpIjx/black#58,
00QyM,8/3k4/1pp3p1/4Pp1p/2PK1P1P/pP6/P7/8 b - - 1 35,d7e6 b3b4 e6e7 b4b5 c6b5 c4b5,2131,81,91,1487,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/DcRRuwOx/black#70,
00WoW,8/4kppR/r1p1p2p/p3P2P/4P1P1/1pP1KP2/6B1/8 w - - 0 29,e3d2 a5a4 g2f1 a4a3 f1a6 a3a2,2158,79,91,1295,advancedPawn advantage endgame long master quietMove sacrifice,https://lichess.org/cuQl3aZ8#57,
00aZ3,8/6k1/1n6/1K2p1p1/P5P1/1B3r2/1PP5/8 b - - 1 36,b6d5 b3d5 f3f4 a4a5 e5e4 a5a6 e4e3 a6a7,2068,82,88,743,advancedPawn crushing endgame hangingPiece quietMove veryLong,https://lichess.org/0yMvFk5C/black#72,
00gy1,8/1p6/8/3kp2p/4p1p1/4K1P1/PP4PP/8 w - - 0 36,h2h4 b7b5 a2a3 d5c4 e3e4 c4b3,1993,99,23,25,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/E5BBvr3Q#71,
00iQC,1k1r1b1r/4q3/QBpp4/4p3/4P2p/5p2/P5PP/4R1K1 b - - 0 28,d8d7 e1b1 d7b7 b6a7 b8c8 a6c6 e7c7 c6e8,2123,79,91,1199,crushing discoveredAttack exposedKing middlegame queensideAttack quietMove veryLong,https://lichess.org/Yg1J59NW/black#56,
00lRC,8/3k1p1p/8/3Pp3/4K3/3P2P1/1pB4P/b7 b - - 1 36,d7d6 c2b1 f7f5 e4f5,2088,77,91,484,bishopEndgame crushing endgame quietMove short,https://lichess.org/TLhjLF8g/black#72,
