PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
002e5,r2q4/pp1n1kbp/3P2b1/6N1/6Q1/P3P3/6P1/4K2R b K - 1 21,f7g8 g4c4 g8h8 h1h7 g6h7 g5f7,2632,78,85,386,crushing long middlegame sacrifice,https://lichess.org/qaapuG48/black#42,
00IKw,3r2k1/pp1P1p1p/6p1/2R1P2r/3Q1P2/6Pq/7P/3R2K1 w - - 1 33,d4d2 d8d7 d2d7 h3h2 g1f1 h2g3 d7d8 g8g7 d8f6 g7h6 f6g5 h5g5,2621,100,90,177,advantage deflection endgame sacrifice veryLong,https://lichess.org/R6IG9d87#65,
00hCU,r1b2r2/1p5k/3p2pp/p1PBb3/2Pp1p2/P2P2Pq/3B1P1P/1R1QR1K1 w - - 0 26,c5c6 f4g3 f2g3 f8f2 g1f2 h3h2,2844,102,85,414,attraction crushing deflection kingsideAttack long middlegame sacrifice,https://lichess.org/mc07lrmk#51,
00iXO,r6r/pp2kB2/1bpR1p2/4p1p1/6b1/1QP3p1/PP3PP1/4R1K1 w - - 2 23,d6d2 b6f2 d2f2 h8h1 g1h1 g3f2,2615,89,94,456,advancedPawn advantage fork long middlegame sacrifice,https://lichess.org/asLbpMTy#45,
00sJ9,r3r1k1/p4ppp/2p2n2/1p6/3P1qb1/2NQR3/PPB2PP1/R1B3K1 w - - 5 18,e3g3 e8e1 g1h2 e1c1 a1c1 f4h6 h2g1 h6c1,2713,107,91,769,advantage attraction fork middlegame sacrifice veryLong,https://lichess.org/gyFeQsOE#35,French_Defense French_Defense_Exchange_Variation
01BBu,2r5/3R4/2P2p2/1P3P2/7k/6pp/1K6/8 w - - 2 48,d7h7 h4g4 c6c7 c8c7 h7c7 h3h2 b5b6 h2h1q,2514,77,97,208,advancedPawn crushing endgame promotion rookEndgame sacrifice veryLong,https://lichess.org/xI6LfrwV#95,
01Isj,1kq1r2r/p1p2pp1/1pPb4/3P3p/Q1B2nb1/4B3/P2N1PPP/1R2R1K1 b - - 1 20,h5h4 c4a6 c8f5 e3b6 e8e1 b1e1 c7b6 c6c7 d6c7 e1e8 h8e8 a4e8 f5c8 a6c8,2728,99,80,106,advancedPawn crushing middlegame queensideAttack sacrifice veryLong,https://lichess.org/YoMn61lq/black#40,
01PDg,1b5k/ppq2p1b/2p1pp1p/2n4Q/2N1PP2/PPN3rP/2P3BK/3R4 w - - 0 24,h5c5 c7f4 c3e2 g3g5 e2f4 b8f4 h2g1 g5c5,2684,108,86,110,advantage discoveredAttack discoveredCheck middlegame sacrifice veryLong,https://lichess.org/iybxpj1j#47,
01Pkf,r2q1rk1/3pb1pp/1p1Npn2/pB2B3/3P3P/PQ6/1P3Pb1/R3K1R1 b Q - 1 20,g2d5 b3g3 g7g6 b5d3 e7d6 d3g6,2540,88,83,45,crushing long middlegame sacrifice,https://lichess.org/4eK8QZdx/black#40,
01fEB,r4rk1/3b2pp/8/p3Qp2/1pqP4/8/PP4PP/1B2RRK1 w - - 4 22,b1f5 a8e8 e5f4 f8f5 e1e8 g8f7 e8e5 f5f4,2516,93,85,55,crushing middlegame sacrifice veryLong,https://lichess.org/TRg8rGz0#43,
01lAW,2r1k2r/1b2q1bp/p5p1/2p1PnB1/2QPN3/8/PP4PP/R4RK1 b k - 1 20,e7d7 e4d6 f5d6 e5d6 g7d4 c4d4 c5d4 a1e1 d7e6 e1e6,2740,100,90,1791,crushing exposedKing fork middlegame sacrifice veryLong,https://lichess.org/37LQpc1O/black#40,
01rCa,5r1k/b1q1R1p1/p4rnp/2P2N2/1P4Q1/7R/P4PPP/6K1 b - - 7 28,c7d8 f5h6 d8e7 h6f5 h8g8 f5e7,2506,79,94,134,advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/hBFbSPc4/black#56,
01uWs,2kr3r/bpp2pp1/2pqbn2/P6p/1p2P3/2PP3P/2N1BPP1/R1BQK2R w KQ - 1 14,c2b4 f6e4 d3e4 d6c5 e1g1 d8d1,2509,79,93,2174,crushing discoveredAttack long middlegame sacrifice,https://lichess.org/47BesqQE#27,Russian_Game Russian_Game_Stafford_Gambit
023Uk,4r1k1/7p/pR4p1/2p5/2qrppQ1/P6P/2P2PP1/1R4K1 b - - 1 33,e4e3 b6g6 g8h8 g4f5 h7g6 f5f6,2975,111,84,285,crushing endgame long sacrifice,https://lichess.org/UC1437KQ/black#66,
02I9S,1r3rk1/3b1pp1/p1p2b1p/P1P4q/1P1Np3/2Q1P1R1/1B3P1P/4K1R1 b - - 5 25,h5d5 g3g7 g8h8 d4f5 f6c3 b2c3 f7f6 g7g6 d5f5 g6h6 f5h7 h6f6 f8f6 c3f6,2511,89,80,118,crushing deflection kingsideAttack middlegame sacrifice veryLong,https://lichess.org/doU0zuOW/black#50,
02Qwi,r1b2rk1/2qn1ppp/8/2p1p1N1/1p6/1B6/1PP1QPPP/3R1RK1 b - - 0 18,c8a6 d1d7 c7d7 e2e4 g7g6 b3f7 f8f7 e4a8,2620,95,73,331,advantage deflection kingsideAttack middlegame sacrifice veryLong,https://lichess.org/FQeb6mVH/black#36,Philidor_Defense Philidor_Defense_Lion_Variation
02gol,4k3/1K3p2/4pPp1/1P2N2p/5P2/8/7P/2r5 b - - 10 46,c1b1 b5b6 b1h1 b7c6 h1h2 e5c4 h2c2 b6b7 c2c4 c6b5 e8d7 b7b8q,2753,102,86,128,advancedPawn crushing defensiveMove endgame promotion quietMove sacrifice veryLong,https://lichess.org/l0zZYkD9/black#92,
02u6i,8/1p6/2b5/p2pPk2/2P1pp2/8/P3KPr1/3Q4 w - - 0 44,c4d5 c6b5 e2d2 e4e3 d2c3 e3f2 d1b1 f5g5 b1b5 g2g1,2558,80,95,154,advancedPawn crushing defensiveMove endgame pin sacrifice veryLong,https://lichess.org/XeTTcsKn#87,
