PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
047t6,2bR4/6pk/1p5p/r2nBp2/8/p2B3P/5PP1/6K1 b - - 5 36,a5c5 d8c8 d5e7 c8c5,1698,76,92,3529,advantage endgame master masterVsMaster pin short superGM,https://lichess.org/QiFqZaNg/black#72,
09rtR,8/6k1/1p2B1P1/p3p3/P2p1r2/1K4R1/2P4p/8 w - - 0 45,g3h3 f4f3 h3f3 h2h1q f3f7 g7g6,1635,76,88,623,advancedPawn advantage deflection endgame long master promotion superGM,https://lichess.org/qg8UE0Dh#89,
0AvEe,r7/1p6/2p2p1k/p1RN1qr1/3Pn2p/1P2PQ2/P4PP1/3R1K2 w - - 1 35,f3f5 g5f5 d5f4 e4c5,1701,76,86,226,advantage master masterVsMaster middlegame short superGM,https://lichess.org/cJ3cFghd#69,
0EXyG,1k5r/ppb5/2p2n2/2PP1r2/4R1Pp/1P6/PB3P2/5RK1 w - - 0 32,g4f5 h8g8 g1h1 f6e4,1635,77,94,1150,advantage endgame master short superGM,https://lichess.org/UgiWOkC8#63,
0JtOl,8/p4p1k/2pN2pb/7p/1r1P1P1q/4PQ2/P1R2PK1/8 w - - 0 39,d6f7 b4b1 f3h3 b1g1 g2g1 h4h3,1675,75,87,234,advantage deflection endgame long master quietMove superGM,https://lichess.org/gUeSnhzD#77,
0RjH9,8/5p2/2b1k1pP/1p6/1Pp1PK1P/2N2n2/2P5/8 b - - 0 39,f3e5 h6h7 g6g5 f4g5,1799,81,92,4326,advancedPawn crushing endgame master masterVsMaster short superGM,https://lichess.org/KILIBH5o/black#78,
0gd0f,2rk1r2/pp2Rp2/2nq1P1p/NB1p3Q/8/8/PPP2PPP/1Kb5 b - - 6 25,c6a5 e7d7 d6d7 b5d7 d8d7 h5d5,1639,75,89,2435,advantage attraction capturingDefender fork long master masterVsMaster middlegame superGM,https://lichess.org/03KEDI05/black#50,
0jE4x,8/8/6pk/8/1P1b2b1/4R1N1/4B1K1/3r4 w - - 3 46,g3f5 g4f5 e2d1 d4e3,1755,75,89,381,crushing endgame hangingPiece master masterVsMaster short superGM,https://lichess.org/RhNf2UwD#91,
0uJgQ,3rr1k1/p2q1ppp/1p6/2p1p3/2RnN1b1/PP1n2P1/1B2PPBP/3QR1K1 w - - 0 20,d1d3 d4e2 d3e2 g4e2,1602,76,89,693,advantage kingsideAttack master masterVsMaster middlegame short superGM,https://lichess.org/iaArgTQ1#39,
0z1KY,8/4k3/PPB2n2/4b3/8/4P1pp/8/7K b - - 0 47,f6d7 c6d7 g3g2 h1g1 e7d7 a6a7 d7c6 a7a8q,1668,76,95,26889,advancedPawn crushing endgame master masterVsMaster promotion superGM veryLong,https://lichess.org/OTrPAJho/black#94,
136Bv,6k1/pp2rp1p/5R1P/8/PP6/2P5/1K6/8 b - - 0 47,e7e6 f6e6 f7e6 c3c4,1622,77,92,1390,crushing defensiveMove endgame master rookEndgame short superGM,https://lichess.org/q1tPksiP/black#94,
1AGVl,2b2r1k/r5p1/2p1p1Rp/p3qp1Q/8/3B2RP/P1P3PK/8 b - - 5 26,f8f7 g6h6 g7h6 h5h6 f7h7 h6f8,1690,75,89,249,kingsideAttack long master mate mateIn3 middlegame sacrifice superGM,https://lichess.org/yVQ5AN9e/black#52,
1EpIi,2Q5/4ppkp/1p1p1np1/q2Pn3/P3PBPP/5P2/1P1N4/6K1 b - - 0 30,a5a4 f4h6 g7h6 c8f8,1780,76,88,635,attraction endgame master masterVsMaster mate mateIn2 sacrifice short superGM,https://lichess.org/EqLwJw14/black#60,
1LpyG,8/7k/P4b1p/7P/8/n7/Kp6/6R1 b - - 2 47,b2b1q g1b1 a3b1 a6a7 b1c3 a2b3,1797,78,84,281,advancedPawn crushing endgame long master masterVsMaster superGM,https://lichess.org/6UnNDprd/black#94,
1X8BL,8/5pk1/8/3B2p1/3K1r1p/R7/P7/8 w - - 2 59,d5e4 f7f5 d4e5 f5e4,1740,76,96,14660,crushing endgame master masterVsMaster short superGM,https://lichess.org/QaZB9TaY#117,
1kz0U,1br2rk1/1pq2ppp/p1n5/3p1N2/4nB2/2P3PP/PP3P2/RN1Q1RK1 b - - 2 15,c7d7 d1g4 d7f5 g4f5,1617,74,96,311,advantage master opening short superGM,https://lichess.org/hiCpejVB/black#30,Sicilian_Defense Sicilian_Defense_Alapin_Variation
1xFwN,3k4/3b1p2/5Q2/4r3/1q6/7P/5PP1/3R2K1 b - - 1 37,b4e7 f6b6 d8e8 b6b8 e7d8 b8e5,1759,76,94,1597,crushing deflection endgame exposedKing long master superGM,https://lichess.org/fwCVC5Fs/black#74,
