PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00JaW,8/r7/Pk5p/3R2p1/4p1P1/4P3/3K4/8 b - - 0 48,a7a6 d5d6 b6a5 d6a6 a5a6 d2c3 a6b7 c3d4,1080,80,88,203,crushing endgame exposedKing rookEndgame veryLong,https://lichess.org/K2MPI0zt/black#96,
00byq,2r3k1/2r1bppp/3ppn2/qp6/3BP3/1Q4P1/PP3PBP/1RR3K1 w - - 5 21,d4e3 c7c1 b1c1 c8c1 e3c1 a5e1 g2f1 e1c1,1094,94,93,579,advantage fork middlegame pin veryLong,https://lichess.org/gofuvC2L#41,
00hpL,8/7p/4K2P/8/4k3/8/8/8 b - - 4 53,e4f4 e6f6 f4e4 f6g7 e4f5 g7h7 f5f6 h7g8,1226,75,92,705,crushing endgame pawnEndgame veryLong,https://lichess.org/90qwuU42/black#106,
015jf,2r1r1k1/1p3p1p/p3p1pQ/3b4/7R/1P1P1P2/2P3PP/q3NK1R b - - 4 24,c8c2 h6h7 g8f8 h7h8 a1h8 h4h8 f8g7 h8e8,1079,85,88,82,advantage kingsideAttack middlegame skewer veryLong,https://lichess.org/vskqyq7m/black#48,
01Dsr,7k/rB2n1pp/5q2/1Q6/p6P/6P1/6PK/8 b - - 1 38,a4a3 b5e8 e7g8 b7d5 f6f7 d5f7 a7f7 e8f7,1141,75,98,356,crushing endgame veryLong,https://lichess.org/v4603EHf/black#76,
01GwB,1r1b1r2/3P2pk/7p/4R3/P6P/4RpP1/5P2/6K1 b - - 3 44,b8b7 e5e8 f8g8 e8g8 h7g8 e3e8 g8f7 e8d8,1174,82,95,282,advantage attraction endgame fork veryLong,https://lichess.org/3iyCcPso/black#88,
01Kjm,8/KP2r1pk/5p2/7p/4b2P/3Q4/8/8 w - - 3 72,d3e4 e7e4 b7b8q e4a4 a7b7 a4b4 b7c8 b4b8,1157,75,88,392,crushing endgame master skewer veryLong,https://lichess.org/MfV6fbcL#143,
01eV6,8/8/8/p2k3p/P1p4P/2K2P2/8/8 b - - 0 39,d5c5 f3f4 c5d5 f4f5 d5e5 c3c4 e5f5 c4b5 f5e6 b5a5,1293,81,86,396,crushing endgame master pawnEndgame quietMove veryLong,https://lichess.org/6ZRWqWm8/black#78,
01gGh,8/7p/3p1p2/2pP4/P3k3/1P1p4/6P1/4K3 b - - 3 37,c5c4 b3c4 e4d4 a4a5 d4c4 a5a6 c4d5 a6a7,1251,76,97,1218,advancedPawn crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/BDZyAtZz/black#74,
01luH,2k5/p7/8/4P2p/5Q2/1PPqP1PK/7P/8 w - - 3 44,f4c4 d3c4 b3c4 a7a5 h3h4 a5a4 h4h5 a4a3,1166,77,99,1221,advantage endgame queenEndgame quietMove veryLong,https://lichess.org/or0dJAaA#87,
0248u,8/8/8/p2k1p2/2pP1P2/2K5/1P6/8 b - - 0 37,d5e4 c3c4 e4f4 d4d5 f4e5 c4c5 f5f4 d5d6 e5e6 c5c6,1187,78,86,134,crushing defensiveMove endgame pawnEndgame quietMove veryLong,https://lichess.org/oW1HIbhI/black#74,
028P6,3r2r1/2p2p1k/1pq3p1/p3R2p/2P5/1P2QP2/P5P1/4R1K1 b - - 6 36,f7f6 e5e7 g8g7 e7g7 h7g7 e3e7 g7h6 e7d8,1134,89,52,85,attraction crushing endgame fork veryLong,https://lichess.org/pT7RSeMJ/black#72,
02LuE,8/p2Q4/5kp1/2P4p/7P/1q4PK/8/8 w - - 2 60,c5c6 b3e6 d7e6 f6e6 c6c7 e6d7 c7c8q d7c8,1026,75,100,321,crushing endgame queenEndgame veryLong,https://lichess.org/PXla7Amc#119,
02PyG,4kn2/p3b3/1p2P3/1P1p1Qp1/P7/8/1B1N1PK1/3q4 b - - 2 33,d1d2 f5f7 e8d8 b2f6 f8g6 f6e7 g6e7 f7f8 d8c7 f8e7,1234,276,54,3,crushing deflection endgame exposedKing master veryLong,https://lichess.org/4dKDIYf9/black#66,
02TLp,8/8/5p2/1p5p/2k1Kp2/P5P1/7P/8 w - - 0 36,g3f4 c4b3 e4f5 b3a3 f5f6 b5b4 f6e7 b4b3 f4f5 b3b2 f5f6 b2b1q,1190,80,94,2059,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/DyHiMp0u#71,
02W3t,1r2r1k1/1p3ppp/p4q2/2p1P3/2Q5/2P2R1P/PP4P1/5RK1 b - - 0 23,f6e5 c4f7 g8h8 f7f8 e8f8 f3f8 b8f8 f1f8,1282,83,76,158,backRankMate endgame mate mateIn4 sacrifice veryLong,https://lichess.org/TofvbPmM/black#46,
02kJ2,3R4/p3Rp1k/3P4/3q4/1pp5/7P/PP3PP1/6K1 w - - 0 35,d6d7 d5d1 g1h2 d1d6 f2f4 d6e7 d8c8 e7d7,1248,78,92,952,advantage endgame fork queenRookEndgame veryLong,https://lichess.org/1h1dreSB#69,
