PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
06kKA,r3k2r/pR3pp1/4p2p/q2pn3/7N/2N3Q1/P1P2bPP/R5K1 w kq - 0 17,g3f2 a5c3 a1e1 e8g8 b7b3 c3c7,2225,80,83,202,advantage castling hangingPiece long middlegame,https://lichess.org/0kA4M3tj#33,French_Defense French_Defense_Queens_Knight
0FiVE,rn2k2r/1b3pp1/2p1p2p/1p2N3/1b1PNB2/P4QPq/5P1P/R3K2R w KQkq - 0 18,a3b4 a8a1 e1e2 a1a2 f4d2 e8g8,2371,88,72,164,advantage castling defensiveMove hangingPiece long middlegame,https://lichess.org/bOjVPanp#35,Scandinavian_Defense Scandinavian_Defense_Main_Line
0RU9s,r3k3/pp3p2/2ppb2R/6qN/2PpP3/3Q4/PP4rP/5R1K w q - 2 22,h6e6 f7e6 d3h3 e8c8,2364,77,79,141,advantage castling defensiveMove hangingPiece middlegame short,https://lichess.org/izcwE6n4#43,
0VNOf,rn2k1nr/pQ3ppp/2Nb4/5b2/4N2q/3K1p2/PPPP2PP/R1B2B1R w kq - 0 14,g2f3 g8f6 c6d4 f5e4 f3e4 e8g8,2489,108,89,325,advantage castling defensiveMove exposedKing long middlegame pin,https://lichess.org/STm9SnZo#27,Vienna_Game Vienna_Game_Vienna_Gambit
0houc,r3kbQ1/p4p1B/b1p1p3/3q2B1/8/8/P1P2PPP/5RK1 w q - 5 18,g5h6 e8c8 h7d3 a6d3 c2d3 f8h6,2389,81,80,1375,advantage castling long master middlegame,https://lichess.org/M050XEa4#35,Sicilian_Defense Sicilian_Defense_Four_Knights_Variation
0ittY,r2k2nr/pppb2pp/2n2q2/8/8/1BP1PN2/P1PQ1PPP/R3K2R b KQ - 0 14,c6e5 e1c1 f6e7 f3e5,2242,74,92,9110,castling crushing middlegame short,https://lichess.org/GUhKleSM/black#28,Englund_Gambit_Complex Englund_Gambit_Complex_Englund_Gambit
0jfTz,r3k1nr/1p3ppp/p3p3/2Ppn3/2p5/2P1B1QP/Pq3PP1/2R1KB1R b Kkq - 1 14,e5d3 f1d3 c4d3 e1g1,2389,85,91,878,advantage castling defensiveMove middlegame short,https://lichess.org/ruFWzJ1m/black#28,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
0kcIS,r2qk1nr/pp3pp1/2pbp2p/8/3PQB2/2P2N2/PP3PPP/R4RK1 w kq - 1 14,f1e1 g8f6 e4f5 e8g8 e1e6 d6f4,2415,84,82,134,castling crushing long middlegame,https://lichess.org/9qojNUgB#27,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
0m0ym,4k2r/p1q2ppp/4p3/2b5/6nr/P1N1P1P1/1P3P1P/R1BQ1RK1 w k - 1 19,d1f3 e8g8 h2h3 g4e5,2287,136,100,20,castling equality middlegame short,https://lichess.org/n775ChqO#37,
0rZz3,r3k2q/ppp1n3/8/2b5/6bp/1BN2PKp/PP2Q3/R4R2 w q - 0 23,g3g4 h8g7 g4h4 e8c8 b3e6 c8b8,2212,81,90,554,advantage castling long middlegame,https://lichess.org/CSZYq9j7#45,
0wVxk,r2qkb1r/pp1b1ppp/2p5/8/4n3/1P6/PBP2PPP/RN1QKB1R w KQkq - 0 9,d1e2 f8b4 c2c3 e8g8 c3b4 f8e8,2437,105,90,2133,advantage castling clearance defensiveMove long opening sacrifice,https://lichess.org/Udu8uPpH#17,Philidor_Defense Philidor_Defense_Other_variations
0yBu9,r3k2r/pp2nppp/3bq3/3N4/2Q5/4B3/PPP2PPP/R4RK1 w kq - 1 15,f1e1 e6d5 c4d5 e7d5 a1d1 e8c8 d1d5 d6h2 g1h2 d8d5,2451,75,92,2213,advantage castling middlegame veryLong,https://lichess.org/hJgEoQB2#29,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
13wDo,r3k1nr/pppqb2p/6p1/4Q3/8/8/PPP2PPP/RNB1K2R w KQkq - 0 12,e5h8 e8c8 e1g1 e7f6 h8f6 g8f6,2247,78,91,3067,advantage castling long middlegame trappedPiece,https://lichess.org/vlFXdcNp#23,Scotch_Game Scotch_Game_Other_variations
