PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
04Mtz,rn1qk2r/pbppnpb1/1p2p3/4P2p/2PP2pB/2N5/PP1N1PPP/R2QKB1R b KQkq - 1 11,f7f5 e5f6 g7f6 h4f6,1431,78,75,775,crushing enPassant fork opening short,https://lichess.org/8FDcdoZx/black#22,Modern_Defense Modern_Defense_Other_variations
06fMQ,r3qr2/ppp2pk1/3p1np1/3Pp2p/4P2P/P1Q2P1B/1PP2P2/2KR3R b - - 0 18,c7c5 d5c6 e8c6 c3c6 b7c6 d1d6,1460,81,91,3559,advantage capturingDefender enPassant long middlegame,https://lichess.org/asRmHT6S/black#36,Modern_Defense Modern_Defense_Standard_Line
06udd,R7/5pbk/4p2p/3pP1p1/4R3/3B2P1/1r3P1P/6K1 b - - 0 33,d5e4 d3e4 f7f5 e5f6,1503,76,93,2915,discoveredAttack discoveredCheck enPassant endgame mate mateIn2 short,https://lichess.org/jy1p6jJt/black#66,
0Nvjc,2r2rk1/4qpp1/2n1p2p/p2pP3/P2P4/2P1Q1R1/6PP/5RK1 b - - 2 25,c8c7 e3h6 f7f5 e5f6,1522,80,91,2620,crushing enPassant middlegame pin short,https://lichess.org/cG7gSmrG/black#50,
0P03z,8/5rkp/3KR1p1/6P1/4P3/8/8/8 b - - 6 51,f7b7 e6e7 b7e7 d6e7 h7h5 g5h6,1506,75,98,1945,crushing enPassant endgame long rookEndgame,https://lichess.org/5JljvwYj/black#102,
0UEi0,8/3p2k1/1p1Pp2p/p1p1P1p1/2P2r2/1P5P/P4RP1/5K2 w - - 3 34,f2f4 g5f4 g2g4 f4g3 f1g2 g7g6,1491,74,95,32344,crushing defensiveMove enPassant endgame long,https://lichess.org/bwuY6sUP#67,
0idAl,8/2p2k1p/p2p1Pp1/P1nP2P1/2P5/2K5/2B5/8 b - - 2 37,h7h5 g5h6 f7f6 h6h7 f6g7 c2g6,1545,82,99,1469,advancedPawn crushing enPassant endgame long,https://lichess.org/jAe7M079/black#74,
0jFaq,3r3R/p1r1kpp1/2pb4/6P1/3p1P2/1PnP4/PB4B1/K3R3 b - - 8 31,e7d7 g2h3 f7f5 g5f6,1424,78,96,36087,discoveredAttack discoveredCheck enPassant mate mateIn2 middlegame short,https://lichess.org/PTxvhx4O/black#62,
0o9cu,2r5/3kpp2/p2p2p1/3P2P1/1PR4P/3K4/P7/8 b - - 0 34,c8c4 d3c4 e7e5 d5e6,1332,77,85,853,crushing enPassant endgame short,https://lichess.org/XNskST6w/black#68,
0tn1g,1r5k/4q1p1/3p2rp/Q1p1p1b1/P3Pp1P/1P3P2/2P2BP1/3R1RK1 w - - 1 27,h4g5 e7g5 g2g4 f4g3,1507,77,90,8160,advantage enPassant middlegame short,https://lichess.org/SFNqsS80#53,
0yXmS,2b3k1/2r1b2p/pN4p1/6r1/4p3/1P2P1KP/3PQP2/R5NR w - - 2 28,g3h2 e7d6 f2f4 e4f3,1420,84,0,97,discoveredAttack discoveredCheck enPassant mate mateIn2 middlegame morphysMate short,https://lichess.org/99CSWJJr#55,
11KWB,8/p4pp1/1p3nbp/2p1k3/2P1p3/4P1NP/PPB1KPP1/8 w - - 7 32,f2f4 e4f3 g2f3 g6c2,1515,79,38,182,crushing discoveredAttack enPassant endgame short,https://lichess.org/FzdlnWPz#63,
12YGT,r2qkbnr/1p2p3/2p2p2/2Pp1bp1/p2P3p/PN2BN1P/RP1KPPP1/3Q1B1R w kq - 0 15,b3c1 d8a5 b2b4 a4b3,1425,77,88,1361,discoveredAttack discoveredCheck enPassant mate mateIn2 middlegame short,https://lichess.org/ggbXxMB9#29,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
14S7L,rn2k2r/p1ppqppp/bp2p3/4P3/3PQ3/2P2N2/P1P2PPP/R1B2RK1 b kq - 2 12,d7d5 e5d6 c7d6 e4a8,1542,77,83,446,advantage enPassant middlegame pin short trappedPiece,https://lichess.org/QLFdJ9t8/black#24,French_Defense French_Defense_Normal_Variation
17v9c,r7/P5p1/1k2p2p/4K2P/8/R7/8/8 b - - 20 67,a8a7 a3a7 b6a7 e5e6 a7b6 e6f7 g7g5 h5g6,1505,76,100,226,crushing enPassant endgame rookEndgame veryLong,https://lichess.org/kOoxPkNz/black#134,
18Szz,r1bq1b1r/3p1kpp/2p5/p3P3/1p3Q2/8/PPPP1PPP/R1B1K2R b KQ - 0 13,f7g8 f4c4 d7d5 e5d6 c8e6 c4e6,1427,77,95,21011,discoveredAttack discoveredCheck enPassant kingsideAttack long mate mateIn3 middlegame,https://lichess.org/a644B7Lz/black#26,Kings_Pawn_Game Kings_Pawn_Game_Napoleon_Attack
1EUxY,2r2rk1/p2q1ppp/4p3/3pQ1PP/3P4/2P5/P5P1/R4RK1 b - - 0 20,c8c3 h5h6 f7f5 g5f6,1536,80,91,1769,crushing enPassant endgame short,https://lichess.org/a5UjgXNw/black#40,
1NAh6,r4rk1/2q2pp1/2p1b2p/1p2N3/p2PpPP1/P3P3/nP2B1P1/1QKR3R w - - 1 21,c1d2 c7a5 b2b4 a4b3,1572,78,89,1020,discoveredAttack discoveredCheck enPassant mate mateIn2 middlegame short,https://lichess.org/mHTPByub#41,
1YdVp,2Q5/4q1kp/p4np1/8/4p3/1P2P1PP/P2R1PBK/4r3 w - - 3 32,g3g4 e7e5 f2f4 e4f3,1563,80,92,609,discoveredAttack discoveredCheck enPassant endgame mate mateIn2 short,https://lichess.org/mVeaCgRV#63,
1ZLws,5k2/1p5p/4K1p1/2P2pP1/1p3P2/1P6/8/8 b - - 0 49,h7h5 g5h6 f8g8 e6f6 g8h7 f6g5,1581,77,96,2569,crushing enPassant endgame long pawnEndgame zugzwang,https://lichess.org/GwNV9azI/black#98,
1ZtG5,8/8/8/2Kp2p1/2p1k1P1/8/1PP5/8 w - - 0 46,b2b4 c4b3 c2b3 d5d4,1596,75,97,2441,crushing defensiveMove enPassant endgame pawnEndgame short,https://lichess.org/EO4Vzkom#91,
1ptpW,7k/5Bp1/7p/2b4P/p2NP1b1/3K4/1P6/8 b - - 1 42,c5d4 d3d4 g7g5 h5g6,1416,81,93,14067,bishopEndgame crushing enPassant endgame master short,https://lichess.org/pDNPE0yG/black#84,
1r6BB,8/5pp1/7p/3K3P/4Pk2/8/8/8 b - - 0 48,g7g5 h5g6 f7g6 e4e5 g6g5 e5e6 g5g4 e6e7,1466,82,94,8547,advancedPawn crushing enPassant endgame pawnEndgame quietMove veryLong,https://lichess.org/sR6ngZsf/black#96,
1rSCY,2r1qrk1/1p1bpp1p/p2p1np1/3P4/PP1QP3/R1N4P/6P1/1N3R1K b - - 0 26,e7e5 d5e6 f7e6 f1f6 f8f6 d4f6,1567,77,84,1327,crushing enPassant long middlegame,https://lichess.org/pJBzQgCe/black#52,
1yKTj,8/p2P4/1pBr3p/1Pk1K3/8/7P/8/8 b - - 8 55,a7a5 b5a6 c5c6 a6a7 c6d7 a7a8q,1529,85,94,12331,advancedPawn crushing enPassant endgame long master promotion sacrifice,https://lichess.org/EWoXOs5y/black#110,
