PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001w5,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1039,80,85,215,advancedPawn attraction mate mateIn2 middlegame promotion short,https://lichess.org/0e1vxAEn/black#58,
004LZ,8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48,e1g2 c3c2 b1a2 c2c1q h7d7 d2e2,1187,77,93,2046,advancedPawn crushing defensiveMove deflection endgame long promotion,https://lichess.org/drahwNdj#95,
00Aae,1R6/1P6/4pkp1/5p2/3P3p/3KP3/8/1r6 b - - 0 43,h4h3 b8f8 f6e7 b7b8q b1b8 f8b8,1015,80,88,347,advancedPawn clearance crushing endgame long promotion rookEndgame,https://lichess.org/mLIjph1r/black#86,
00GuD,1n5k/4r1p1/p2q1rPp/1ppB4/8/3P4/PPP1RPQ1/2K4R b - - 4 25,e7e2 h1h6 g7h6 g6g7 h8h7 g7g8q,1165,76,88,560,advancedPawn kingsideAttack long mate mateIn3 middlegame promotion sacrifice,https://lichess.org/zcHeWRaO/black#50,
00L4x,1r4k1/4Ppbp/p5p1/2q5/p2n4/P2Q2B1/r2N1PPP/3KR2R b - - 0 27,g7h6 e7e8q b8e8 e1e8,1260,84,91,2736,advancedPawn crushing kingsideAttack middlegame promotion short,https://lichess.org/kQUg1Hn3/black#54,
017AB,8/5k2/7p/1R4p1/4P1K1/5P1P/1pr5/8 w - - 2 51,g4f5 c2c5 b5c5 b2b1q,1169,87,93,762,advancedPawn crushing deflection endgame promotion rookEndgame short,https://lichess.org/2zYITnbk#101,
018Iz,8/3P4/8/1kP2pbP/8/5K2/8/8 b - - 0 51,b5c5 h5h6 c5c6 h6h7 c6d7 h7h8q,1250,76,100,1882,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/51AxZaDj/black#102,
01GnH,1R6/P7/6p1/7p/8/7k/K7/2q5 b - - 1 43,c1c4 b8b3 h3g4 a7a8q,1148,77,95,519,advancedPawn advantage endgame promotion queenRookEndgame short,https://lichess.org/QXjY4nyw/black#86,
01Hzj,8/8/RP6/p1b5/r1k5/8/5PP1/5K2 b - - 0 40,c4b5 b6b7 b5a6 b7b8q a4a1 f1e2,1049,80,82,54,advancedPawn advantage endgame long master promotion,https://lichess.org/4nloPac3/black#80,
01Nbh,2r3k1/P4pp1/4p2p/3p4/4n3/2q3P1/2P1QP1P/1R5K b - - 2 24,c8a8 b1b8 a8b8 a7b8q,1020,90,93,570,advancedPawn crushing endgame promotion short,https://lichess.org/Pt8APZeL/black#48,
01WQW,8/8/8/8/1p6/pP1PN3/k1P2PP1/3K4 w - - 0 41,e3c4 a2b1 c2c3 a3a2 c3b4 a2a1q,1289,77,67,143,advancedPawn advantage endgame knightEndgame long promotion,https://lichess.org/mWRr0qPL#81,
01XCL,4r2k/4P1p1/1p1p1n1p/p3pQ2/P3B3/7P/1P3PPK/2r5 b - - 1 29,f6e4 f5f8 e8f8 e7f8q,1022,86,88,2246,advancedPawn advantage endgame promotion short,https://lichess.org/pKdN0bE1/black#58,
01do1,5rk1/n2P3p/1p2p1pQ/pP3p2/q3p1N1/8/5PPP/5RK1 b - - 0 34,f5g4 h6f8 g8f8 d7d8q,1135,88,91,1402,advancedPawn attraction crushing endgame promotion short,https://lichess.org/UowkfW4v/black#68,
01f3b,6k1/8/2P1p1rp/1p1p4/1P1N4/2P2Pn1/1P4P1/1K3n2 b - - 0 35,e6e5 c6c7 e5d4 c7c8q,1140,77,77,131,advancedPawn advantage endgame promotion short,https://lichess.org/VVE6zStV/black#70,
01oGn,N1b4r/pp2kppp/4p3/8/3P4/2q1P3/2pN1PPP/R1Q1KB1R w KQ - 6 19,c1a3 c3a3 a1a3 c2c1q,1189,83,95,4505,advancedPawn crushing middlegame promotion short,https://lichess.org/ZSeuF5Vy#37,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
01vel,q5k1/P2Q1pp1/1r3bb1/3p4/8/3pB2P/5PP1/R5K1 b - - 1 31,b6b7 d7b7 a8b7 a7a8q b7a8 a1a8,1139,79,100,76,advancedPawn advantage long middlegame promotion,https://lichess.org/cAYGX3C0/black#62,
02I5f,rr2k3/2p2PQ1/2n5/2n1p1p1/2Pp4/p2P4/P4PK1/8 b - - 0 39,e8d8 f7f8r,1211,88,93,661,advancedPawn endgame master mate mateIn1 oneMove promotion,https://lichess.org/MBiC54RP/black#78,
02N8e,5r2/1Q1P2bk/p6p/1p4p1/2p5/8/PP1q1PPP/5RK1 b - - 0 28,f8d8 b7e4 h7h8 e4e8 d8e8 d7e8q,1139,76,84,207,advancedPawn advantage endgame long promotion,https://lichess.org/rWl4y6cw/black#56,
02SpU,6k1/ppKP3R/8/1P5p/P4P2/2p5/7P/3r4 w - - 1 50,h7e7 c3c2 c7b7 c2c1q,1052,83,89,908,advancedPawn crushing endgame master promotion rookEndgame short,https://lichess.org/mr645TDS#99,
