PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
08kOh,6kr/4q2p/1p4pQ/p1pP4/P1P2RP1/1P2p1K1/6P1/8 w - - 0 39,g3f3 e3e2 d5d6 e2e1n f3g3 e7d6,2383,95,90,311,advancedPawn advantage endgame long promotion underPromotion,https://lichess.org/ovqB3BaM#77,
11fTg,8/1pr1pk2/p2P3R/P1p5/4KP2/8/8/8 b - - 0 49,c7d7 h6h7 f7f6 d6e7 d7d1 e7e8n,2291,78,92,3607,advancedPawn advantage endgame long promotion rookEndgame underPromotion,https://lichess.org/A3n4gMfK/black#98,
1Fl3j,7r/R1p3p1/1p1P1k2/3Pp3/1P2PrPq/2Q1Kp1P/8/7R w - - 3 33,c3c6 f3f2 d6c7 f6g5 c7c8q h4g3 e3d2 f2f1n,2317,114,89,1980,advancedPawn crushing defensiveMove endgame promotion underPromotion veryLong,https://lichess.org/kxtWpQb5#65,
1ss3K,8/5rbk/p2Q4/1p2N1pp/8/7P/PP3pb1/4RK2 w - - 0 45,f1g2 f2e1n g2g1 g7e5 d6e5 e1f3 g1f2 f3e5,2264,79,94,1086,advancedPawn attraction crushing discoveredAttack discoveredCheck endgame fork hangingPiece promotion underPromotion veryLong,https://lichess.org/TtY8NrwH#89,
1tjSb,2r5/1RP2k1p/4p1q1/3pQpp1/3P4/7P/6PK/8 b - - 2 39,g6f6 e5d6 f6e7 d6d8 c8d8 c7d8n f7f6 b7e7,2359,97,89,1303,advancedPawn crushing endgame pin promotion sacrifice underPromotion veryLong,https://lichess.org/2mWSigqc/black#78,
1xiGl,8/8/8/p6p/P1pk1pp1/8/N3KP1P/8 w - - 4 51,f2f3 g4g3 h2g3 f4g3 e2d2 g3g2 a2c3 g2g1n,2459,106,90,1527,advancedPawn crushing endgame knightEndgame promotion underPromotion veryLong,https://lichess.org/GiSkhLJi#101,
2WZvE,rn1qkbnr/1p1b1ppp/4P3/1B6/8/8/PPP2PPP/RNBQK2R b KQkq - 0 8,d7b5 e6f7 e8e7 f7g8n,2243,83,93,2740,advancedPawn advantage attackingF2F7 opening promotion short underPromotion,https://lichess.org/Ps53ewyB/black#16,Sicilian_Defense Sicilian_Defense_French_Variation
2wCv5,4r3/p1P5/8/5R2/1P5p/P4p2/6kP/3K4 w - - 1 38,f5g5 g2h2 d1d2 f3f2 c7c8q f2f1n d2d3 e8c8,2210,91,89,2639,advancedPawn crushing endgame exposedKing master promotion rookEndgame underPromotion veryLong,https://lichess.org/6TZDtAwK#75,
3EhUi,4n3/5kpp/8/4KPPP/4P3/8/8/8 b - - 0 59,g7g6 f5g6 h7g6 h5h6 f7e7 h6h7 e8d6 h7h8n,2290,97,85,660,advancedPawn crushing endgame knightEndgame promotion underPromotion veryLong,https://lichess.org/bjfL4JaJ/black#118,
3RXzT,7k/1p5p/1pp1P1p1/4q3/6Q1/1BPp2PP/PP5K/5r2 b - - 0 34,e5e1 g4d4 h8g8 e6e7 f1f7 d4d8 g8g7 e7e8n,2221,84,89,794,advancedPawn crushing discoveredAttack discoveredCheck endgame pin promotion underPromotion veryLong,https://lichess.org/TF1Uqbpl/black#68,
3Z1zU,8/3N4/8/5k2/4ppp1/6Pp/5K1P/8 w - - 0 49,d7c5 e4e3 f2e2 f4g3 e2e3 g3h2 c5e4 h2h1n,2331,84,84,223,advancedPawn crushing deflection endgame knightEndgame promotion underPromotion veryLong,https://lichess.org/j32YpdbP#97,
3pLi2,6k1/p5pp/1p1B4/2p1Q3/6P1/P6P/4pP2/2q3K1 w - - 1 34,g1g2 e2e1n g2g3 c1a3,2361,101,87,453,advancedPawn crushing endgame promotion short underPromotion,https://lichess.org/CJZIy90S#67,
49ztA,8/1k6/p1b5/5p2/P6p/1P3r1P/5PpK/2Q5 w - - 7 47,c1d2 f3h3 h2h3 g2g1n h3h4 g1f3 h4g3 f3d2,2207,86,90,1910,advancedPawn attraction crushing deflection endgame fork master masterVsMaster promotion sacrifice underPromotion veryLong,https://lichess.org/TpqIXrjA#93,
4elwC,3q4/5kP1/7N/4p3/2P5/2K2b2/2P2P2/6R1 b - - 1 37,f7f6 g7g8n f6e6 g1g6 e6d7 g6d6 d7d6 h6f7 d6d7 f7d8,2286,104,90,1563,advancedPawn attraction crushing endgame fork promotion sacrifice underPromotion veryLong,https://lichess.org/6wzeoZMS/black#74,
4kTFA,4q3/5Ppk/3Q3p/4p1p1/1p4P1/3PP3/1Pr5/3K1R2 b - - 2 39,e8a4 d6g6 h7g6 f7f8n,2391,77,91,9847,advancedPawn attraction endgame mate mateIn2 promotion sacrifice short underPromotion,https://lichess.org/6eX97uYD/black#78,
4w1YA,1q2r2k/r2b4/4p1R1/p1Qp1nNP/2pP1P2/2Kn4/1p6/1B2N2R w - - 8 40,b1d3 b2b1n d3b1 b8b3 c3d2 b3e3 d2d1 d7a4,2491,102,40,46,advancedPawn crushing fork middlegame promotion underPromotion veryLong,https://lichess.org/oq7uSxo6#79,
54nvX,6k1/q4pp1/2Q1P2p/5P2/1p1rP3/2p1b1BP/6PK/2R5 b - - 0 34,e3c1 c6e8 g8h7 e6f7 d4d8 f7f8n h7g8 e8d8,2323,80,91,4253,advancedPawn crushing deflection endgame promotion underPromotion veryLong,https://lichess.org/SDGZILok/black#68,
5EV7p,1r6/3R2bk/2Q3pp/p5q1/2b1B3/P7/1pP3PP/1K2R3 w - - 4 33,h2h4 g5c1 e1c1 c4a2 b1a2 b2c1n,2210,80,98,638,advancedPawn attraction long mate mateIn3 middlegame promotion queensideAttack sacrifice underPromotion,https://lichess.org/Gj2gpTqN#65,
5ZcX0,r7/3R1P2/4p1k1/3p2P1/6KP/8/p7/8 b - - 0 47,a2a1q f7f8n a8f8 h4h5,2220,82,93,152311,advancedPawn endgame mate mateIn2 promotion short underPromotion,https://lichess.org/YsFJLn4W/black#94,
5knta,r1r4R/2qb1kP1/3p1bpQ/3P1p2/1p2p3/3B1P2/P1P5/1KN3R1 b - - 1 28,c7c3 h6g6 f7e7 g7g8n c8g8 h8h7 g8g7 h7g7 f6g7 g6g7 c3g7 g1g7,2204,110,80,74,advancedPawn crushing deflection middlegame promotion underPromotion veryLong,https://lichess.org/uFWr0Fx9/black#56,
6hhbx,2k5/1p3K2/p5p1/4P1Pp/2P4n/P4P2/8/8 b - - 0 43,c8d7 e5e6 d7c7 f3f4 b7b6 e6e7 h4f5 e7e8n,2470,120,40,39,advancedPawn crushing endgame knightEndgame promotion quietMove underPromotion veryLong,https://lichess.org/9wqv8SPu/black#86,
7GokW,3Q2k1/4Pp2/6pp/p4p2/q2P1P2/8/5KPP/1r6 b - - 1 34,g8g7 d8f8 g7f6 e7e8n a4e8 f8e8,2311,84,93,4986,advancedPawn crushing endgame long promotion underPromotion,https://lichess.org/UrwxEebA/black#68,
7Ipkq,1B6/3k4/pp1P1P2/1n1K2p1/8/8/8/8 b - - 0 46,b5c3 d5e5 c3e2 f6f7 e2f4 f7f8n,2211,85,89,213,advancedPawn crushing defensiveMove endgame long promotion underPromotion,https://lichess.org/5D7bowQD/black#92,
7VH4T,8/p1p2k1p/2P2p2/Pp1P1Kp1/3P2P1/8/4nB2/8 b - - 3 41,e2f4 d5d6 c7d6 c6c7 f4d5 c7c8n,2275,79,97,1233,advancedPawn advantage endgame long promotion underPromotion,https://lichess.org/Ylq0lEQL/black#82,
7WKRH,2K5/P1P5/3k4/6p1/8/1r3P2/8/8 b - - 0 54,b3a3 c8d8 a3f3 c7c8n d6e5 a7a8q,2258,76,94,2746,advancedPawn crushing endgame exposedKing long promotion rookEndgame underPromotion,https://lichess.org/2KpHx2iZ/black#108,
86fZU,8/2P1k3/3r2p1/1B2KpP1/7P/4pr2/3p4/3R4 b - - 0 52,e3e2 c7c8n e7d8 b5e2 f3e3 e5d6,2463,93,89,240,advancedPawn advantage endgame fork long promotion underPromotion,https://lichess.org/N7xCh8TM/black#104,
8ZCcP,5Q2/1p5p/3pN1k1/pP1Pb3/P7/4qpP1/5p1K/2R5 w - - 5 41,c1c7 e5g3 h2g3 f2f1n g3h3 f3f2 h3g2 e3g3 g2f1 g3g1 f1e2 g1e1 e2d3 f2f1q f8f1 e1f1,2464,108,90,803,advancedPawn advantage attraction deflection discoveredAttack discoveredCheck endgame promotion sacrifice underPromotion veryLong,https://lichess.org/yB3InQjB#81,
8kSkI,5q2/7k/p3B1pp/2p5/2P1Q3/1P1p2P1/P1p4P/4K3 w - - 0 31,e4b7 h7h8 e1d2 f8f2 d2d3 c2c1n,2302,79,92,1519,advancedPawn crushing defensiveMove deflection endgame exposedKing long promotion underPromotion,https://lichess.org/RuNU2Mmj#61,
8mcDE,8/2Q5/p5pk/1pP2p1p/1P3P2/P3K2P/2qp2P1/8 w - - 0 47,c7b8 d2d1n e3d4 c2e4,2222,84,77,466,advancedPawn endgame mate mateIn2 promotion short underPromotion,https://lichess.org/aUznMWPn#93,
902Xu,6r1/2p1kpP1/5p2/4pP1p/r2pP2P/1NbP4/2P3R1/1K4R1 b - - 8 32,g8b8 g7g8n e7d6 b1c1,2431,106,90,5969,advancedPawn advantage defensiveMove endgame promotion short underPromotion,https://lichess.org/U44WTjbI/black#64,
9P5mV,3r4/pk4p1/1p6/8/8/2p2P1P/P2pK1P1/3Q4 w - - 0 38,d1c2 d8e8 e2f2 e8e1 c2c3 d2d1n f2e1 d1c3,2242,90,90,3212,advancedPawn crushing endgame fork promotion queenRookEndgame quietMove underPromotion veryLong,https://lichess.org/AZ2OgaMV#75,
9P94b,8/3q1kpp/P1pP4/2Pn1p2/8/1Q6/3R1KPP/4r3 b - - 2 37,d7e6 d6d7 e1e3 d7d8n f7g6 d8e6,2334,101,84,989,advancedPawn advantage endgame fork long promotion underPromotion,https://lichess.org/fWOX4Lnq/black#74,
9Pxbd,6r1/Pk6/1P6/8/6p1/3pp2P/R7/5K2 w - - 0 63,h3g4 g8f8 f1e1 d3d2 e1e2 f8f2 e2e3 d2d1n,2343,110,91,5140,advancedPawn crushing deflection endgame exposedKing promotion rookEndgame underPromotion veryLong,https://lichess.org/8OGcNibt#125,
9SEbG,5rk1/p2Q2pp/1qp5/3p4/1NP5/P3R1P1/1P3p2/4R1K1 w - - 0 29,g1g2 f2e1n e3e1 b6f2 g2h3 f2e1,2383,98,88,347,advancedPawn attraction crushing endgame fork long promotion underPromotion,https://lichess.org/cVuwh8vz#57,
9SuQ9,4r3/pb1P2kp/1p4p1/4bq2/7P/BQ4P1/P2R1P1K/3Rr3 b - - 0 27,e1d1 d7e8n g7h8 b3d1,2210,80,83,172,advancedPawn crushing hangingPiece intermezzo middlegame promotion short underPromotion,https://lichess.org/Elu6rdaX/black#54,
9iNsF,5rk1/4p2p/r2p2p1/1q1P4/6P1/Pp3P2/1P1Q4/1KR4R w - - 2 25,d2h6 b5d3 b1a1 a6a3 b2a3 b3b2 a1a2 b2c1n,2256,104,91,5751,advancedPawn crushing endgame promotion queensideAttack sacrifice underPromotion veryLong,https://lichess.org/NY7nLqJC#49,
9nTzl,4rk1N/pbpP2pB/1pn5/5q2/8/8/PP1Q1PPP/6K1 b - - 0 21,f5h7 d2f4 f8e7 f4f7 e7d6 d7e8n d6c5 h8g6,2211,202,0,27,advancedPawn crushing defensiveMove endgame promotion underPromotion veryLong,https://lichess.org/NLCIaMRY/black#42,
