PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001w5,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1039,80,85,215,advancedPawn attraction mate mateIn2 middlegame promotion short,https://lichess.org/0e1vxAEn/black#58,
00DBg,rn2kbnr/pp6/2p2p2/4P3/4P1pq/2N3N1/PPPB2B1/R2Q1RK1 w kq - 1 17,g1f2 f8c5 d2e3 c5e3 f2e3 h4g3,1086,78,88,468,advantage attraction exposedKing long middlegame,https://lichess.org/hXAo4Q2j#33,Pirc_Defense Pirc_Defense_Other_variations
00d9q,1r1q1r2/Q2k3p/2pp1npb/2p2P2/8/2N5/PP3PPP/4RRK1 b - - 0 19,d8c7 e1e7 d7e7 a7c7,1111,82,94,928,attraction crushing deflection master middlegame short,https://lichess.org/kbUk4cWh/black#38,
00rzv,2k3rr/1pp1n3/p2qp1Bp/3p3Q/8/2N1P2P/PPPP2Rb/R1B2K2 w - - 0 24,g6f7 g8g2 f1g2 d6g3,1038,76,87,634,advantage attraction middlegame short,https://lichess.org/3uLKPpMH#47,
00vjg,2r3k1/5ppp/p3nb2/2Bq4/1Q6/P6P/2R2PP1/2R3K1 w - - 3 30,c5e3 c8c2 c1c2 d5d1 g1h2 d1c2,1060,83,91,276,advantage attraction fork long middlegame,https://lichess.org/QOaRlqny#59,
01A3W,4r3/pp5p/5k2/2p1r3/3p4/PP1P4/3KR2P/5R2 b - - 1 31,f6e6 e2e5 e6e5 f1e1 e5d6 e1e8,1010,83,89,732,attraction crushing endgame exposedKing long rookEndgame skewer,https://lichess.org/vvUxsteN/black#62,
01GwB,1r1b1r2/3P2pk/7p/4R3/P6P/4RpP1/5P2/6K1 b - - 3 44,b8b7 e5e8 f8g8 e8g8 h7g8 e3e8 g8f7 e8d8,1174,82,95,282,advantage attraction endgame fork veryLong,https://lichess.org/3iyCcPso/black#88,
01Xzx,3r2k1/1Rp1qpp1/7p/8/5Q2/1PP5/5PPP/3r1RK1 w - - 5 26,b7c7 d1f1 g1f1 d8d1,1194,75,100,319,attraction endgame mate mateIn2 short,https://lichess.org/lgUG6A1I#51,
01do1,5rk1/n2P3p/1p2p1pQ/pP3p2/q3p1N1/8/5PPP/5RK1 b - - 0 34,f5g4 h6f8 g8f8 d7d8q,1135,88,91,1402,advancedPawn attraction crushing endgame promotion short,https://lichess.org/UowkfW4v/black#68,
01m5k,4r1k1/pp2rp1p/5Rp1/1q6/8/1P4Q1/P4PPP/5RK1 w - - 1 22,a2a4 b5f1 g1f1 e7e1,1297,83,93,2654,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/JiGbkYf4#43,
01tZ5,1r2n1r1/2q2ppk/2pb1B2/1p2pN1p/4P3/4Q1RP/PP3PP1/R5K1 b - - 1 25,e8f6 g3g7 g8g7 e3h6 h7g8 h6g7,1173,80,100,109,attraction fork long mate mateIn3 middlegame sacrifice,https://lichess.org/PtrA8zgf/black#50,
028P6,3r2r1/2p2p1k/1pq3p1/p3R2p/2P5/1P2QP2/P5P1/4R1K1 b - - 6 36,f7f6 e5e7 g8g7 e7g7 h7g7 e3e7 g7h6 e7d8,1134,89,52,85,attraction crushing endgame fork veryLong,https://lichess.org/pT7RSeMJ/black#72,
02DgT,3r3r/4kp2/4p1p1/4P3/2Q2P2/4q3/P5PP/2R2RK1 w - - 1 27,g1h1 h8h2 h1h2 d8h8,1278,76,92,1303,attraction endgame master mate mateIn2 sacrifice short,https://lichess.org/bPcZ1oZB#53,
02GOf,8/8/5kp1/1p3p2/p1p2P1p/P1P1KP1P/1P6/8 b - - 4 46,g6g5 f4g5 f6g5 f3f4 g5g6 e3d4,1210,80,94,2096,attraction crushing endgame long pawnEndgame,https://lichess.org/JycqgNS9/black#92,
02TAY,4r1k1/5pp1/pp5p/2nRB3/8/2P2P2/PP4PP/6K1 w - - 0 30,g1f2 e8e5 d5e5 c5d3 f2e3 d3e5,1197,101,38,70,advantage attraction endgame fork long sacrifice,https://lichess.org/JBtmCnXN#59,
02X70,5rk1/5ppp/rn6/2Q3P1/1p5P/qP6/P3R3/1K1R4 b - - 2 27,a3a5 c5f8 g8f8 d1d8,1052,86,94,1047,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/ZSZSv3ld/black#54,
02ffy,5rk1/1p3rpp/p5p1/2pBq3/2Pb4/1Q4P1/PP3PP1/R4RK1 w - - 10 26,a1e1 d4f2 f1f2 e5e1 g1h2 e1f2,1057,76,88,487,attraction crushing deflection fork long middlegame,https://lichess.org/cCLPbTtZ#51,
02nF0,5rk1/pR3ppp/5q2/2p1p3/2P5/2QPPBPb/P4P1P/6K1 w - - 1 23,f3g2 h3g2 g1g2 f6c6 e3e4 c6b7,1291,75,62,190,attraction crushing endgame fork long,https://lichess.org/iw8nkh13#45,
02zve,8/8/8/P1k3p1/1N1p4/3K1p1P/8/8 w - - 2 53,b4c2 f3f2 d3e2 d4d3 e2d3 f2f1q,1018,79,100,180,advancedPawn attraction crushing deflection endgame exposedKing knightEndgame long promotion,https://lichess.org/kemqjEy4#105,
03A3b,3Q4/1R2bk2/4qnp1/pp6/2p2P2/P7/6PP/5RK1 w - - 1 32,d8b6 e6b6 b7b6 e7c5 g1h1 c5b6,1289,75,79,301,attraction crushing endgame fork long,https://lichess.org/OqGYUvQi#63,
03DTp,8/2B2pk1/5q1p/1p1r2p1/pQ6/P6P/5PP1/6K1 b - - 1 39,f6d4 b4d4 d5d4 c7e5 g7g6 e5d4,1267,75,99,2705,advantage attraction endgame fork long,https://lichess.org/VNoLoyDr/black#78,
