PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
021Bk,r2q1rk1/1pp1bpp1/4p2p/p2nNb2/P2P4/1BP4P/1P2QPP1/R1B1R1K1 b - - 1 15,c7c5 g2g4 f5h7 e5f7 f8f7 e2e6,2199,83,84,84,advantage capturingDefender discoveredAttack long middlegame,https://lichess.org/tUnyiZV8/black#30,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
02lp0,4r3/5kp1/b2b1n2/2pP3p/p1P4Q/P7/1P3PPP/R4K2 w - - 2 23,a1e1 g7g5 e1e8 g5h4 e8a8 a6c4,1944,77,86,105,advantage capturingDefender endgame long,https://lichess.org/VTO3ZiUj#45,
02psv,4r2r/Qpk3p1/p1bp4/3p1BP1/1P3P1q/PNP4P/8/R4RK1 w - - 3 27,f1f3 d5d4 a7d4 c6f3 d4f2 h4f4,1982,222,88,10,advantage capturingDefender discoveredAttack long middlegame,https://lichess.org/ietiCa8u#53,
03SUf,r2q3r/pp2kpp1/2n1pb2/3p4/3n2Q1/2NB4/PPPB1PPP/3RR1K1 b - - 6 19,f6e5 e1e5 c6e5 g4d4,2035,75,94,7991,capturingDefender crushing deflection middlegame short,https://lichess.org/V6XSIpyo/black#38,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
043Zg,rnb1k2r/pp2n1Rp/2p2p2/2p1p3/2B1P2Q/2NP1q2/PPP2P1P/R3K3 b Qkq - 0 12,e7g6 g7g6 h7g6 h4h8,1952,79,92,2404,advantage capturingDefender middlegame short,https://lichess.org/mlKTTko6/black#24,Bishops_Opening Bishops_Opening_Boi_Variation
04JEF,3r1bk1/ppp1p1p1/8/2qn2BQ/5P2/2N5/PPP3PP/3R3K w - - 5 22,g5h4 d5c3 h5c5 d8d1 c5g1 d1g1,2027,79,89,159,advantage capturingDefender discoveredAttack kingsideAttack long middlegame,https://lichess.org/oOSVA9bM#43,
04wM4,r4rk1/1p3ppp/p1nq1b2/3p3b/1P3B2/P2P1NPP/B5P1/2RQ1RK1 b - - 4 20,f6e5 c1c6 d6c6 f4e5,2143,76,83,136,advantage capturingDefender deflection middlegame short,https://lichess.org/YgHM6pOH/black#40,
057vk,4r2k/6p1/2q2b1p/p2R1Q2/2p1NP2/P7/1r4PP/5RK1 b - - 3 34,e8d8 e4f6 c6b6 g1h1 b6f6 f5f6 g7f6 d5d8,2077,78,87,102,capturingDefender crushing middlegame veryLong,https://lichess.org/XQj3E2C3/black#68,
05KMF,8/3n4/1pB1pn2/1Pppk3/N1PP4/2K1P3/8/8 b - - 0 35,c5d4 e3d4 e5d6 c6d7 d6d7 a4b6 d7c7 c4c5,2180,96,90,2889,attraction capturingDefender crushing defensiveMove endgame veryLong,https://lichess.org/j4vpDo34/black#70,
06eSF,1k3rnr/ppp1p1q1/7b/1P1p1Q2/P2P1PPp/2P4B/4P2K/RN3R2 w - - 1 22,f5e5 h6f4 f1f4 g7e5 d4e5 f8f4,1992,77,93,6430,attraction capturingDefender crushing fork long middlegame pin,https://lichess.org/IxgpRB76#43,
06fd1,1k1r3r/p4p1p/4p3/4bb2/2n4P/2N3R1/PPPB1PB1/2KR4 w - - 6 24,f2f4 d8d2 d1d2 e5f4,2021,77,93,14348,capturingDefender crushing middlegame pin short,https://lichess.org/zsFwXicT#47,
06mWO,r3k2r/pppq1ppp/3p2n1/3Pn3/1PP1PN1b/3B2Q1/P2BN3/2R2RK1 w kq - 5 24,g3h3 d7h3 f4h3 e5d3,1951,76,86,113,advantage capturingDefender middlegame short,https://lichess.org/IRutdnRU#47,
06xoU,r5k1/1R3p1p/6p1/4B3/3pP1P1/P1rbb2P/8/4RB1K w - - 0 42,e1e3 d4e3 e5c3 d3e4,2112,102,68,34,advantage capturingDefender middlegame short,https://lichess.org/cKnFyYMH#83,
07k0u,r5k1/r2bppbp/B4np1/2p1B3/2P5/1PN3P1/1P2PP1P/R2R2K1 b - - 2 18,a7a6 a1a6 a8a6 e5f6 g7f6 d1d7,1975,75,94,14330,advantage capturingDefender long master middlegame,https://lichess.org/WgBaS2r0/black#36,Kings_Indian_Defense Kings_Indian_Defense_Fianchetto_Variation
086bC,2r2rk1/3q1ppp/3p1b2/3P4/3B2n1/5R2/PPNQ2PP/R5K1 w - - 3 20,h2h3 c8c2 d2c2 f6d4,1947,75,85,381,advantage capturingDefender deflection master middlegame short,https://lichess.org/zhx71MAG#39,
09prB,2kr2r1/2q2pQp/3bp3/p2pN3/Pp1P1B2/8/1PP2PPP/5RK1 w - - 1 20,g7f7 c7f7 e5f7 d6f4,2012,101,68,22,advantage capturingDefender middlegame short,https://lichess.org/1nSwQ2N7#39,
09sDb,3r1rk1/5ppp/p1p5/5q2/1P1bn3/P1P4P/4NPP1/R2QR1K1 w - - 0 21,e2d4 f5f2 g1h1 e4c3 d1f3 f2d4,2186,82,89,1570,advantage capturingDefender long middlegame,https://lichess.org/ERbXKRCN#41,
0AR4F,1r5k/p1p4p/1r1p2p1/4bp2/8/2P1P3/PP4BP/K2R1NR1 w - - 2 27,f1d2 b6b2 d2c4 e5c3 c4b2 b8b2,2095,77,82,83,advantage capturingDefender long middlegame,https://lichess.org/k8ADkzRe#53,
0B0FE,3r2k1/6p1/1p2pq1p/p2b1p1Q/1n1N1P2/2r1P1N1/6PP/RB3RK1 w - - 3 26,f1e1 c3e3 e1e3 f6d4 g3f5 e6f5,2070,80,92,1249,advantage capturingDefender fork long middlegame pin,https://lichess.org/xyLqmkEL#51,
0BsuS,r3k1r1/1p1n3p/p1pq1p2/P2p3b/N2P2n1/1Q2PNP1/1P2BP2/R4RK1 w q - 1 18,b3d3 g4f2 f1f2 d6g3 g1f1 h5f3,1927,77,89,1013,capturingDefender crushing kingsideAttack long middlegame,https://lichess.org/hN9g8igd#35,Queens_Gambit_Declined Queens_Gambit_Declined_Janowski_Variation
0CFOP,4r1k1/pp3ppp/5n2/3pP3/4r3/P1PQP1Pq/4NR1P/5RK1 b - - 0 20,f6g4 d3d5 g4f2 f1f2 h3e6 d5e4,2034,83,91,745,advantage capturingDefender long middlegame,https://lichess.org/mfiveDF9/black#40,
0F3zR,3rr1k1/5pb1/p2q2pp/nppN4/1P5Q/4PBP1/P4PK1/3R3R b - - 0 30,a5c4 d5e7 d6e7 h4e7 e8e7 d1d8,1926,75,95,526,advantage capturingDefender kingsideAttack long master middlegame,https://lichess.org/BwAIAqMg/black#60,
0FQBp,2kr2r1/pb6/1p1p4/3N1pqp/2P5/P4Q2/5PPP/R3R1K1 w - - 0 23,e1e7 b7d5 f3d5 g5e7 d5a8 c8d7 a8a7 d7e8,1923,76,95,9732,capturingDefender crushing defensiveMove middlegame veryLong,https://lichess.org/BbYspvmp#45,
0G065,4b1k1/7p/1b1p2p1/p1qP1p2/2P2B2/3B3P/1Q3PP1/6K1 b - - 2 30,c5b4 b2b4 a5b4 f4d6,2021,75,89,94,capturingDefender crushing endgame master short,https://lichess.org/YM6Obdkf/black#60,
0G6lh,8/pp1rkpb1/2b4p/4p1p1/4Pn2/P1NB4/1PP3PP/3R1R1K w - - 2 23,c3e2 d7d3 c2d3 f4e2,2019,75,84,276,advantage capturingDefender middlegame short,https://lichess.org/LETbI0fh#45,
0GCVv,2r3k1/2r2p1p/1q2p1p1/ppNbP3/1P1P3Q/P7/5RPP/5RK1 b - - 1 28,a5b4 f2f7 c7f7 f1f7 g8f7 h4h7,2019,80,84,54,attraction capturingDefender crushing kingsideAttack long middlegame sacrifice,https://lichess.org/mlrQ4alQ/black#56,
0Gk7z,6r1/2pk4/4pn2/3Pp1p1/6Pp/2qnQN1P/5PKN/5R2 b - - 0 28,f6d5 e3d3 c3d3 f3e5 d7d6 e5d3,1949,74,95,1508,advantage attraction capturingDefender deflection fork long middlegame sacrifice,https://lichess.org/ozRxuvSo/black#56,
0GqFM,3rr1k1/p4ppp/4bqn1/8/2N5/1P1p1BP1/P2RPP1P/2R1Q1K1 w - - 4 24,d2d3 d8d3 e2d3 f6f3,1965,76,85,225,advantage capturingDefender middlegame short,https://lichess.org/VUFIBbxx#47,
0Hogn,2kr1b1r/pppbqppp/5n2/3Np1B1/8/1Q3N2/PPP2PPP/R4RK1 b - - 7 13,e7e6 d5f6 g7f6 b3e6 d7e6 g5f6,2018,77,93,518,advantage capturingDefender discoveredAttack long middlegame,https://lichess.org/5YxYJYal/black#26,Scotch_Game Scotch_Game_Scotch_Gambit
0I2wk,1n3rk1/1b3p2/p3pPpb/2P1q1N1/1p1rN1B1/4Q3/PP4PP/4RR1K w - - 5 24,g5f3 h6e3 f3e5 d4e4 g4f3 e4e5,2036,77,92,7199,capturingDefender crushing long master masterVsMaster middlegame,https://lichess.org/VKhVOiIw#47,
0I3Jn,kr5r/p1b5/2p1p1p1/2qnPpNp/P2P1PnP/2B2QP1/6B1/1R2R1K1 b - - 0 29,c5c3 f3c3 d5c3 g2c6,1932,76,89,929,capturingDefender crushing discoveredAttack master middlegame short skewer,https://lichess.org/Z8eGyI64/black#58,
0Jh9y,r2q1rk1/5p1p/b3p1p1/pp1pP3/3P4/P1P2R1Q/1PBb2PP/5RK1 b - - 1 20,b5b4 f3f7 f8f7 f1f7 g8f7 h3h7,2185,79,91,621,attraction capturingDefender crushing kingsideAttack long middlegame sacrifice,https://lichess.org/hJAfkAW8/black#40,
0KjJp,8/3R4/2n2kp1/1p3p1p/2bP4/8/7P/rB3RK1 w - - 3 33,d7d6 f6e7 d6c6 c4f1 g1f1 a1b1,2096,84,91,2349,attraction capturingDefender crushing defensiveMove endgame long master,https://lichess.org/vLWcYacR#65,
0Kn9J,1r1qr1k1/ppp2pb1/2n1b1pp/2Np4/QPP5/3P2P1/P2NPPBP/1RR3K1 b - - 1 16,d5c4 c5b7 b8b7 g2c6,2122,84,91,2869,advantage capturingDefender middlegame short,https://lichess.org/ZlkMf135/black#32,English_Opening English_Opening_Great_Snake_Variation
0Kpqu,6r1/5pk1/p1r1p1Pp/1p1bP3/2q5/P5Q1/1P3PP1/1B1RR1K1 w - - 3 38,d1c1 c4c1 e1c1 c6c1 g1h2 c1b1 g3f4 f7g6,1909,75,94,1848,advantage capturingDefender fork middlegame veryLong,https://lichess.org/BJNF87RS#75,
0LYb1,6k1/1p6/p7/5pp1/2nK1P1p/2P3PP/PP6/3N4 w - - 0 31,d4c4 h4g3 d1e3 g5f4 c4d3 f4f3 e3f5 g3g2 d3e3 g2g1q,2145,82,91,1314,advancedPawn capturingDefender crushing endgame knightEndgame promotion veryLong,https://lichess.org/h4fCWxjA#61,
0LsBD,2r3k1/3Qbp2/p6p/1p2B1p1/8/4P3/1P3PPP/2q1R1K1 w - - 4 26,e5c3 c8c3 g1f1 c1b2,1921,82,91,1213,capturingDefender crushing endgame short,https://lichess.org/5kWGwElq#51,
0M70f,1k1r3r/pp2bppp/2npqn2/3Np1B1/2Q1P3/1R3N2/PP3PPP/2K4R b - - 8 15,f6d5 e4d5 c6a5 d5e6 a5c4 g5e7,2138,77,91,636,advantage capturingDefender fork long middlegame,https://lichess.org/jjNYadb9/black#30,Benoni_Defense Benoni_Defense_Old_Benoni
0MbEu,r1r3k1/p2q2b1/3Pp1pp/pP2Pp2/2B4P/P4b2/1B1Q1PnR/2R2K2 w - - 2 25,h2g2 c8c4 c1c4 d7b5,2035,80,92,4002,advantage capturingDefender master middlegame pin short,https://lichess.org/fTMZUPSf#49,
0NYfj,2k2r2/ppp1pp2/4rn1R/4N1p1/2P3P1/3P4/P1P2PP1/2KR4 w - - 1 19,d1e1 e6e5 e1e5 f6g4 h6e6 f7e6,1965,76,89,1051,advantage capturingDefender endgame fork long,https://lichess.org/tWePepLL#37,
0NxKQ,1k1rr3/7p/R5p1/1ppp1p2/2q1b3/2P2NP1/5QPP/2R3K1 b - - 0 27,b8b7 f3d2 b7a6 d2c4 d5c4 f2c5,2193,90,91,1463,advantage capturingDefender long master middlegame,https://lichess.org/p0PuFQMv/black#54,
0OiJ9,r2q1rk1/1p1bppbp/p2p1np1/2p2PN1/P1B1P2Q/2N5/1PnP2PP/R1B2RK1 b - - 1 12,h7h6 g5f7 f8f7 f5g6 e7e6 g6f7,2089,74,95,595,advancedPawn advantage attraction capturingDefender kingsideAttack long middlegame pin,https://lichess.org/EqHdkADK/black#24,Sicilian_Defense Sicilian_Defense_Closed
0Oyb8,r3k2r/6R1/4q2p/1p2p3/3pPn1Q/8/PPP3PP/5R1K b kq - 1 23,a8a2 g2g3 f4g6 h4h5 a2a6 g7g6 e6g6 h5e5,2120,102,88,41,advantage capturingDefender deflection middlegame veryLong,https://lichess.org/sqtYk9s0/black#46,
0PJ1d,r4rk1/4bppp/p3pn2/1pp5/3q1B2/P1NP1Q2/1PP3PP/4RR1K b - - 2 17,e7d6 c3e2 d4d5 f3d5 f6d5 f4d6,2005,91,81,46,advantage capturingDefender long middlegame,https://lichess.org/tqF2l9CA/black#34,Sicilian_Defense Sicilian_Defense_Closed
0POfc,5r2/3k2p1/ppp5/3PRrPp/1P2K2P/8/1P6/8 w - - 0 41,e5f5 f8f5 e4f5 c6d5 f5g6 d5d4 g6g7 d4d3 g7h7 d3d2,1979,76,95,6072,advancedPawn capturingDefender crushing endgame master quietMove rookEndgame veryLong,https://lichess.org/1TYkC6mW#81,
0Qa1o,4r1k1/pp4pp/5p2/3p1b2/3Nq3/P1r4P/1P1QBPP1/4K2R w K - 0 22,b2c3 e4g2 h1f1 f5h3 e1d1 e8e2 d1e2 g2f1,2163,89,84,29,advantage attraction capturingDefender middlegame veryLong,https://lichess.org/rDzCI2gr#43,
0QtBg,1rr5/4kppQ/1q1p1b2/1p2pP2/pP2N3/P3n2R/B1P3PP/5R1K b - - 1 30,e3f1 e4f6 b6d4 h7g7 f1g3 h2g3,2009,86,88,39,advantage capturingDefender long middlegame,https://lichess.org/zA0X0FMz/black#60,
0RRfS,2kr3r/pbp1nppp/1p1p2q1/2b1P3/2B2Q2/2N3B1/PPPR1P1P/2KR4 b - - 1 15,d6e5 f4e5 c5d6 d2d6 c7d6 e5e7,2155,76,96,926,advantage capturingDefender long middlegame,https://lichess.org/IOlfzbdE/black#30,Scotch_Game Scotch_Game_Lolli_Variation
0VkoT,r3r1k1/p5pp/1q1b1p2/3ppQ2/3p3B/1N5R/Pn3PPP/R5K1 b - - 1 22,d4d3 h4f6 g7g6 h3g3 e8e7 f6e7 d6e7 f5e5,2179,171,100,12,advantage capturingDefender middlegame pin veryLong,https://lichess.org/vmr6kgwv/black#44,
0Vqj0,8/6pk/p5rp/1q6/2n3N1/3Q1PPK/5R1P/8 b - - 11 50,c4e5 d3b5 a6b5 g4e5,2042,86,69,44,advantage capturingDefender endgame short,https://lichess.org/qiFeke0l/black#100,
0W9vO,2r3k1/1p5p/6p1/pQ1p1p2/P2Pp1n1/NPq1P1P1/7P/3R1BK1 w - - 3 33,b5d5 g8g7 a3c4 c8c4 d5c4 c3e3,2055,79,88,175,capturingDefender crushing defensiveMove long middlegame,https://lichess.org/vBna0rr5#65,
0WodW,r1b1k1nr/pp1p1ppp/4p1q1/2b1P3/1n1N4/2N5/PPP2PPP/R1BQKB1R w KQkq - 5 9,f1d3 b4d3 d1d3 g6d3 c2d3 c5d4,1957,75,84,153,capturingDefender crushing long opening,https://lichess.org/PYzx1Rh7#17,French_Defense French_Defense_Normal_Variation
0WzTD,r1b2rk1/3nb1pp/p1qpNn2/1p1N2B1/4P3/8/PPPQ1PPP/1K1R3R b - - 2 14,f6d5 e4d5 c6b6 g5e7,1936,83,85,71,advantage capturingDefender middlegame short,https://lichess.org/bwDDk1wW/black#28,Sicilian_Defense Sicilian_Defense_Sozin_Attack
0YfWc,1r3rk1/p3ppbp/2pp2p1/q6P/4P1n1/2N1B3/PPPQ4/2KR1B1R w - - 3 15,f1c4 g7c3 d2c3 a5c3 b2c3 g4e3,2181,74,64,336,capturingDefender crushing long middlegame,https://lichess.org/cEC9cGD6#29,Sicilian_Defense Sicilian_Defense_Dragon_Variation
0ZMHe,r5k1/pp2ppb1/3p1np1/8/q1BBP1b1/2Q2P2/1PPK4/3R3R w - - 4 20,c3b3 a4b3 c4b3 g4f3,2130,76,93,8131,capturingDefender crushing master middlegame short,https://lichess.org/h6iRcIfv#39,
0ZyJO,3r1rk1/p1p2ppp/8/3n2P1/1p1B2Q1/qPPR3P/P4P2/1K5R w - - 0 23,d4c5 d5c3 d3c3 d8d2 c3c2 d2c2 b1c2 a3a2,2121,81,90,2055,advantage attraction capturingDefender middlegame queensideAttack sacrifice veryLong,https://lichess.org/q0AjnLXD#45,
0a3m8,r1bqr1k1/pp1p1ppp/2n2n2/8/1bPN4/2N5/PP2BPPP/R1BQ1RK1 w - - 5 10,c1g5 c6d4 d1d4 b4c3 d4c3 e8e2,1982,79,91,2377,advantage capturingDefender long master opening,https://lichess.org/7hv0WSo3#19,English_Opening English_Opening_Symmetrical_Variation
0aBQR,r1bq1rk1/ppp1nppp/1b6/1P4N1/5p2/1BPP1Q2/P4PPP/RN3RK1 b - - 1 15,e7g6 f3h5 h7h6 g5f7 f8f7 h5g6,2181,85,89,1239,capturingDefender crushing long opening pin,https://lichess.org/VnmBdyUF/black#30,Italian_Game Italian_Game_Giuoco_Pianissimo
0abCE,rnbqr1k1/6b1/p1p4p/1p1p4/4n1P1/2PB1QN1/PP1B1N2/1R3K1R w - - 2 24,f2e4 d5e4 d3e4 d8d2,1917,78,90,1933,advantage capturingDefender discoveredAttack fork middlegame short,https://lichess.org/2Ot0GwUf#47,
0b3tL,5rk1/1p1rbppp/p2n4/2p5/2P2B2/5PP1/PP3P1P/3RR1K1 b - - 1 20,f8e8 d1d6 e7d6 e1e8,2197,83,88,316,advantage capturingDefender kingsideAttack middlegame short,https://lichess.org/s2dDVSah/black#40,
0c4if,1k3qnr/pbpr4/1p1p1p2/1N4pp/4P2P/6B1/PQ3PP1/2R2RK1 b - - 0 19,g8e7 c1c7 d7c7 g3d6,2024,75,89,1319,capturingDefender crushing deflection middlegame pin sacrifice short,https://lichess.org/d4Vav1IJ/black#38,
0coUo,2rr2k1/1q3pp1/p3p2p/3bP3/7Q/P1B2N1P/1P1N2P1/1R5K w - - 1 31,h4a4 d5f3 g2f3 d8d2 c3d2 b7f3,2172,77,87,890,capturingDefender crushing discoveredAttack kingsideAttack long middlegame pin,https://lichess.org/Rs2Ow2Zd#61,
