PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
005HG,r2q1rk1/p1p2pp1/3bbn1p/4N3/2Q5/1P4P1/PB1PPP1P/RN2K2R w KQ - 1 12,c4c2 d6e5 b2e5 d8d5 f2f3 d5e5,1755,75,88,694,advantage clearance fork long opening,https://lichess.org/JTymzeq9#23,English_Opening English_Opening_Kings_English_Variation
00Ar2,r2q1r2/1n4pk/p6p/1pp2pb1/3n1B2/P1NPN2P/1PPQ1PP1/R3R1K1 w - - 0 21,c3d5 g5f4 d5f4 d8g5 d2d1 g5f4,1762,75,93,643,advantage clearance long middlegame,https://lichess.org/fRlxRFsV#41,
00Huv,3r2q1/5prk/p3pQpp/1p2P3/2p4R/2P2P1P/PPB2P2/6K1 b - - 2 29,g8f8 h4h6 h7g8 f6h4,1824,79,91,564,clearance crushing endgame short,https://lichess.org/KGI2jWmb/black#58,
00IMS,1r4k1/r5q1/p2p1pP1/4pP2/2p1P2Q/2PbnBK1/P6R/2R5 b - - 7 35,e3f5 e4f5 d3f5 f3d5,1706,75,91,240,clearance crushing kingsideAttack middlegame short,https://lichess.org/4sOYAEfF/black#70,
00IUW,8/Q1p1r1kp/5pp1/3P3r/4P3/2N2bPq/PPP2R1P/5RK1 w - - 3 23,a7e3 h3g3 h2g3 h5h1,1709,75,97,1855,clearance kingsideAttack mate mateIn2 middlegame operaMate sacrifice short,https://lichess.org/83tyhOfz#45,
00UyQ,4r1k1/p1p2pp1/1p5p/2Q1P3/5r1q/5R2/P3B1PP/R5K1 w - - 0 22,c5c7 f4f3 g2f3 h4d4 g1g2 d4a1,1640,75,96,2868,advantage clearance fork long middlegame,https://lichess.org/kxyI8Okp#43,
00eWz,4r1k1/p5bp/1q4p1/2pPrp2/1pP2N2/6PP/P4QB1/1R3RK1 w - - 2 25,f4e6 e5e6 d5e6 g7d4,1673,74,92,5274,advantage clearance master middlegame pin sacrifice short,https://lichess.org/T1YYoy2O#49,
00ldC,3r1r2/pp3pk1/2p1pRp1/6Qp/2P5/P7/1q4PP/5R1K b - - 1 31,d8d2 f6g6 f7g6 g5e7 g7h6 e7f8 b2g7 f8f4 h6h7 f4d2,1715,74,97,1926,advantage clearance deflection endgame fork sacrifice veryLong,https://lichess.org/xdFXCpYF/black#62,
00yfJ,r1b1k2r/p4p1p/2p1p3/1pR1Pp2/qn1P4/2Q2N1P/5PP1/1B3RK1 b kq - 0 19,b4d5 c5d5 c6d5 c3c6,1642,76,93,356,clearance crushing middlegame sacrifice short,https://lichess.org/3cvQUqUJ/black#38,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
015Di,r2k1bnr/p1pp1Bpp/1p3q2/4N1B1/3p4/2P5/PP2QPbP/RN2K2R b KQ - 2 10,f6g5 e5c6 g2c6 e2e8,1694,77,90,2569,clearance mate mateIn2 opening sacrifice short,https://lichess.org/T3BCr5TM/black#20,Kings_Pawn_Game Kings_Pawn_Game_McConnell_Defense
01MpA,6k1/5p1p/1r3p2/8/3P4/6P1/p4P1P/RrR1N1K1 w - - 3 31,e1d3 b1a1 c1a1 b6b1 g1g2 b1a1,1787,75,97,980,attraction clearance crushing endgame long,https://lichess.org/cZCHluCL#61,
01d2J,r3r1k1/pp4pp/2pq4/3nNQ1b/3P4/4pP1P/PP2P1B1/1K1R3R b - - 0 19,g7g6 f5f7 g8h8 f7e8 a8e8 e5f7 h8g7 f7d6,1623,74,96,20425,clearance crushing fork middlegame sacrifice veryLong,https://lichess.org/CklaH1ip/black#38,Grob_Opening Grob_Opening_Grob_Gambit
01hgA,3q4/Q1R3k1/1p2p2p/1P1p4/2pP4/4P3/7r/4K3 b - - 0 46,g7f6 c7f7 f6g5 f7g7 g5h4 a7f7 d8g5 g7g5,1810,76,95,4961,advantage clearance endgame veryLong,https://lichess.org/RK5LWJwi/black#92,
02GrY,2r2rk1/1p1b1ppp/p3p1n1/3pP3/P1q5/R4NP1/1B1Q1PBP/4K2R w K - 6 20,g2f1 c4e4 f1e2 c8c2,1657,75,81,72,clearance crushing middlegame short,https://lichess.org/beXQ6m2q#39,
02NO4,8/3b2kp/4p3/2ppPpPP/p1p4K/P1P1P3/1P2B3/8 b - - 18 40,d7c6 h5h6 g7g8 e2h5,1887,77,87,62,advantage bishopEndgame clearance defensiveMove endgame short,https://lichess.org/wNMyJ9gc/black#80,
02b7E,rnbq1r1k/1p3ppB/p3p3/4P1b1/3N4/2NQ4/PPP3P1/1K5R b - - 2 19,b8c6 h7g8 g5h4 d3h7,1657,77,94,197,clearance discoveredAttack discoveredCheck kingsideAttack mate mateIn2 middlegame short,https://lichess.org/7wpFWzVI/black#38,
02b7o,6k1/3n2pp/p4p2/2q1p3/3p4/PQ1P3P/1B3PP1/6K1 b - - 3 29,g8f8 a3a4 f8e7 b2a3,1784,74,79,144,clearance crushing endgame pin quietMove short,https://lichess.org/d9XtpOvR/black#58,
02yTE,4rk1r/pQN2ppp/4p3/3pN3/4n3/1P4P1/P4q1P/R6K b - - 1 22,f2d4 c7e6 f7e6 b7f7,1748,79,93,269,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/x6oR81un/black#44,
037Y1,1r4k1/5p2/2p1bnp1/p3r3/q3Pp2/B2B4/1PP3QP/K4RR1 b - - 5 28,b8b3 c2b3 a4b3 d3b1,1857,84,77,55,clearance crushing defensiveMove master middlegame short,https://lichess.org/BUaN6YYU/black#56,
03RyW,2q2rk1/4bppp/8/1p2p3/3pP1b1/1B1P1N2/1P1BQPK1/5R2 w - - 2 22,f1c1 g4h3 g2h2 c8g4 c1g1 g4h5,1688,76,76,129,advantage clearance long middlegame,https://lichess.org/ijlEZ7Eq#43,
03Sxg,8/8/4p2p/2R1P2P/3pK1P1/2pP4/1b1k4/8 w - - 2 58,e4d4 c3c2 d4e4 b2c3 c5c6 c2c1q,1620,76,94,1686,advancedPawn clearance crushing discoveredAttack discoveredCheck endgame long master promotion,https://lichess.org/WcvgQB1e#115,
042VG,5b1r/B1R3pp/kp2p3/2p5/PP4n1/8/2P2P1P/6K1 b - - 0 24,c5b4 a7b8 b6b5 c7a7 a6b6 a4a5 b6c5 a7c7,1894,75,89,221,advantage clearance endgame quietMove veryLong,https://lichess.org/rTTPKsdN/black#48,
045fP,r3bk1r/5pp1/p3pn1p/2Np4/3n1P2/3B3N/q1PQ2PP/1R3RK1 b - - 1 18,e8b5 b1a1 a2b2 f1b1 d4f3 g2f3,1840,75,85,248,advantage clearance long middlegame,https://lichess.org/m7L1lDSS/black#36,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
04Rat,3q2k1/5Rp1/pn2pbQp/1p1p4/3P4/7P/2r2PP1/4R1K1 b - - 0 28,c2c6 f7f6 d8f6 g6e8 g8h7 e8c6,1649,75,97,5654,advantage clearance fork long middlegame pin sacrifice,https://lichess.org/PhAku6w2/black#56,
05IZx,r1bq1rk1/ppp3p1/5n1p/4b3/8/2PBB3/PP3PPP/RN1QK2R w KQ - 0 12,e1g1 e5h2 g1h2 f6g4 h2g1 d8h4,1826,76,93,5676,advantage attraction clearance kingsideAttack long opening sacrifice,https://lichess.org/c1UHnY72#23,Scandinavian_Defense Scandinavian_Defense_Other_variations
05lwk,7k/2pnQ1R1/3p1npB/3r3p/2q4P/2N2P2/1P3PK1/8 b - - 4 32,d5e5 g7h7 f6h7 e7g7,1891,77,68,111,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/tLoSPp5O/black#64,
05wr2,r1bqk3/2p1bp2/p1Pp4/3P3Q/PPB2p2/8/5PrP/R3K2R b KQq - 0 19,c8g4 h5h8 e7f8 e1f1 d8e7 a1e1 e7e1 f1e1,1879,78,93,211,advantage clearance middlegame pin veryLong,https://lichess.org/ux2jUTaC/black#38,
06TSi,8/6pp/3b1p2/B7/1pP2P2/3K2P1/k6P/8 w - - 0 35,d3d4 b4b3 a5c3 d6b4 c3b4 b3b2,1735,76,91,2044,advancedPawn bishopEndgame clearance crushing endgame long sacrifice,https://lichess.org/z4eunItw#69,
072sf,r5k1/q4p1p/4pnpb/8/1BQP4/2R2N1P/P4PP1/6K1 b - - 0 30,a7a2 c4a2 a8a2 c3c8,1725,80,92,3915,clearance crushing middlegame short,https://lichess.org/PeqPArjB/black#60,
074Hj,r5k1/3npr1p/p2p2pQ/1b1P2P1/2pBPP2/5K2/qpP5/1R5R b - - 4 25,a8f8 h6g6 h7g6 h1h8,1729,75,95,1793,clearance kingsideAttack mate mateIn2 middlegame operaMate sacrifice short,https://lichess.org/VBDOR3X7/black#50,
07BKU,rn1Q2r1/1bp1n1kp/4p3/pp6/2N1P3/2q5/P1P2P1P/1K1R2R1 b - - 1 26,g7h8 g1g8 e7g8 d1g1 c3g7 g1g7,1723,75,96,2595,clearance crushing kingsideAttack long middlegame,https://lichess.org/8rMqLrPj/black#52,
07D26,r1bq1r1k/pp1p2bp/6p1/4p3/2PnQ3/6P1/PPN2PBP/R1B2RK1 w - - 1 14,c1e3 d7d5 c4d5 c8f5 e4d4 e5d4,1863,76,90,1200,advantage clearance long middlegame,https://lichess.org/5DIyIhw7#27,English_Opening English_Opening_Symmetrical_Variation
07dkk,r4rk1/5pp1/2p4p/2P5/2p5/1nN4P/RP3PP1/1K5R w - - 4 25,a2a4 a8a4 c3a4 f8a8 b1c2 a8a4,1784,75,93,6409,clearance crushing endgame long,https://lichess.org/3ssIYyNZ#49,
