PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00IKw,3r2k1/pp1P1p1p/6p1/2R1P2r/3Q1P2/6Pq/7P/3R2K1 w - - 1 33,d4d2 d8d7 d2d7 h3h2 g1f1 h2g3 d7d8 g8g7 d8f6 g7h6 f6g5 h5g5,2621,100,90,177,advantage deflection endgame sacrifice veryLong,https://lichess.org/R6IG9d87#65,
00RWr,6k1/5pp1/n3p2p/1q1pN3/8/4PB1P/Q4PPK/2r5 b - - 3 36,a6c5 a2a8 g8h7 e5f7 b5b2 a8h8 h7g6 h8g8 g6f6 f3h5,2816,116,88,537,crushing defensiveMove deflection endgame veryLong,https://lichess.org/20uXWTrv/black#72,
00h8X,r4r1k/pp1q1pb1/2npbn1p/2p1p3/4P3/1BPP1Q2/PP3P1N/RNB2KR1 b - - 9 17,e6b3 c1h6 g7h6 f3f6 h8h7 h2g4 d7e6 a2b3 e6f6 g4f6,2520,88,78,120,advantage deflection exposedKing fork middlegame veryLong,https://lichess.org/8ji7Sjgz/black#34,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Dragon
00hCU,r1b2r2/1p5k/3p2pp/p1PBb3/2Pp1p2/P2P2Pq/3B1P1P/1R1QR1K1 w - - 0 26,c5c6 f4g3 f2g3 f8f2 g1f2 h3h2,2844,102,85,414,attraction crushing deflection kingsideAttack long middlegame sacrifice,https://lichess.org/mc07lrmk#51,
00rnW,4r1k1/1rp2ppp/5q2/2p5/8/P2P4/R2Q1PPP/2R3K1 w - - 6 24,c1c5 b7b1 c5c1 e8e2 d2e2 b1c1,2521,96,90,272,crushing deflection endgame long pin,https://lichess.org/UpjEipzv#47,
0289B,8/5pp1/R2bk3/3p4/2np2Q1/4P1P1/3q1P2/6K1 b - - 5 34,e6e7 a6a7 e7f6 g4f3 f6g5 a7f7 g5h6 f3g4 d2d1 g4d1,2770,113,88,268,crushing deflection endgame veryLong,https://lichess.org/GY7ymJNX/black#68,
02I9S,1r3rk1/3b1pp1/p1p2b1p/P1P4q/1P1Np3/2Q1P1R1/1B3P1P/4K1R1 b - - 5 25,h5d5 g3g7 g8h8 d4f5 f6c3 b2c3 f7f6 g7g6 d5f5 g6h6 f5h7 h6f6 f8f6 c3f6,2511,89,80,118,crushing deflection kingsideAttack middlegame sacrifice veryLong,https://lichess.org/doU0zuOW/black#50,
02Q6Q,5k1R/bP6/3q2p1/1Q1p1p2/4p3/7P/6P1/r4N1K b - - 2 39,f8g7 b5b2 d6f6 b7b8q a7b8 b2b8,2736,121,89,319,advancedPawn advantage deflection endgame fork long promotion,https://lichess.org/CwteutNM/black#78,
02Qwi,r1b2rk1/2qn1ppp/8/2p1p1N1/1p6/1B6/1PP1QPPP/3R1RK1 b - - 0 18,c8a6 d1d7 c7d7 e2e4 g7g6 b3f7 f8f7 e4a8,2620,95,73,331,advantage deflection kingsideAttack middlegame sacrifice veryLong,https://lichess.org/FQeb6mVH/black#36,Philidor_Defense Philidor_Defense_Lion_Variation
03TjG,r1b2b2/pp3N1k/2np2pp/8/2BqpP1Q/8/2P3PR/2KR4 b - - 5 28,d4c4 h4f6 f8g7 h2h6 h7g8 f6g6,2769,99,85,181,crushing deflection discoveredAttack long middlegame pin,https://lichess.org/oDiTgVmj/black#56,
