PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
008Y3,r5k1/1p1rqpp1/p3pnp1/2PN4/8/1Q5P/PP3PP1/3RR1K1 b - - 0 24,e7c5 d5f6 g7f6 d1d7,1065,88,93,663,advantage discoveredAttack kingsideAttack master middlegame short,https://lichess.org/jAILX5BH/black#48,
00AdI,3r4/4kp1p/1PQ1p1p1/p3b3/1p2P2P/1P6/6PK/8 w - - 1 36,h2h3 d8d3 g2g3 d3g3 h3h2 g3c3,1264,75,97,8692,crushing discoveredAttack discoveredCheck endgame long master,https://lichess.org/WWyIGzPi#71,
00Bul,rnbqk2r/pp3ppp/5n2/3pN3/2B5/2P5/P1PPQPPP/R1B1K2R b KQkq - 1 8,d5c4 e5c6 c8e6 c6d8,1284,75,95,1079,advantage discoveredAttack discoveredCheck opening short,https://lichess.org/70pObIpq/black#16,Kings_Pawn_Game Kings_Pawn_Game_Gunderam_Gambit
00DEc,8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/4R3 w - - 3 30,e1d1 d3f4 e3f4 d5d1,1091,77,87,169,crushing discoveredAttack endgame short,https://lichess.org/T0mRW37D#59,
00Gt0,R7/4k3/5p2/3p2p1/4b2p/2K1P2P/5PP1/8 w - - 2 47,f2f3 d5d4 c3d4 e4a8,1052,79,83,107,crushing discoveredAttack endgame master short,https://lichess.org/5OO7Wczb#93,
00UHZ,3n2k1/6p1/pp3p1p/8/2r1NR1P/6P1/1PP5/1K6 b - - 1 32,d8e6 e4f6 g7f6 f4c4,1071,79,89,3457,advantage discoveredAttack endgame short,https://lichess.org/bQ4MdAO1/black#64,
00Uo9,4Q3/5ppk/2p2b1p/1pq1pP2/2r1B3/5P1P/6P1/5R1K b - - 3 33,c5e7 e8e7 f6e7 f5f6 c4e4 f6e7,1293,75,97,613,advancedPawn crushing discoveredAttack discoveredCheck endgame long,https://lichess.org/A7Ui9kzO/black#66,
00Y6y,5k2/5pp1/8/1p2N3/1P6/7P/3nR1P1/2r3K1 w - - 1 48,g1h2 d2f1 h2g1 f1g3 g1f2 g3e2,1222,78,92,528,advantage discoveredAttack discoveredCheck endgame long,https://lichess.org/Rv29Dipi#95,
00mvP,r1b2k1r/pppp2pp/5q2/4n3/2Bp4/8/PPP2PPP/RN1QR1K1 w - - 2 13,d1d4 e5f3 g2f3 f6d4,1218,75,91,318,advantage discoveredAttack middlegame short,https://lichess.org/yHPzjZSy#25,Italian_Game Italian_Game_Scotch_Gambit
00nHy,r2q1rk1/p4pbp/1pp1p1p1/4n3/2PpN3/1P4P1/PB2PP1P/1R1Q1RK1 w - - 0 16,d1d4 e5f3 e2f3 g7d4,1250,76,87,873,crushing discoveredAttack middlegame short,https://lichess.org/nKLwXxuX#31,English_Opening English_Opening_Anglo-Indian_Defense
00wYl,3q2k1/r1p3p1/P1Pp3p/3Pp1b1/R3Qr2/5N1P/5PP1/R5K1 w - - 1 27,e4e3 f4a4 a1a4 g5e3,1158,81,68,135,crushing discoveredAttack middlegame short,https://lichess.org/XjLq1sLc#53,
00xvM,rn1q1b1Q/pp1k3p/2p2n2/3p4/6pP/2N5/PPP1P1B1/2KR2NR w - - 2 14,e2e4 f8h6 c1b1 d8h8,1184,77,79,63,advantage discoveredAttack middlegame short,https://lichess.org/JxY0XNjQ#27,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
00yIS,3r3k/p5p1/5q1p/8/P1b5/4Q1RP/6BK/8 b - - 6 42,d8d3 e3e8 c4g8 g3d3,1049,74,100,513,advantage deflection discoveredAttack endgame master short,https://lichess.org/fIQfIXST/black#84,
00yPS,5k2/p3pp2/7p/2Qp1P2/6B1/6q1/2K5/8 b - - 2 43,g3g4 c5c8 f8g7 f5f6 g7f6 c8g4,1078,84,94,774,crushing discoveredAttack endgame long queenEndgame,https://lichess.org/pyTEOQI7/black#86,
011J1,4R3/5ppk/7p/2p2q2/1n6/2Br2P1/5P1P/1Q4K1 w - - 0 35,c3b4 d3g3 f2g3 f5b1,1243,75,92,1638,advantage discoveredAttack endgame short,https://lichess.org/xl6zG0ZK#69,
012QY,2rq1rk1/pb2bppp/1p2p3/8/3N4/P1P1P3/4BPPP/1Q1R1RK1 b - - 0 18,a7a6 d4e6 f7e6 d1d8,1223,114,85,16,advantage discoveredAttack middlegame short,https://lichess.org/JFyDpiwO/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
013hi,2k5/bpp2B2/p1np4/4pR2/PP2P1q1/1NPP2P1/5RK1/8 b - - 6 30,a7f2 f7e6 c8d8 f5f8 d8e7 e6g4,1184,75,97,10511,crushing discoveredAttack endgame fork long,https://lichess.org/Ckj1gHe9/black#60,
017Ut,3r3r/pp3pp1/5k2/2pbq3/3N4/Q4PP1/PPP1N2p/R3R2K w - - 1 22,a3c5 d5f3 d4f3 e5c5,1150,82,97,221,advantage discoveredAttack middlegame short,https://lichess.org/Q8jg89Uy#43,
017c1,8/8/8/1p6/4k3/2p4P/rP2RK2/8 b - - 1 49,e4d4 b2c3 d4c3 e2a2,1080,96,92,1415,crushing discoveredAttack endgame rookEndgame short,https://lichess.org/xat94cnU/black#98,
01B6x,6k1/1B2ppbp/p2p2p1/3P4/1P2P3/P3B3/4qPPP/1Q1b2K1 w - - 1 28,g2g3 e2e1 g1g2 d1f3 g2f3 e1b1,1256,77,94,87,crushing discoveredAttack endgame long,https://lichess.org/30lJXHnJ#55,
01PTR,2bq1r2/r5bk/1p1P3p/pPpBppp1/P1P5/5PB1/6PP/R2Q1RK1 b - - 0 21,d8d6 d5g8 f8g8 d1d6,1256,77,79,165,crushing discoveredAttack middlegame short,https://lichess.org/eVOlQeMa/black#42,
01VZi,2r3k1/2r2p2/p5p1/q5Pp/1p3P1P/8/PPPRQ3/1K3R2 w - - 0 32,e2e4 b4b3 a2b3 a5d2,1244,84,93,884,crushing discoveredAttack endgame short,https://lichess.org/De2EWy6u#63,
01VvX,5rk1/pp1b1Npp/3p2r1/8/PnN5/8/5RP1/5RK1 b - - 1 26,d7a4 f7h6 g7h6 f2f8 g8g7 f1f7,1125,76,97,165,blindSwineMate discoveredAttack long mate mateIn3 middlegame,https://lichess.org/DdF2bsez/black#52,
01YpY,2r3k1/5ppp/1p3n2/2q1p3/2BN4/5P2/PQ4PP/2R3K1 b - - 2 32,c5d4 b2d4 e5d4 c4f7 g8f7 c1c8,1187,76,96,373,advantage discoveredAttack endgame long,https://lichess.org/WILzCJLB/black#64,
01bkF,8/p1q3k1/6r1/3ppR2/7Q/7P/P5PK/8 w - - 6 54,f5g5 e5e4 h4g3 c7g3,1181,77,93,429,crushing discoveredAttack discoveredCheck endgame master short,https://lichess.org/xQUIn6nX#107,
01gkL,r1b2bkr/ppp2Np1/3pPq1p/4n3/3Q4/8/PPP2PPP/RNB1K2R w KQ - 2 12,f7h8 e5f3 g2f3 f6d4,1259,82,92,4148,crushing discoveredAttack opening short,https://lichess.org/e9vKK71P#23,Scotch_Game Scotch_Game_Scotch_Gambit
01gyY,8/R1b3r1/8/1pPk4/1P2p3/P3B3/8/5K2 w - - 4 42,f1e1 c7g3 e1f1 g7a7,1155,76,92,401,crushing discoveredAttack endgame master short,https://lichess.org/ybiSNr9H#83,
01kSp,8/6k1/2bb2pp/4pp2/4P1P1/3BBPKP/8/8 w - - 0 38,e4f5 e5e4 f3f4 e4d3,1081,80,92,313,bishopEndgame crushing discoveredAttack discoveredCheck endgame short,https://lichess.org/YODE44HV#75,
01mgz,2rq1rk1/1b3ppp/p2p1Nn1/1p3N2/4P3/3Qp3/PPP3PP/R4R1K b - - 0 20,d8f6 f5h6 g7h6 f1f6,1209,75,99,907,advantage discoveredAttack kingsideAttack master middlegame short,https://lichess.org/1E9dZ74A/black#40,
01s5n,3r4/p4ppk/2q4p/2NpPb2/1P1Q4/2P2P2/P6P/3R3K w - - 11 41,c3c4 d5c4 d4d8 c6f3,1102,81,83,333,advantage discoveredAttack endgame pin sacrifice short,https://lichess.org/vJr2AQeC#81,
021YZ,1r4r1/p1kq1p2/3pb3/p2Bp2p/2P3np/P1QPP1P1/5P2/1R2R1K1 b - - 4 23,e6d5 c4d5 c7d8 b1b8,1229,78,91,756,crushing discoveredAttack discoveredCheck middlegame short,https://lichess.org/wa6BKyGB/black#46,
024qM,r1q2rk1/2p3p1/pbp2n2/7P/7B/2N2Q1N/PP3P2/R2R2K1 w - - 0 24,g1h2 f6g4 h2g2 f8f3,1074,93,92,286,crushing discoveredAttack middlegame short,https://lichess.org/C98IYThi#47,
026RF,2rq2k1/4r2p/1p4p1/p2PnpQ1/PPPp4/3B3P/5PP1/R4RK1 w - - 1 27,f1e1 e5f3 g2f3 e7e1 a1e1 d8g5,1281,76,94,249,advantage discoveredAttack kingsideAttack long middlegame,https://lichess.org/L0FTXf8g#53,
027Ar,2q2r2/1pp2rpk/p1npbn1p/3Np3/4P2N/P2QP1PP/1PP3BK/3R1R2 b - - 6 18,e6d5 e4d5 e5e4 g2e4,1177,81,93,1474,crushing discoveredAttack discoveredCheck master middlegame short,https://lichess.org/uvj6KJdY/black#36,Englund_Gambit Englund_Gambit_Other_variations
0296l,r1b1k1n1/p2p1p2/2p5/q5bQ/4P3/6B1/PPP3P1/RN2KB2 w Qq - 1 13,c2c3 g5d2 b1d2 a5h5,1188,98,69,24,crushing discoveredAttack middlegame short,https://lichess.org/EIE2Vq94#25,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
02DOR,3r2k1/7p/3b4/p5q1/P2Q1p2/1PN4P/1P4P1/5RK1 w - - 2 33,d4d5 g5d5 c3d5 d6c5 g1h2 d8d5,1112,77,93,365,advantage discoveredAttack endgame long,https://lichess.org/iQxbqXA7#65,
02EhR,3rk2r/pp3pp1/4p3/4P2p/q2nQ2P/P3B3/5PP1/R4RK1 w k - 0 20,e4b7 d4e2 g1h1 a4h4,1024,85,95,3617,discoveredAttack kingsideAttack master mate mateIn2 middlegame short,https://lichess.org/YPrgeQdp#39,
02F1X,r2qkr2/ppp4p/5n2/6B1/3np1bQ/8/PPP2PPP/2KR1B1R w q - 2 13,g5f6 d4b3 a2b3 d8d1,1141,208,88,8,discoveredAttack mate mateIn2 middlegame queensideAttack short,https://lichess.org/FoZISDsP#25,Three_Knights_Opening Three_Knights_Opening_Winawer_Defense
02Fi0,r2q1rk1/pp1bbpp1/3p1n1p/2p5/2B1P2B/2NQ4/PPP2PPP/R4RK1 w - - 2 12,c3d5 f6d5 c4d5 e7h4,1019,82,92,324,advantage discoveredAttack middlegame short,https://lichess.org/Bs2R5kfG#23,Italian_Game Italian_Game_Other_variations
02Goa,2rqk1nr/pbp2ppp/1pnb4/1B1p4/8/P3PN2/1P3PPP/RNBQ1RK1 w k - 0 10,d1d5 d6h2 f3h2 d8d5,1184,78,81,113,advantage discoveredAttack kingsideAttack opening short,https://lichess.org/MdUjfS0T#19,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
02JtO,r2q1r2/ppp2ppk/8/8/8/P2R1P2/1PQ2P1P/2K4R b - - 0 17,d8f6 d3d6 f6g6 d6g6,1097,75,89,231,crushing discoveredAttack discoveredCheck endgame short,https://lichess.org/1KVSy8eM/black#34,Ponziani_Opening Ponziani_Opening_Jaenisch_Counterattack
02K3Z,r4rk1/6p1/2p2b1p/2P1pq2/2N2p1n/1Q3P2/6PP/2BRR1K1 b - - 4 28,f5g6 c4e5 g8h8 e5g6,1065,142,88,34,advantage discoveredAttack discoveredCheck kingsideAttack middlegame short,https://lichess.org/xJOoiH8Z/black#56,
02Oc8,8/Q5p1/4pk2/p2q4/P1pn4/8/5PPP/R5K1 w - - 2 29,a1d1 d4e2 g1f1 d5d1,1140,95,94,1036,discoveredAttack endgame mate mateIn2 short,https://lichess.org/AmB0sTp9#57,
02RSU,r1r3k1/p4ppp/8/4P3/3PQnq1/5N2/P4PPP/R4RK1 w - - 5 22,g2g3 f4h3 g1g2 g4e4,1241,75,85,598,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/eXIaFHkh#43,
02UFP,r1b3k1/pp3rpp/8/2ppp1B1/3n3P/P1qB2Q1/2P2PP1/1R1K3R b - - 1 18,c5c4 d3h7 g8h7 g3c3,1179,84,94,20775,advantage discoveredAttack middlegame short,https://lichess.org/Nw1ZVsBg/black#36,French_Defense French_Defense_Winawer_Variation
02W4B,5k2/p4p1p/1p4p1/3p4/3P1PP1/4K2P/PP2R3/2r5 b - - 5 29,f8e7 e3d2 e7d6 d2c1,1177,81,82,54,crushing discoveredAttack discoveredCheck endgame master rookEndgame short,https://lichess.org/eQuPoKSR/black#58,
02YNo,r3r1k1/pp1b1pp1/1q2p2p/3p4/8/P1P3P1/1PB1QPP1/R3R1K1 b - - 0 22,b6b2 c2h7 g8h7 e2b2,1157,124,67,41,advantage discoveredAttack middlegame short,https://lichess.org/WVKu2WlR/black#44,
02ejp,8/8/1kN3R1/6Bp/b3pp1P/2K2P2/6r1/8 b - - 0 37,a4c6 g5d8 b6b7 g6g2,1181,75,98,2619,crushing discoveredAttack endgame master short,https://lichess.org/w87g8I5t/black#74,
02lFu,8/7k/p3q3/3R3p/P3pprP/1P4PK/3Q1P2/8 w - - 1 42,d5h5 h7g6 h5g5 g4g5,1209,85,91,555,crushing defensiveMove discoveredAttack discoveredCheck endgame short,https://lichess.org/MOVLqJsy#83,
02lbA,r5k1/pp1q1ppp/2n2b2/3N4/8/8/PPP2PPP/R2QN1K1 b - - 0 15,f6b2 d5f6 g7f6 d1d7,1106,87,93,4249,advantage discoveredAttack middlegame short,https://lichess.org/HdSqgYPB/black#30,Sicilian_Defense Sicilian_Defense_French_Variation
02sUm,4r1k1/2p2pp1/1p5p/3P4/3Q4/3B2P1/3q1PKP/8 b - - 7 34,e8d8 d3h7 g8h7 d4d2,1054,89,84,115,crushing discoveredAttack endgame short,https://lichess.org/S4ttsEzt/black#68,
02veN,5rk1/6pp/pqP1R3/3Q4/8/8/P4rPP/R5K1 w - - 1 22,e6e8 f2f7 g1h1 f8e8,1266,75,74,139,crushing discoveredAttack discoveredCheck endgame short,https://lichess.org/i6Uct88K#43,
02wWR,rn2r3/pbppk1pp/1p6/2b1N3/3p1B2/5N2/PPP2PPP/4RRK1 b - - 13 17,e7d8 e5f7 d8c8 e1e8,1094,76,97,1957,deflection discoveredAttack mate mateIn2 middlegame short,https://lichess.org/UCaAB8Hy/black#34,Bishops_Opening Bishops_Opening_Lewis_Gambit
02yoc,4k3/7R/1pp3r1/8/P3r2p/1B3K2/1PP5/8 b - - 2 50,e4b4 b3f7 e8e7 f7g6,1092,82,95,2729,advantage discoveredAttack discoveredCheck endgame fork master short,https://lichess.org/jnOiltKW/black#100,
02zyG,r4rk1/ppp3pp/1bnq1p2/1B2p3/2P5/1QP1nN2/PP3PPP/R4RK1 b - - 0 14,e3f1 c4c5 g8h8 c5d6,1130,75,100,723,advantage discoveredAttack discoveredCheck middlegame short,https://lichess.org/UZDQkZDi/black#28,Italian_Game Italian_Game_Classical_Variation
