PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
009zS,r3r1k1/1p3p1p/p1p3p1/8/6bP/Q3b3/PP2B1P1/R3K2R w KQ - 2 20,g2g3 g4e2 e1e2 e3c5 e2f3 c5a3,1373,77,94,2839,advantage discoveredAttack discoveredCheck exposedKing long middlegame,https://lichess.org/YSoU6ySt#39,
00Vdx,2k3rr/ppp2p1p/2np1B2/8/4P3/2NB1b2/PPP2PPP/R4RK1 w - - 1 13,f6h8 g8g2 g1h1 g2g4,1456,77,85,592,discoveredAttack discoveredCheck kingsideAttack mate mateIn2 middlegame morphysMate short,https://lichess.org/z9NeMacX#25,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit
00bou,r1b1k1nr/pppp1ppp/3b4/3N2B1/3p4/8/PP1KBPPP/4R2R b kq - 3 11,f7f6 e2h5 e8f8 e1e8,1429,75,75,185,discoveredCheck doubleCheck mate mateIn2 middlegame operaMate short,https://lichess.org/MIYxu2Dz/black#22,Kings_Pawn_Game Kings_Pawn_Game_McConnell_Defense
00kZF,r3r3/1p1n2pk/2p1pq1p/2P5/1p2R3/P2Q1N1P/5PP1/R5K1 b - - 1 24,f6a1 e4e1 h7h8 e1a1,1308,79,91,2515,crushing discoveredAttack discoveredCheck middlegame short,https://lichess.org/7skMhb04/black#48,
01KFo,5rk1/ppq2ppp/3bp3/3p1nP1/3P3P/2P1B3/PP2Q1P1/R4RK1 w - - 1 19,h4h5 d6h2 g1h1 f5g3 h1h2 g3e2,1373,80,92,7608,crushing discoveredAttack discoveredCheck fork long middlegame,https://lichess.org/mck7Lr6h#37,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
01TmZ,r1b2rk1/1p2bppp/pqnp4/3Np3/2B1PP2/PN6/1PP2nPP/R1BQ1R1K w - - 5 13,h1g1 f2h3 g1h1 b6g1 f1g1 h3f2,1388,77,87,3874,discoveredCheck doubleCheck kingsideAttack long mate mateIn3 opening sacrifice smotheredMate,https://lichess.org/RIwXCRjL#25,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
01XlK,r3qr2/2pn2bk/p2p1P2/1p4pp/3PN3/P2Q4/1PP2P2/2K4R b - - 0 22,g7h6 e4g5 h7h8 d3h7,1508,79,97,4484,discoveredCheck doubleCheck mate mateIn2 middlegame short,https://lichess.org/wKVwsojO/black#44,
01efr,r2qk2r/1p3pp1/p1np4/3NpP2/4P1pb/1P1B4/1PP3PK/R1BQ1R2 w kq - 0 21,d1g4 h4f2 g4h3 h8h3 g2h3 d8h4 f1f2 h4f2,1549,75,99,2733,advantage discoveredAttack discoveredCheck middlegame veryLong,https://lichess.org/cq999euX#41,
01tjv,4rr1k/2p3pp/p2P4/1p3p2/1P4n1/1BP1qP1R/P4QP1/R5K1 w - - 0 25,f3g4 e3f2 g1f2 f5g4 f2g1 g4h3,1427,77,96,28899,advantage discoveredAttack discoveredCheck intermezzo kingsideAttack long middlegame,https://lichess.org/HIXIuFaM#49,
01utE,r1b2r1k/5pp1/p3p1B1/1p1p2p1/3q4/P7/1PQ2PK1/7R b - - 3 28,h8g8 g6h7 g8h8 h7g8 d4h4 h1h4 g5h4 c2h7,1400,79,85,218,discoveredAttack discoveredCheck mate mateIn4 middlegame veryLong,https://lichess.org/Vx6I0drZ/black#56,
