PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
004sg,6k1/p3b2p/1p1pP3/2p3P1/1Pnp3B/P6P/3Q3K/8 w - - 0 38,b4c5 c4d2 c5c6 d6d5 g5g6 e7d6,2376,81,90,1360,advantage clearance endgame hangingPiece long quietMove,https://lichess.org/pSRIvt7K#75,
00Xop,r2q1rk1/2p2nbp/1B1p2p1/4p1N1/4P1P1/1bN4P/PP1Q1P2/2KR3R w - - 0 18,b6c7 d8c7 a2b3 f7g5,2439,87,87,1365,crushing hangingPiece master middlegame short,https://lichess.org/Bw3qJ0LJ#35,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
00mST,r4r2/ppk4p/n2N2p1/2p5/4Pb2/2P4P/PP2B2R/1K1R4 w - - 0 25,e4e5 f4h2 d6b5 c7b6 d1d6 b6a5 b5a3 f8f4,2494,77,61,103,crushing defensiveMove hangingPiece middlegame veryLong,https://lichess.org/TnR9jLpy#49,
00x47,3r4/p5kp/1p1q4/4p3/P1P1p1Qb/1PB1P3/5rPP/R5K1 b - - 1 25,g7f8 g4h4 f2f5 c3b4 d6b4 h4d8,2206,79,86,178,crushing deflection hangingPiece long middlegame pin,https://lichess.org/oExVQQ0V/black#50,
01Dor,8/3k2P1/3Pb3/p1q2p2/1p6/1P4r1/P1P1Q3/1K1R4 w - - 1 39,e2e6 d7e6 d6d7 g3g2 g7g8b g2g8,2294,77,91,3035,crushing endgame hangingPiece long master,https://lichess.org/0MUqBgJG#77,
01aC9,1r2q1k1/b1p2p1p/p4p2/2Pp1b2/2nP4/P1N2PP1/1B1Q2BP/5RK1 w - - 0 25,d2f4 b8b2 f4f5 b2g2,2292,106,90,1286,crushing hangingPiece middlegame short,https://lichess.org/iY0xf1rb#49,
01tei,8/8/8/1kr2P1R/8/6K1/8/8 w - - 0 52,f5f6 c5h5 g3g4 h5h8 g4f5 b5c6,2310,82,88,560,crushing defensiveMove endgame hangingPiece long quietMove rookEndgame,https://lichess.org/DlcVV8pm#103,
026sh,3r4/Qpk5/p1p2p2/8/3rb1Pp/5q1p/PP3P1B/2R1R1K1 b - - 0 32,c7d7 a7d4 e4d5 d4d5,2358,76,91,3877,advantage hangingPiece middlegame short,https://lichess.org/YZ6mzi2J/black#64,
02AGl,4Q1k1/pp4p1/4br1p/4N3/1P3q2/P7/6PP/2R4K b - - 1 29,f6f8 e8e6 g8h7 c1g1,2292,82,83,241,advantage defensiveMove endgame hangingPiece short,https://lichess.org/TjLwUaRU/black#58,
02bax,2k5/R7/P1B5/2p4p/3bP3/3K2p1/2P4r/8 w - - 0 35,a7c7 c8c7 a6a7 c5c4 d3d4 g3g2,2449,78,70,105,advancedPawn crushing endgame hangingPiece long,https://lichess.org/n5JaYhRz#69,
03m05,3rq1k1/p4p1p/6p1/3Q1b2/2n2B2/2P3P1/P3PPBP/1R4K1 w - - 1 20,d5d8 e8d8 b1b8 f5c8 g2b7 c4b6,2346,76,86,63,advantage defensiveMove hangingPiece long master middlegame quietMove,https://lichess.org/bGmJaLIb#39,
03qRi,8/8/4p1p1/R2b3p/P1p5/2Pk4/5PPP/5K2 w - - 1 37,a5d5 e6d5 a4a5 d5d4 f1e1 d3c3 a5a6 c3c2 a6a7 d4d3,2479,106,88,1717,crushing endgame hangingPiece veryLong,https://lichess.org/n2I6reHl#73,
049jG,1r2r1k1/pR1Qbppp/3p4/2q5/7P/2PB1P2/2K5/7R b - - 5 27,b8b7 d7e8 e7f8 e8e4 c5f2 c2d1 g7g6 e4b7,2384,80,86,99,advantage hangingPiece middlegame veryLong,https://lichess.org/w1sdByEB/black#54,
04epC,2rr2k1/p4pp1/1n2p2p/4Q2n/3PP2q/1B3P2/PP1B1P1P/R4R1K w - - 4 19,d2h6 g7h6 b3e6 f7e6 e5e6 g8h7 e6f5 h7h8,2321,100,89,230,advantage defensiveMove hangingPiece middlegame veryLong,https://lichess.org/ZNFbWZ67#37,
04t1O,r1b3k1/pp1n1r1p/2p1p1p1/8/3Q2nB/2P2N2/q1P2PPP/2KR1B1R b - - 1 15,e6e5 d4g4 f7f4 g4g5,2450,99,70,42,advantage hangingPiece middlegame short,https://lichess.org/Cf7rzXiw/black#30,Torre_Attack Torre_Attack_Fianchetto_Defense
04tEJ,5k2/1p3p1p/3P2p1/1NK5/p1P5/1r4PP/5P2/8 b - - 0 35,b3b5 c5b5 a4a3 b5b6 a3a2 d6d7,2231,140,77,18,advancedPawn advantage endgame hangingPiece long,https://lichess.org/gMOaeG21/black#70,
04woM,4r1k1/pp2rp1p/6p1/q3B3/2Bn4/P3Q2P/1P4P1/1R1R2K1 b - - 0 24,e7e5 e3d4 e5e4 d4d5 e4e1 d1e1 e8e1 b1e1,2204,77,85,875,advantage hangingPiece middlegame veryLong,https://lichess.org/IgedQIA1/black#48,
05Edh,r1b2rk1/pp5p/7n/3N2Pq/3N2nP/6b1/PP2B3/2RQ1RK1 w - - 0 24,c1c8 a8c8 d5f6 f8f6,2208,84,90,1165,advantage hangingPiece middlegame short,https://lichess.org/dp3xpQ1w#47,
05Jhz,8/4p3/8/k1K1Pn2/p7/2P5/8/3B4 w - - 0 54,d1a4 a5a4 c5d5 f5g7 c3c4 a4b4,2376,76,94,2988,crushing endgame hangingPiece long master quietMove,https://lichess.org/sfI5DvDV#107,
05cEL,3r2k1/5p1p/2q2bp1/2Npp3/pPn5/1Q2PB1P/5PP1/3R2K1 w - - 0 29,b3c4 d5c4 d1d8 f6d8 f3c6 a4a3 c6b5 a3a2,2241,77,94,924,advancedPawn advantage hangingPiece middlegame veryLong,https://lichess.org/Nn55s7dW#57,
05clV,4rrk1/p4ppp/bq6/2bpPN2/1p6/1P3R2/PBP3PP/R2Q3K w - - 1 23,f5g7 g8g7 f3g3 g7h8 d1g4 b6h6,2366,116,82,27,advantage hangingPiece long middlegame,https://lichess.org/R0TtLSWt#45,
05lEx,8/8/7P/4R3/5k1K/8/8/6r1 w - - 1 52,h4h5 f4e5 h6h7 e5e6 h5h6 e6f7 h7h8q g1h1 h6g5 h1h8,2388,85,84,74,crushing endgame hangingPiece rookEndgame skewer veryLong,https://lichess.org/i3qWCOHZ#103,
05n2Y,r7/1p4kp/1N3pp1/p1p5/8/2P5/5PPP/5NK1 b - - 1 29,a5a4 b6a8 a4a3 f1e3 a3a2 e3c2,2367,77,92,2417,crushing defensiveMove endgame hangingPiece long quietMove,https://lichess.org/fcqVLDeU/black#58,
05seH,2r2k1r/1b2bPpQ/p2p2P1/4n3/qP1RP3/2p5/P1P2B1P/2K2BR1 b - - 0 22,e5g6 h7g6 e7f6 f2g3 c8c6 g3d6 c6d6 d4d6,2320,108,87,48,crushing hangingPiece middlegame veryLong,https://lichess.org/jk2zESp8/black#44,
05uKd,1r2k2r/3qB1p1/p1ppb3/2pnp3/4N3/1P1P1N2/P1PQ1PpP/4RRK1 w k - 0 19,e4d6 e8e7 d2g5 e7f8,2454,88,89,120,advantage defensiveMove hangingPiece middlegame short,https://lichess.org/Mgs169dK#37,
062ZD,r1b1k2r/pppp1ppp/2n2q2/2bN1n2/4P1Q1/8/PPP2PPP/R1B1KB1R b KQkq - 1 8,c5f2 e1f2 f6d4 f2e1,2342,81,78,82,advantage defensiveMove hangingPiece master opening short,https://lichess.org/tCrORpwu/black#16,Scotch_Game Scotch_Game_Classical_Variation
06kKA,r3k2r/pR3pp1/4p2p/q2pn3/7N/2N3Q1/P1P2bPP/R5K1 w kq - 0 17,g3f2 a5c3 a1e1 e8g8 b7b3 c3c7,2225,80,83,202,advantage castling hangingPiece long middlegame,https://lichess.org/0kA4M3tj#33,French_Defense French_Defense_Queens_Knight
070hh,8/8/4pp2/3nk3/3R2KP/8/8/8 w - - 1 43,d4d5 e6d5 h4h5 e5e6 h5h6 e6f7 h6h7 f7g7 h7h8r g7h8,2242,85,90,865,crushing endgame hangingPiece master veryLong,https://lichess.org/MGTQgTIL#85,
073LS,R4bk1/8/6P1/1pr2N2/5K2/p7/8/8 b - - 6 47,c5f5 f4f5 b5b4 f5f6 a3a2 a8a2,2225,76,93,6417,crushing endgame hangingPiece long master,https://lichess.org/62eIzoAJ/black#94,
076Nn,8/5pk1/4pQ1n/3pP2P/3P1K1N/2r3r1/P7/8 b - - 5 35,g7g8 f6h6 g3g1 h4f3 g1f1 h6g5,2245,80,87,192,crushing endgame hangingPiece long,https://lichess.org/NCbU2ay6/black#70,
08Jd8,5k2/4r1p1/P4p2/1PP4p/2Q5/4Pq2/5P2/1K1R4 w - - 1 37,b5b6 f3d1 b1b2 e7d7,2250,90,91,1736,crushing defensiveMove endgame hangingPiece master short,https://lichess.org/BC10c2tg#73,
08Juz,2r2r1k/6p1/2Np3p/3Qp1q1/1P6/5nPP/P1R2P2/2R4K b - - 4 33,c8c6 d5c6 g5f5 h1g2,2377,233,67,18,equality hangingPiece middlegame short,https://lichess.org/z1jJ9dfF/black#66,
08eJb,5rk1/3q1p2/5Q1p/p1pP4/P1P2R1p/1P6/7P/R5K1 w - - 1 28,f4g4 d7g4 g1f2 f8e8 a1g1 e8e2 f2f1 e2e1 f1e1 g4g1 e1e2 g1h2,2260,115,47,16,advantage attraction deflection endgame hangingPiece quietMove veryLong,https://lichess.org/JZoQfBWR#55,
08j16,r1b2rk1/p4pbp/1p1p2p1/2pP2q1/2P5/2NnB3/PP1QN2P/1K1R3R b - - 0 19,g7c3 d2d3 g5f5 e2c3 f5d3 d1d3,2483,98,90,72,advantage hangingPiece intermezzo long middlegame,https://lichess.org/q1QmyhFp/black#38,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
