PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03iyb,7r/5p2/3R1np1/2Pk4/6q1/Q7/6Pr/6K1 b - - 7 36,d5e5 a3b2 e5f4 b2f2 f4g5 f2f6 g5h6 f6h8,2836,102,91,1484,crushing endgame interference veryLong,https://lichess.org/7jfiGxoe/black#72,
04F9F,2r5/4p2k/p3P1pp/2pPQp2/1p6/8/qP4PP/2KR3R w - - 0 28,h2h4 c5c4 c1d2 c4c3 d2e2 c3b2 d1d2 b2b1q h1b1 a2b1,2705,93,93,1324,advancedPawn crushing endgame interference pin promotion queensideAttack quietMove veryLong,https://lichess.org/ApSN8sJ1#55,
04IsZ,5k2/2rR1pp1/5b1p/1P5P/P1B5/1K2r3/8/3R4 w - - 0 36,b3b4 f6c3 b4b3 c3d4 b3a2 c7d7,2535,76,91,3245,advantage discoveredAttack discoveredCheck endgame interference long,https://lichess.org/C6DKCvIN#71,
04YUe,1r1b1r1k/Rp6/3P1p2/2P4q/1P6/5Kp1/1B4Q1/4R3 w - - 2 38,f3f4 h5g5 f4f3 g5f5 f3e2 f8e8 e2d2 e8e1 d2e1 f5b1 e1e2 b1b2,2729,125,91,1174,attraction crushing interference middlegame veryLong,https://lichess.org/0jJPRtle#75,
05CjS,8/p4pp1/7p/2k1P2P/r1p2P2/2K1P3/P1R2P2/8 w - - 0 37,c2d2 a4a3 c3c2 a3a2 c2d1 a2d2 d1d2 c5d5,2748,102,91,2598,crushing endgame exposedKing interference rookEndgame veryLong,https://lichess.org/rDkTTb30#73,
06NWB,7k/ppp3p1/4B2p/2b2R2/8/2Q3P1/PPP2PK1/2qr4 w - - 7 30,f5f7 d1g1 g2h3 c1f1 h3g4 f1e2 g4f5 e2f2,2507,114,90,400,advantage endgame fork interference veryLong,https://lichess.org/5uNCTN1y#59,
08VOZ,r5k1/5r1p/1q1p1pp1/3Pn3/3N4/1p3P2/PP1QB3/2KR3R w - - 0 26,d4b3 a8a2 b3d4 e5d3 e2d3 b6d4 d3b5 d4d2 c1d2 a2b2,2582,90,86,56,advantage attraction interference middlegame queensideAttack veryLong,https://lichess.org/zWgcjGRF#51,
08hpi,4qr2/6p1/5bk1/2pQp1p1/2P1P1R1/5B1R/P5K1/1r6 b - - 11 38,e8a8 g4g5 f6g5 f3h5 g6h7 h5e8 g5h6 d5a8,2603,90,91,605,advantage clearance discoveredAttack discoveredCheck interference middlegame sacrifice veryLong,https://lichess.org/3PvkyI2h/black#76,
094dl,5k1r/p6p/3R2p1/3QR3/7q/5P2/PP3KPP/2r5 w - - 3 24,f2e3 c1e1 e3d2 h4b4 d2c2 b4a4 b2b3 a4a2 c2c3 a2a1,2523,86,80,326,crushing endgame interference veryLong,https://lichess.org/F1C1rgVP#47,
0AaTE,3q2k1/p1r3pp/4p3/2rpQp2/2p5/6RP/P4PP1/1R4K1 b - - 3 32,c4c3 b1b8 d8b8 g3g7 c7g7 e5b8 g8f7 b8a7 f7f6 a7c5,2547,88,91,333,crushing endgame fork interference pin sacrifice veryLong,https://lichess.org/rGsYKbK7/black#64,
0DLI1,r1q3k1/p2R1pb1/1p2n1pp/1Np5/8/1Q3PB1/PP2n2P/3R2K1 w - - 11 33,g1h1 e2d4 b5d4 c8d7 d4e6 d7e6 b3e6 f7e6,2546,101,91,591,advantage interference middlegame veryLong,https://lichess.org/4dJpioNT#65,
0Im0t,4r1k1/pq6/5ppB/3nn2p/1p3P1P/2r2BQ1/PKP3P1/3R3R b - - 2 26,b7c6 f4e5 c3c2 b2b1 d5c3 b1c2,2522,86,75,176,crushing interference long master middlegame,https://lichess.org/4Lri26xx/black#52,
0Xpwd,4r1k1/1B3p1p/pb2r1p1/8/4Q3/8/PqP2PPP/R4RK1 w - - 0 22,e4d3 b6f2 g1h1 f2e1 b7c6 b2a1 c6e8 e6e8,2699,92,87,137,crushing interference master middlegame quietMove veryLong,https://lichess.org/brr4rgDq#43,
0caK4,1k1r4/6r1/1p2p3/pN1q1p2/P2PnP2/4P1P1/3Q3P/2R2RK1 w - - 2 28,d2e1 e4g3 h2g3 d8g8 f1f2 g7g3 g1f1 g3g1 f1e2 g1e1,2714,117,91,371,advantage interference intermezzo kingsideAttack middlegame quietMove sacrifice skewer veryLong,https://lichess.org/tOAfwBJq#55,
0jDa5,2br1k2/p1p2ppQ/1pB1pb1p/8/3P4/5N2/1qPK1PPP/3R3R w - - 2 19,d1b1 f6g5 f3g5 d8d4 d2e1 b2b1,2656,86,94,618,advantage deflection interference long master middlegame sacrifice,https://lichess.org/0KA6a9Tn#37,
0lGAO,5r2/2pk3p/2pp2p1/p5qn/N3PP2/1PQR2P1/2P4P/6K1 b - - 0 24,f8f4 a4c5 d7e7 c3a5 g5c5 a5c5 d6c5 g3f4,2630,94,91,1580,advantage endgame interference pin veryLong,https://lichess.org/lZsAnSuk/black#48,
0lrLn,3q1rk1/Q2b1ppp/8/8/8/2bBB3/PrP2PPP/R3K2R w KQ - 2 16,e1e2 d7b5 d3b5 b2c2 e2f1 c3a1,2507,97,86,212,crushing deflection discoveredAttack interference long middlegame sacrifice,https://lichess.org/XdxJOxew#31,Sicilian_Defense Sicilian_Defense_Open
0qJNN,r4r1k/6pp/pqn2p2/5Q2/4B3/5P2/2P2P1P/5RK1 b - - 2 24,h8g8 f5h7 g8f7 f1e1 c6e5 e4d5 f7e8 d5a8,2789,105,82,322,advantage fork interference middlegame quietMove veryLong,https://lichess.org/XMWVMJOM/black#48,
0r5Eg,3r1r1k/2Q4p/2p3p1/p7/P2b4/1P4N1/2b3PP/3R3K w - - 2 27,d1d2 d8e8 h2h4 d4e5 c7a5 e5g3 a5c3 g3e5,2527,86,84,107,crushing interference master middlegame quietMove veryLong,https://lichess.org/LRXC1YZ1#53,
0x9K9,r3rk2/1pp2p2/p1n3p1/6P1/6PQ/2p2RK1/PP1q4/7R b - - 3 25,c6e5 h4h8 f8e7 h8e5 e7d8 h1h8 e8h8 e5h8 d8d7 f3f7 d7c6 h8e5 d2d6 f7f6,2875,102,85,240,advantage interference middlegame pin veryLong,https://lichess.org/4QmU9J13/black#50,
0zIKk,r7/2q1kp1r/2pN1bp1/p1n1p3/Pp2P3/1B6/1PP2PQ1/3RK1R1 w - - 4 22,d6f7 c5b3 f7d6 b3d4 g2g6 e7d6 g6f6 d6c5,2688,115,88,1367,advantage interference master middlegame veryLong,https://lichess.org/3NNmMmlK#43,
18npn,2r2rk1/1b2bp2/p3p1p1/8/2p2q1P/P1B4P/1PP1Q3/NK3RR1 b - - 1 25,f4h4 g1g6 f7g6 e2e6 g8h7 f1f7 f8f7 e6f7 h7h6 f7g7 h6h5 g7h7 h5g5 h7e7,2517,82,95,938,collinearMove crushing deflection interference kingsideAttack middlegame sacrifice veryLong,https://lichess.org/ejbxSLPI/black#50,
1BhPg,3rr1k1/6pp/Q2Bbp2/2p5/8/7P/1q3PP1/3RR1K1 b - - 0 31,c5c4 d6e7 d8d1 a6e6 g8h8 e1d1,2658,106,91,911,advantage discoveredAttack interference long master middlegame sacrifice,https://lichess.org/0wM9L8ku/black#62,
1Iaaq,2b2r2/5k2/p4pq1/1pNp4/1P1PnQPB/P4R2/2r5/6RK b - - 0 47,f8h8 f4c7 f7f8 c7c8 g6e8 c5e6 f8e7 c8e8 e7e8 e6g7,2757,101,85,258,attraction crushing interference master middlegame veryLong,https://lichess.org/6KZsUpBo/black#94,
1NmM8,3r2k1/p4Bbp/bp1P2p1/2p5/8/1P3N1P/Pq3QP1/3R2K1 b - - 0 28,g8f7 f3e5 f7g8 f2b2,2512,79,84,296,crushing discoveredCheck doubleCheck interference master middlegame short,https://lichess.org/XZS4WDls/black#56,
1R7do,rnb3k1/pp2Q1pp/2pP1r2/3qN3/8/8/2P2PPP/2K2B1R b - - 3 16,d5d6 f1c4 c8e6 e7d6,2503,82,94,401,advantage interference intermezzo middlegame short,https://lichess.org/CA7UIV9u/black#32,Englund_Gambit Englund_Gambit_Soller_Gambit
1USE9,r4r1k/pp2Np1p/1q1p1R1Q/8/4b3/2P4P/PP3nPK/RN6 b - - 3 22,b6b2 b1d2 b2a1 f6f2 a1c3 d2e4,2688,96,82,134,capturingDefender crushing interference long middlegame sacrifice,https://lichess.org/0J5kRqd0/black#44,
1VHac,rq5k/pp1R2pr/4Q2p/n3b3/8/2P5/PP2NPP1/3R3K b - - 7 28,b8e8 e6e8 a8e8 d7e7 e8f8 e7e5,2704,101,91,1132,advantage interference kingsideAttack long middlegame,https://lichess.org/sfF1Z9VG/black#56,
1WgRC,r7/3qkpp1/2pb1p2/8/1p1P2P1/1P2B3/1K1QBP2/7R w - - 1 26,d4d5 d6e5 e3d4 d7d5 h1d1 c6c5 e2f3 d5f3 d4e5 f6e5 d2d6 e7e8 d6e5 e8f8 e5c5 f8g8,2727,95,85,196,advantage discoveredAttack interference middlegame pin veryLong,https://lichess.org/c1VcyTPZ#51,
1gNmv,r5k1/1bq1b1p1/4p2p/p1p3P1/1p2p1N1/2Pr2P1/PP1Q2BK/4RRB1 w - - 0 28,d2e2 d3g3 h2h1 e4e3 f1f3 g3g4,2783,112,90,1281,crushing interference long middlegame,https://lichess.org/48mXmL8e#55,
1lpRH,r7/pp4r1/6q1/2P5/Pk6/3p1Q2/6PP/1R5K b - - 1 48,b4c5 b1b5 c5d6 f3d5 d6e7 d5b7,2512,82,85,62,advantage endgame interference long,https://lichess.org/5gEIferF/black#96,
1tvnN,5rk1/6p1/p7/1p6/1P2q3/P4p2/2PR3Q/2B2K2 w - - 0 47,d2f2 f8e8 c1d2 e4c2 f1g1 c2b1,2606,96,89,137,crushing endgame interference long quietMove,https://lichess.org/daAmyQ3A#93,
1ucKH,5R2/8/8/PP4p1/8/2P1bPk1/7r/5K2 w - - 3 55,f1e1 e3f4 b5b6 g3f3 e1d1 h2d2,2549,89,75,147,crushing endgame interference long quietMove,https://lichess.org/RIWqX9w2#109,
20Xty,2r3kb/p2bp2p/3p2PB/qn1P2P1/1n1RP3/2p1Q3/P1p1N3/K1N2B1R b - - 0 27,b5d4 g6h7 g8h7 h6g7 h7g7 e3d4,2569,94,89,96,advancedPawn advantage attraction discoveredAttack discoveredCheck interference kingsideAttack long middlegame,https://lichess.org/6i86uL7A/black#54,
244QL,N4rk1/2P1p2p/p2pp1pP/8/3qP3/1Qb5/P4PP1/2R2K1R w - - 3 27,f2f3 d4d3 f1g1 d3e3 g1h2 e3h6 h2g3 c3e5 g3f2 h6d2,2643,88,75,149,crushing fork interference master middlegame veryLong,https://lichess.org/RPfR68iO#53,
26tFk,4r1k1/5p1p/3b2p1/p2P1b2/3Q4/qP3B2/P2R2PP/5R1K w - - 9 29,f3g4 e8e4 d4f6 e4g4 d2e2 d6f8,2622,106,90,281,advantage defensiveMove interference long master middlegame,https://lichess.org/wckm5cuI#57,
2Dx1v,6k1/6p1/2P5/4p1r1/p3Pb2/7Q/1P3K2/3b4 b - - 0 47,f4g3 f2f1 d1g4 h3g3 g4e2 f1e2 g5g3 c6c7,2670,113,91,1536,advancedPawn advantage defensiveMove endgame interference master masterVsMaster sacrifice veryLong,https://lichess.org/7Gy5f3uc/black#94,
2GR3x,q3r2k/p5pp/3pQ3/6b1/3Pp1P1/2P2p1P/PP3P2/3KRR2 w - - 2 26,e6d6 e4e3 f2e3 a8e4 d6a6 f3f2 f1f2 e4b1 d1d2 b1b2 d2d3 b2f2,2790,109,87,398,advancedPawn clearance crushing endgame exposedKing interference sacrifice skewer veryLong,https://lichess.org/Na4mEi88#51,
2HrRv,r5k1/1p1qr1b1/1n1p1BQ1/1NpP1Npp/2P5/PP4P1/5P1P/6K1 b - - 4 30,e7f7 f5h6 g8f8 g6h7 f7f6 h7g8 f8e7 g8g7,2727,87,94,393,advantage deflection exposedKing fork interference middlegame sacrifice veryLong,https://lichess.org/BLKRVsDb/black#60,
2Obaf,2r2rk1/pp2Bpp1/4p3/8/3pQ3/3R3P/1qPK1P2/7R w - - 0 23,e7f8 b2c2 d2e1 c2b1 e1e2 c8c2 e2f3 b1h1,2551,80,94,521,crushing endgame interference veryLong,https://lichess.org/e2s2HdE8#45,
2RZNQ,3r4/2q1bpk1/2p3p1/1p2p3/nP2P1B1/1Q2B1P1/5PK1/7R b - - 3 39,c7d6 h1h7 g7h7 b3f7 h7h8 g4e6 e7h4 f7g6,2522,87,98,74,attraction crushing deflection interference middlegame quietMove sacrifice veryLong,https://lichess.org/TCf39kNa/black#78,
2ZZDa,3q4/pp1r3k/4p1p1/3rPp1p/3p1P2/2P2K1Q/PP4R1/7R b - - 1 35,d7g7 g2g6 h5h4 g6g5 g7g5 h3h4,2618,117,90,681,collinearMove crushing endgame interference long sacrifice,https://lichess.org/UoZj8BVH/black#70,
