PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0018S,2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20,b7b6 d4a1 a7a5 f1c1,2627,117,90,1831,advantage endgame pin short,https://lichess.org/H1ARO2GL/black#40,
002e8,r3nrk1/1b3pp1/4pb2/p3q3/1p1N4/3B2R1/PPPQN2P/1K4R1 b - - 1 23,a8d8 d2h6 g7g6 g3h3,2505,79,93,407,crushing defensiveMove master middlegame pin short,https://lichess.org/ygzu5djr/black#46,
004zh,4b1k1/4Pr2/3R2pp/1ppBP1q1/8/PP4P1/2P4P/3R3K b - - 2 38,g5h5 d1f1 g8g7 d5f7 e8f7 d6d8 h5e5 f1f7 g7f7 e7e8q e5e8 d8e8,2624,95,70,117,advancedPawn attraction crushing endgame exposedKing intermezzo pin promotion quietMove veryLong,https://lichess.org/sYeKSrqj/black#76,
006NL,1r6/k2qn1b1/p1b1p1p1/2PpPpN1/2nN1P1P/p4B2/1PP2Q2/1K1R3R w - - 0 32,d4c6 e7c6 b2b3 a3a2 b1a1 c4e5 f4e5 g7e5 a1a2 b8b5,2545,89,86,125,advancedPawn advantage middlegame pin veryLong,https://lichess.org/yA3M5Q6W#63,
00rnW,4r1k1/1rp2ppp/5q2/2p5/8/P2P4/R2Q1PPP/2R3K1 w - - 6 24,c1c5 b7b1 c5c1 e8e2 d2e2 b1c1,2521,96,90,272,crushing deflection endgame long pin,https://lichess.org/UpjEipzv#47,
01HwG,r6k/1p2R1b1/3P2P1/8/b1B2p2/pKp2P1P/8/7R w - - 4 34,b3a3 a4d1 c4a6 c3c2,2607,113,91,634,advancedPawn advantage discoveredAttack discoveredCheck endgame master pin short,https://lichess.org/WWYKvTiO#67,
01o5f,rn2k3/pp6/2pp2pp/4Prq1/2B4b/2N2N2/PPP5/R2Q1K1R w q - 2 17,e5d6 g5e3 h1h2 f5f3 f1g2 f3f2 g2h1 f2h2,2576,103,90,631,advantage exposedKing middlegame pin veryLong,https://lichess.org/zJ6CvC0A#33,Dutch_Defense Dutch_Defense_Hopton_Attack
01p6X,r2q4/1p2Np1k/p2p2rn/2p5/4P2Q/7P/PPP3P1/5RK1 b - - 2 27,d8d7 f1f7 g6g7 f7f6 d7e7 f6h6 h7g8 h6h8,2506,80,86,232,crushing exposedKing middlegame pin veryLong,https://lichess.org/WvyBfJYA/black#54,
021cb,1r3rk1/5pp1/3p4/p4PR1/Nq2P3/1P1BK2P/8/6R1 b - - 4 33,g8h8 g5h5 h8g8 f5f6 g7g6 d3c4,2543,116,80,62,advantage long middlegame pin,https://lichess.org/xqpeYzb7/black#66,
023Oc,1r3r2/6qp/4B2k/p2N2p1/P4bPP/1P2Q3/2P5/2KR4 w - - 1 31,h4g5 f4g5 d1h1 h6g6 e6f5 f8f5 g4f5 g6f7 f5f6 g5e3,2535,86,77,60,crushing middlegame pin veryLong,https://lichess.org/gTDrWrrf#61,
