PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
000qP,8/7R/8/5p2/4bk1P/8/2r2K2/6R1 w - - 7 51,f2f1 f4f3 f1e1 c2c1 e1d2 c1g1,2054,75,93,1215,crushing endgame exposedKing long skewer,https://lichess.org/r4xUR6fC#101,
00H87,6k1/2q1pp2/p5pB/2p4n/3pP1Q1/P2P3P/1r4P1/5RK1 b - - 1 30,c7g3 g4c8 g8h7 f1f7 h5g7 f7g7 h7h6 c8h8 h6g5 g7g6 g5g6 h8g8 g6f6 g8g3,1912,76,88,420,attraction crushing deflection endgame sacrifice skewer veryLong,https://lichess.org/hQEAqclb/black#60,
00OLF,k1r5/n1p3p1/Q2pN3/P2Pp2p/q3Pp1P/2RK4/5PP1/8 w - - 4 36,e6c7 c8c7 c3c7 a4d1 d3c3 d1c1 c3b3 c1c7,1983,77,92,473,crushing endgame sacrifice skewer veryLong,https://lichess.org/REkdb3WG#71,
00baa,1r1qr1k1/p1p2ppp/1p1b1n2/8/3Q4/1PN3P1/PBP1PPKP/R3R3 w - - 1 15,c3d5 d6e5 d5f6 d8f6 d4c4 e5b2,2073,78,92,300,advantage long middlegame skewer,https://lichess.org/6toE70as#29,Zukertort_Opening Zukertort_Opening_Vos_Gambit
00z9K,4B3/1b5p/p5k1/3p3R/6P1/1P6/KPrn1r2/7R b - - 2 34,g6g7 h5h7 g7f8 h7b7,2152,89,90,682,advantage master middlegame short skewer,https://lichess.org/slx46h53/black#68,
0109Y,r3r2Q/p3kpn1/5q2/3p4/1p5P/3B1PR1/PPP2nP1/1K2R3 b - - 6 27,e7d7 d3b5 d7d6 b5e8 a8e8 e1e8,2050,78,90,331,advantage long middlegame skewer,https://lichess.org/VLvS4i1J/black#54,
02g0n,2r5/pp2k2p/4pQp1/8/2q5/2Pr2P1/P6P/3R1RK1 b - - 8 29,e7d6 f6f4 d6c5 f4c4 c5c4 f1f4 c4c3 d1c1 c3b2 c1c8,2069,79,85,54,advantage attraction endgame pin skewer veryLong,https://lichess.org/duGekynV/black#58,
03zfX,1rb2rk1/p1q2pnp/2pp1Q2/1p4P1/4P3/1P3NNP/P7/1K1R3R w - - 5 27,d1d6 g7e8 d6c6 c7g3,1937,76,93,2875,crushing fork middlegame short skewer,https://lichess.org/y17Djyue#53,
04NbB,r1b2k2/p1p2p1Q/2qb3p/3p4/8/3B4/PPP2PPP/4R1K1 b - - 0 21,c8e6 e1e6 d6h2 g1h2 c6e6 h7h8 f8e7 h8a8,2160,108,76,31,crushing middlegame skewer veryLong,https://lichess.org/cMKqbSbn/black#42,
04Qju,b4rk1/P4p1p/3bp1p1/1qn5/2pB3Q/8/1P4PP/R3R1K1 b - - 3 31,f8c8 h4f6 g8f8 f6h8 f8e7 h8c8,1970,76,91,607,advantage long middlegame skewer,https://lichess.org/IaHF1N3K/black#62,
04YPD,r4k2/1ppR2p1/8/1PP5/5P1p/Pp5P/1Kb3P1/3n1NR1 w - - 5 30,b2c1 a8a3 d7d1 a3a1 c1b2 a1d1,2067,75,85,538,crushing deflection endgame exposedKing long queensideAttack sacrifice skewer,https://lichess.org/xugWCjBX#59,
04aTA,r1b3k1/pp3pp1/8/2ppr1PQ/4pq2/2P5/PP2BP2/R3K1R1 b Q - 0 21,c8f5 g1h1 f7f6 h5h8 g8f7 h8a8,2059,74,86,126,advantage long middlegame quietMove skewer,https://lichess.org/kTFfnxGi/black#42,
058i4,2k4r/2p2p2/2p5/p5q1/6b1/PP1P2b1/R1PN1Q2/1K2R3 w - - 6 28,f2e3 g3f4 e3a7 f4d2 a7a8 c8d7 a8h8 d2e1 h8d4 d7c8,2110,77,87,672,advantage defensiveMove middlegame skewer veryLong,https://lichess.org/tMMD4lGi#55,
05LvB,6k1/p7/1p2r2p/5qPQ/2Pbp3/P5P1/4RPB1/6K1 b - - 0 28,h6g5 g2h3 f5g6 h3e6,1928,75,85,548,crushing endgame short skewer,https://lichess.org/8elbK6uP/black#56,
061yF,7r/5pk1/p1p3p1/q2pP3/Nr1RbP2/1P4p1/P1P2QB1/2R3K1 w - - 0 30,f2d2 e4g2 g1g2 h8h2 g2g3 h2d2,2121,76,86,125,attraction crushing exposedKing kingsideAttack long master middlegame skewer,https://lichess.org/9rsMnEZG#59,
07goT,5q2/2r3k1/4Rppp/P1p5/8/4Q2P/6P1/6K1 b - - 0 46,g7f7 e6f6 f7f6 e3f4 f6e6 f4f8,1958,77,91,414,attraction crushing endgame fork long sacrifice skewer,https://lichess.org/k6qLRyrE/black#92,
083xB,7k/6p1/5q2/4p2p/2P1R2P/1P4r1/P7/5RKQ w - - 0 38,h1g2 g3g2 g1g2 f6g6 g2f3 g6f5 f3e3 f5f1,1962,76,97,1668,advantage attraction endgame exposedKing fork skewer veryLong,https://lichess.org/GSDSkDZA#75,
08LZy,2k3r1/pp1r1p1p/1qp1p1b1/2P1Q1B1/3P4/bP5P/P3KPP1/R2R4 b - - 0 21,b6b4 g5f4 c8d8 e5b8 d8e7 b8g8,1956,76,95,16720,advantage long middlegame quietMove skewer,https://lichess.org/4jVADe3G/black#42,
08VVF,r3k2r/ppq2p2/2p1b1p1/3pP3/3Pn2b/2P2Q2/PP2B3/RN3KNR b kq - 1 17,e4g3 f3g3 h4g3 h1h8 e8e7 h8a8,2009,151,100,25,equality long middlegame skewer,https://lichess.org/o2uaLgbo/black#34,
08a5H,r5k1/pp1q1ppp/5n2/2pp4/3b4/1BNP1Q2/PPP2PPP/R5K1 b - - 1 18,a8e8 b3a4 b7b5 a4b5 d7b7 b5e8,1941,75,93,3372,crushing long middlegame skewer,https://lichess.org/b8o0O7rz/black#36,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
08wTC,5k2/pR3pp1/3N3p/3n4/8/5P1P/P5PK/4r3 b - - 0 33,e1e2 b7b8 f8e7 b8e8 e7d6 e8e2,2022,79,90,801,crushing endgame long skewer,https://lichess.org/wcpbqFOj/black#66,
09eed,1rb1k3/4bpp1/p1pp4/q4PP1/8/1PPB4/P2Q4/1NK4R b - - 0 22,c8f5 h1h8 e8d7 h8b8,2170,76,91,2602,advantage middlegame short skewer,https://lichess.org/XBhqTmNs/black#44,
09lOk,Q7/5pk1/B3p1p1/2p5/4P2K/P4P2/1P4qP/8 w - - 0 38,a8b8 g6g5 h4h5 g2h3 h5g5 f7f6 g5f4 h3h2 f4e3 h2b8,2109,75,69,194,crushing endgame interference master skewer veryLong,https://lichess.org/7bo2Y3Vv#75,
0AGnh,6k1/3r1p2/3q3p/p1p2Q2/1r6/8/PPB2PP1/KR6 b - - 2 29,d6e6 f5h7 g8f8 c2f5 e6f6 f5d7,1939,87,63,31,advantage clearance endgame long skewer,https://lichess.org/LtIAu6OW/black#58,
0AOzw,r6q/pp2k3/4bb2/2P4Q/5P2/3P1K2/P1P5/4R1R1 w - - 12 33,h5d5 h8h3 g1g3 h3h1 e1h1 e6d5 f3e3 d5h1,1920,76,81,185,advantage middlegame skewer veryLong,https://lichess.org/xJCeUU4X#65,
0Adck,1k2R3/p5q1/1p1p1b2/PPpP1p2/2Pn4/5Prr/3Q2P1/R2B2K1 b - - 1 29,b8c7 a5b6 c7d7 a1a7 d7e8 a7g7 g3g7 b6b7 g7b7 g2h3,2074,75,93,6751,advancedPawn crushing discoveredAttack middlegame skewer veryLong,https://lichess.org/zKTizCxn/black#58,
0BNWh,1rb1Q3/pp1p1Npk/4p3/2P2p2/1P6/P6P/4qPPK/8 b - - 3 28,e2f2 e8h8 h7g6 f7e5 g6f6 e5g4 f5g4 h8f8 f6e5 f8f2,2116,76,94,1718,advantage endgame sacrifice skewer veryLong,https://lichess.org/UdUm8XXt/black#56,
0CxzB,6k1/1pqbr1bp/2pN2p1/p1Ppn3/3B4/PPQ5/4B1PP/5R1K b - - 0 27,b7b6 c5b6 c7d6 d4c5 d6b8 c5e7,2056,77,92,3818,advantage long master middlegame sacrifice skewer,https://lichess.org/ZMezCu3b/black#54,
