PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02Nzx,r3r3/2pbkp1p/2p2p2/1pb1P3/p7/1BN5/PPP2PPP/2KRR3 w - - 0 15,e5f6 e7f8 e1e8 d7e8 b3a4 b5a4,2288,80,64,63,advantage defensiveMove long middlegame trappedPiece,https://lichess.org/IlE1ZcIO#29,Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted
03Cdz,r1b1rnk1/pp1n1p1p/4p1pP/3pP3/3Q1P2/2N3q1/PPPKB1P1/R6R b - - 2 18,b7b6 e2f3 c8a6 h1h3 g3h3 g2h3,2358,80,92,1247,advantage long middlegame trappedPiece,https://lichess.org/TTUYdZJy/black#36,French_Defense French_Defense_Knight_Variation
04Lp0,r1br2k1/ppp2ppp/2n1p3/3q4/3P4/2Q2N2/PPP1BPPP/3R1RK1 b - - 0 12,d5a2 d4d5 e6d5 d1a1 a2a1 f1a1,2291,97,90,660,crushing long middlegame trappedPiece,https://lichess.org/7Mu9CGyH/black#24,French_Defense French_Defense_Exchange_Variation
04XTY,1nkr3r/1p2n1pp/2pb4/p2pp1PP/5P2/PP1P2R1/1BP1QP2/R3KN1q b Q - 3 21,e5f4 e2g4 e7f5 g3h3 h8e8 e1d2 h1h3 g4h3,2328,90,75,35,advantage middlegame pin trappedPiece veryLong,https://lichess.org/fljEvUxF/black#42,
05KTd,2r3k1/pp3p2/7p/3R1p2/nb6/1N2PB1N/PPq2PPP/K2R4 b - - 5 28,a4c3 d5d2 c3d1 d2c2 c8c2 f3d1,2335,105,88,772,advantage capturingDefender long middlegame trappedPiece,https://lichess.org/nPuovZ5y/black#56,
09m48,rn2k2r/1p2ppb1/p1p4p/4P2P/2P1Nqp1/P7/1P2Q1P1/1K1R2NR b kq - 1 18,g7e5 d1f1 f4f1 e2f1,2243,75,94,3185,crushing middlegame short trappedPiece,https://lichess.org/CFrQNMh8/black#36,Anderssens_Opening Anderssens_Opening_Other_variations
09sfJ,r4rk1/pnqbppbp/1p1p1np1/3P4/2PN4/2BBPN1P/5PP1/RQ3RK1 b - - 3 16,f6d5 c4d5 c7c3 f1c1 c3c1 b1c1,2253,84,89,244,advantage long middlegame trappedPiece,https://lichess.org/cK96qPPq/black#32,Polish_Opening Polish_Opening_Birmingham_Gambit
0A1UD,6r1/p2pkp2/1pr4p/2pQP1p1/2P3P1/1R5P/q4P2/1R4K1 b - - 0 29,a2e2 b3b2 e2b2 b1b2,2359,86,43,41,advantage endgame short trappedPiece,https://lichess.org/u5mdFeT5/black#58,
0At8b,r3k1nr/p1p2ppp/b7/2p5/2P4b/1PN3N1/PBQP1KPP/q6R b kq - 5 16,a1h1 c2e4 g8e7 e4h4 a8d8 g3h1,2486,84,77,156,advantage fork long middlegame trappedPiece,https://lichess.org/by8KOcwa/black#32,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
0CT9m,r1bq1rk1/2p2ppp/p3p3/1p1N2b1/3P4/3Q1N2/PPP2PPP/3RR1K1 w - - 0 13,d5c7 a8a7 f3g5 d8g5 e1e5 g5d8 c7b5 a6b5,2242,78,81,64,advantage master middlegame trappedPiece veryLong,https://lichess.org/yj2pP9VL#25,French_Defense French_Defense_Schlechter_Variation
