PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01GBu,5r1k/3p2bp/p4pp1/qp1br3/4P3/1Q4B1/PP2RPPP/4R1K1 w - - 0 23,e4d5 a5e1 e2e1 e5e1,1279,76,94,5002,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/t1gBJrWV#45,
09gK3,3r1rk1/p1Qn1ppp/1p1R4/8/8/Pq2P3/5PPP/3R2K1 w - - 2 22,d6d7 b3d1 d7d1 d8d1,1162,76,86,1408,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/eYPdsqEL#43,
0AWiA,2r2rk1/pp1b1ppp/4p3/3pPnB1/3P4/3Q4/Pq2NPPP/RR4K1 b - - 1 16,d7b5 d3b5 b2b5 b1b5,1261,77,73,368,advantage middlegame short xRayAttack,https://lichess.org/OPtVbWTV/black#32,French_Defense French_Defense_Advance_Variation
0BAKu,4r1k1/5ppp/p3rn2/1p3q2/1P1B1P2/P5Q1/6PP/1R2R2K w - - 1 25,e1e6 f5b1 g3e1 b1e1 e6e1 e8e1,1005,76,99,1532,crushing hangingPiece long middlegame xRayAttack,https://lichess.org/koJGqeUX#49,
0BD4O,r5k1/1p1q2bp/p1n1p1p1/3N4/3P3r/1Q2P2B/PP3P1P/3RK2R b K - 0 21,d7d5 h3e6 d5e6 b3e6,1047,78,93,163,advantage fork middlegame short xRayAttack,https://lichess.org/zGF0NNDf/black#42,
0CCDz,6k1/q4ppp/5n2/8/4r1P1/4R2P/4Q3/3R1K2 b - - 1 36,e4e3 d1d8 f6e8 d8e8 e3e8 e2e8,1054,77,83,260,endgame long mate mateIn3 xRayAttack,https://lichess.org/a6W6RkP5/black#72,
0CbHA,2r3k1/5pp1/5q2/1p4p1/1P6/3p2P1/2rR1P1P/1Q1R2K1 b - - 0 52,f6b2 b1b2 c2b2 d2b2,1294,76,82,197,crushing endgame short xRayAttack,https://lichess.org/yK4M1foD/black#104,
0Ch44,3rr3/p5pk/1ppBR2p/2P2p2/1P1P4/1Q6/3q1PPP/1R4K1 w - - 1 26,b1e1 d2e1 e6e1 e8e1,1103,76,98,1595,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/9ZDbilKR#51,
0CytO,r4qrk/pp2pQBp/3p4/8/8/2PB1P2/PPP3P1/2K4R b - - 0 21,g8g7 h1h7 g7h7 f7h7,1175,75,92,1281,endgame mate mateIn2 short xRayAttack,https://lichess.org/INT6DmXs/black#42,
0FReE,4Qq1k/2r2Ppp/p2p4/1p6/1Pp5/8/P5PP/n4R1K b - - 2 31,c7f7 e8f8 f7f8 f1f8,1111,79,60,93,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/2ZmtaZBX/black#62,
